	GCF_002154555.1:544	GCF_003933485.1:545	GCF_004104485.1:546	GCF_004794665.1:547	GCF_008064995.1:548	GCF_009862685.1:549	GCF_009862765.1:550	GCF_009862845.1:551	GCF_014138855.1:552	GCF_014138905.1:553	GCF_014673495.1:554	GCF_016457305.1:555	GCF_016467295.1:556	GCF_900091975.1:557
GCF_002154555.1:544	7954566	6829940	7066973	7555600	6764668	6601970	7228618	7209989	7046101	6747211	6762509	6850533	7024713	6798808
GCF_003933485.1:545	6829940	8424015	7274098	7212563	7716447	7538553	6826010	6771969	7234562	7679181	7741661	7748479	7205274	7654036
GCF_004104485.1:546	7066973	7274098	8428700	7488843	7210656	7044422	7066669	7032279	8039694	7226859	7214164	7343799	8032249	7229696
GCF_004794665.1:547	7555600	7212563	7488843	8584460	7176452	6980739	7562729	7516259	7462448	7175446	7193637	7264241	7464928	7167222
GCF_008064995.1:548	6764668	7716447	7210656	7176452	8364802	7398345	6775189	6708728	7220523	8003961	8152312	7683504	7214508	7577554
GCF_009862685.1:549	6601970	7538553	7044422	6980739	7398345	8811028	6543324	6541613	7052842	7359159	7424379	7485253	6994871	7520924
GCF_009862765.1:550	7228618	6826010	7066669	7562729	6775189	6543324	8125041	7429765	7012892	6734958	6747732	6828596	7006280	6759240
GCF_009862845.1:551	7209989	6771969	7032279	7516259	6708728	6541613	7429765	8092750	6976700	6660372	6666348	6759478	6974813	6691753
GCF_014138855.1:552	7046101	7234562	8039694	7462448	7220523	7052842	7012892	6976700	8564214	7206047	7224179	7303311	7987632	7252764
GCF_014138905.1:553	6747211	7679181	7226859	7175446	8003961	7359159	6734958	6660372	7206047	8526119	8217892	7662657	7208219	7566584
GCF_014673495.1:554	6762509	7741661	7214164	7193637	8152312	7424379	6747732	6666348	7224179	8217892	9116672	7738625	7224281	7594894
GCF_016457305.1:555	6850533	7748479	7343799	7264241	7683504	7485253	6828596	6759478	7303311	7662657	7738625	8634150	7284542	7988002
GCF_016467295.1:556	7024713	7205274	8032249	7464928	7214508	6994871	7006280	6974813	7987632	7208219	7224281	7284542	8539264	7214002
GCF_900091975.1:557	6798808	7654036	7229696	7167222	7577554	7520924	6759240	6691753	7252764	7566584	7594894	7988002	7214002	8516683
