	Streptomyces sp. MBT28 contig_1, whole genome shotgun sequence:392	Streptomyces sp. CS207 scaffold00001, whole genome shotgun sequence:393	Streptomyces sp. WAC02707 AA000295-100_WAC02707, whole genome shotgun sequence:394	Streptomyces sp. WAC08401 AA000124-10_WAC08401, whole genome shotgun sequence:395	Streptomyces sp. WAC08452 AA000125-10_WAC08452, whole genome shotgun sequence:396	Streptomyces sp. SS52 chromosome, complete genome:397	Streptomyces sp. SGAir0924 chromosome, complete genome:398	Streptomyces sp. KAI 90 NODE_100_length_570_cov_1041.16, whole genome shotgun sequence:399	Streptomyces sp. RT42 RT42_contig_1, whole genome shotgun sequence:400	Streptomyces sp. Babs14 contig_1, whole genome shotgun sequence:401	Streptomyces sp. Osf17 contig_4, whole genome shotgun sequence:402
Streptomyces sp. MBT28 contig_1, whole genome shotgun sequence:392	1.0	0.9909270871	0.9901691127000001	0.9903475397	0.990196347	0.9902828317000001	0.9908809761	0.9902446384	0.9889275414	0.9900809397	0.9900644084
Streptomyces sp. CS207 scaffold00001, whole genome shotgun sequence:393	0.9909270871	1.0	0.9904498702000001	0.9906926222	0.9907728505000001	0.9907405715000001	0.9905660481	0.990749654	0.9890094065	0.9908606559	0.9908431174000001
Streptomyces sp. WAC02707 AA000295-100_WAC02707, whole genome shotgun sequence:394	0.9901691127000001	0.9904498702000001	1.0	0.9892295008	0.9895252461	0.9892545913	0.9908945118	0.9906858947	0.9899565819	0.9894031673	0.9893906928
Streptomyces sp. WAC08401 AA000124-10_WAC08401, whole genome shotgun sequence:395	0.9903475397	0.9906926222	0.9892295008	1.0	0.9901594351	0.9895490536	0.9899073806	0.9900690718	0.9888208326000001	0.9905520631	0.9905488442
Streptomyces sp. WAC08452 AA000125-10_WAC08452, whole genome shotgun sequence:396	0.990196347	0.9907728505000001	0.9895252461	0.9901594351	1.0	0.9899906524000001	0.9897700956000001	0.9896905664000001	0.9883978353	0.9905754896000001	0.9905525935
Streptomyces sp. SS52 chromosome, complete genome:397	0.9902828317000001	0.9907405715000001	0.9892545913	0.9895490536	0.9899906524000001	1.0	0.9895990779	0.9899990087	0.9880160269	0.9901548753	0.9901507390000001
Streptomyces sp. SGAir0924 chromosome, complete genome:398	0.9908809761	0.9905660481	0.9908945118	0.9899073806	0.9897700956000001	0.9895990779	1.0	0.9901262481	0.9896095087000001	0.9898702004000001	0.9898680461
Streptomyces sp. KAI 90 NODE_100_length_570_cov_1041.16, whole genome shotgun sequence:399	0.9902446384	0.990749654	0.9906858947	0.9900690718	0.9896905664000001	0.9899990087	0.9901262481	1.0	0.9887811472	0.9899636597	0.9899616325
Streptomyces sp. RT42 RT42_contig_1, whole genome shotgun sequence:400	0.9889275414	0.9890094065	0.9899565819	0.9888208326000001	0.9883978353	0.9880160269	0.9896095087000001	0.9887811472	1.0	0.9884943215	0.9884914642
Streptomyces sp. Babs14 contig_1, whole genome shotgun sequence:401	0.9900809397	0.9908606559	0.9894031673	0.9905520631	0.9905754896000001	0.9901548753	0.9898702004000001	0.9899636597	0.9884943215	1.0	0.9999530389000001
Streptomyces sp. Osf17 contig_4, whole genome shotgun sequence:402	0.9900644084	0.9908431174000001	0.9893906928	0.9905488442	0.9905525935	0.9901507390000001	0.9898680461	0.9899616325	0.9884914642	0.9999530389000001	1.0
