	GCF_000403665.1:123	GCF_000717845.1:124	GCF_000739105.1:125	GCF_000972395.1:126	GCF_003013745.1:127	GCF_003387455.1:128	GCF_003671755.1:129	GCF_004795155.1:130	GCF_008124975.1:131	GCF_008125035.1:132	GCF_008931305.1:133	GCF_009862445.1:134	GCF_013317105.1:135	GCF_018070145.1:136	GCF_900104935.1:137
GCF_000403665.1:123	8496762	7953898	8460812	8541938	7948140	7941650	6869583	7855397	7974153	7975296	7996727	7996714	7842320	7946902	7941669
GCF_000717845.1:124	7953898	8489968	8046933	7919557	8169856	7998366	6947225	7992484	7995760	7996904	8004663	8004790	7836892	7983585	7998487
GCF_000739105.1:125	8460812	8046933	8345283	8229819	7999632	8050903	6914254	7957558	7983739	7983799	8023758	8023684	7840760	8067917	8054207
GCF_000972395.1:126	8541938	7919557	8229819	8558285	7909658	7903325	6848661	7833618	7953083	7953147	7959885	7959800	7781490	7938475	7906736
GCF_003013745.1:127	7948140	8169856	7999632	7909658	8593882	7952193	6886918	7956622	7998166	7998180	8001258	8001269	7827258	7964748	7952921
GCF_003387455.1:128	7941650	7998366	8050903	7903325	7952193	8614390	6970931	7977074	8004439	8005054	8046980	8046900	7866248	8049965	8634578
GCF_003671755.1:129	6869583	6947225	6914254	6848661	6886918	6970931	8512825	6933014	6967085	6967561	6971933	6971799	6829669	6952852	6973969
GCF_004795155.1:130	7855397	7992484	7957558	7833618	7956622	7977074	6933014	8304237	7988296	7989402	7998048	7998033	7816564	7962204	7982028
GCF_008124975.1:131	7974153	7995760	7983739	7953083	7998166	8004439	6967085	7988296	8584079	8603129	8674716	8654601	8455075	7975719	8032522
GCF_008125035.1:132	7975296	7996904	7983799	7953147	7998180	8005054	6967561	7989402	8603129	8584931	8696218	8656067	8476541	7985783	8032911
GCF_008931305.1:133	7996727	8004663	8023758	7959885	8001258	8046980	6971933	7998048	8674716	8696218	8667664	8687563	8504788	8002966	8047044
GCF_009862445.1:134	7996714	8004790	8023684	7959800	8001269	8046900	6971799	7998033	8654601	8656067	8687563	8667507	8484755	8003191	8046964
GCF_013317105.1:135	7842320	7836892	7840760	7781490	7827258	7866248	6829669	7816564	8455075	8476541	8504788	8484755	8585093	7825755	7866311
GCF_018070145.1:136	7946902	7983585	8067917	7938475	7964748	8049965	6952852	7962204	7975719	7985783	8002966	8003191	7825755	8856736	8062515
GCF_900104935.1:137	7941669	7998487	8054207	7906736	7952921	8634578	6973969	7982028	8032522	8032911	8047044	8046964	7866311	8062515	8620263
