	GCF_000331185.2:805	GCF_000707925.2:806	GCF_000717285.1:807	GCF_000718295.1:808	GCF_000718715.1:809	GCF_000718815.1:810	GCF_000721045.1:811	GCF_006229535.1:812	GCF_008704655.1:813	GCF_009862935.1:814
GCF_000331185.2:805	9643891	8944940	9634721	9334951	9708086	9614253	9634717	9681970	9391215	9500360
GCF_000707925.2:806	8944940	8919161	8874495	8617025	8989314	8895067	8936903	8943484	8653056	8809480
GCF_000717285.1:807	9634721	8874495	9589920	9400970	9667199	9633818	9710291	9602833	9318223	9510291
GCF_000718295.1:808	9334951	8617025	9400970	9439884	9369114	9350781	9382148	9339460	9061829	9272221
GCF_000718715.1:809	9708086	8989314	9667199	9369114	9551326	9666086	9707881	9686199	9391159	9543174
GCF_000718815.1:810	9614253	8895067	9633818	9350781	9666086	9588181	9620911	9604316	9317700	9532897
GCF_000721045.1:811	9634717	8936903	9710291	9382148	9707881	9620911	9663214	9640094	9358271	9551439
GCF_006229535.1:812	9681970	8943484	9602833	9339460	9686199	9604316	9640094	9658503	9359332	9539353
GCF_008704655.1:813	9391215	8653056	9318223	9061829	9391159	9317700	9358271	9359332	9361154	9232304
GCF_009862935.1:814	9500360	8809480	9510291	9272221	9543174	9532897	9551439	9539353	9232304	9501372
