	GCF_003751445.1:612	GCF_004795105.1:613	GCF_007829885.1:614
GCF_003751445.1:612	8839408	5013243	5355713
GCF_004795105.1:613	5013243	8192665	4662395
GCF_007829885.1:614	5355713	4662395	7540224
