	GCF_002154555.1:544	GCF_003933485.1:545	GCF_004104485.1:546	GCF_004794665.1:547	GCF_008064995.1:548	GCF_009862685.1:549	GCF_009862765.1:550	GCF_009862845.1:551	GCF_014138855.1:552	GCF_014138905.1:553	GCF_014673495.1:554	GCF_016457305.1:555	GCF_016467295.1:556	GCF_900091975.1:557
GCF_002154555.1:544	1.0	0.8333402476	0.8624880352000001	0.935568955	0.8260005637000001	0.8064540542	0.9015185744	0.8991838147000001	0.8597551394	0.8238575178	0.8256864045000001	0.8368218958	0.8574836138	0.8303193411
GCF_003933485.1:545	0.7869003082	1.0	0.8348401564	0.8299296713000001	0.9030241518000001	0.8815882925	0.7868102087000001	0.7803796646000001	0.8302510145	0.8985418473000001	0.9060197542	0.9049230088	0.8271666183	0.8939873683
GCF_004104485.1:546	0.8139710750000001	0.8343761197	1.0	0.8614149276	0.8276349852	0.8094401272	0.8142726636000001	0.8100552873	0.9444487287000001	0.8294512796	0.8280517755	0.8430960884	0.9432276626	0.8299403229000001
GCF_004794665.1:547	0.8669205751	0.8144181463	0.8457850581	1.0	0.810978093	0.7897258535	0.8683333605	0.8629061117	0.842527311	0.8108189682	0.8127107587	0.8213461301	0.8432814644000001	0.8102869604
GCF_008064995.1:548	0.7854909178	0.909416505	0.8339572174000001	0.8322742128	1.0	0.8710404622	0.7869076877000001	0.7790515544000001	0.8349402652	0.9519041814	0.9709260303	0.9036971826	0.8345342783	0.8914037654
GCF_009862685.1:549	0.7280639671	0.8428656679000001	0.7743169129	0.7694187330000001	0.8269274595	1.0	0.7217014859	0.7214564521	0.7753308695000001	0.8227166002	0.8296374725000001	0.8382431653	0.7689957403000001	0.8425568503
GCF_009862765.1:550	0.8826034232000001	0.8157621605	0.8447046606	0.9174320474000001	0.8101284658	0.7826338353000001	1.0	0.9142773556	0.8377280804	0.805463997	0.8069814048	0.8170289848000001	0.8375035892	0.8085790582
GCF_009862845.1:551	0.8838302184	0.8123233759	0.8436826789	0.9153357017	0.8052407402	0.7854898520000001	0.9179254271	1.0	0.8366717123	0.7995707269000001	0.8002625807	0.8119042353	0.8369832257	0.8036671094000001
GCF_014138855.1:552	0.7985530254000001	0.8166595323	0.9295044472	0.8445190650000001	0.8154992390000001	0.7976753033	0.794769374	0.7906125419000001	1.0	0.8139226787	0.8159765741	0.8250829557	0.9230914828000001	0.8195474798
GCF_014138905.1:553	0.7686297834	0.8877814161	0.8199740116	0.816367095	0.9338938385000001	0.8502085181	0.7675740862	0.7589298249	0.8175593139	1.0	0.9588544331000001	0.8844198632	0.8181599389	0.8731092071000001
GCF_014673495.1:554	0.7204358125	0.83718313	0.7655644516	0.7652664262000001	0.8908518372	0.8018231872	0.7192051003000001	0.7103825826	0.7665294967	0.8967424736	1.0	0.8348686889	0.7667157489	0.8195579483000001
GCF_016457305.1:555	0.7709566084	0.882899301	0.8230345778	0.8166192387000001	0.8755057533	0.8554152986	0.7688532166000001	0.7609941917	0.8183998425	0.8733539491000001	0.88152557	1.0	0.8165197501	0.9209118442
GCF_016467295.1:556	0.7987702453000001	0.816002878	0.9310150149	0.8477447237	0.8174842703	0.793469203	0.7968779277	0.7932177761	0.9257885691000001	0.8169004963000001	0.8185595386000001	0.8255926975000001	1.0	0.8175806486
GCF_900091975.1:557	0.7755167123000001	0.8842601046	0.8213664874000001	0.8167353417000001	0.8755070489000001	0.8716764496	0.7713963288	0.7636631538	0.8241213158	0.8740765624	0.8772947167	0.9336135911000001	0.8197483692	1.0
