	Streptomyces sp. 5112.2 Ga0151169_11, whole genome shotgun sequence:158	Streptomyces sp. 1222.5, whole genome shotgun sequence:159	Streptomyces sp. 2231.1, whole genome shotgun sequence:160
Streptomyces sp. 5112.2 Ga0151169_11, whole genome shotgun sequence:158	1.0	0.9999939057	0.9932344694
Streptomyces sp. 1222.5, whole genome shotgun sequence:159	0.9999939057	1.0	0.9932851296
Streptomyces sp. 2231.1, whole genome shotgun sequence:160	0.9932344694	0.9932851296	1.0
