	Streptomyces sp. W007 contig00324, whole genome shotgun sequence:683	Streptomyces sp. ScaeMP-e10 B061DRAFT_scaffold_0.1, whole genome shotgun sequence:684	Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	Streptomyces sp. TSRI0261 scaffold1, whole genome shotgun sequence:686	Streptomyces sp. CB00072 scaffold1, whole genome shotgun sequence:687	Streptomyces sp. CB02115 scaffold1, whole genome shotgun sequence:688	Streptomyces sp. IB2014 011-1 STIB_1, whole genome shotgun sequence:689	Streptomyces lavendulae subsp. lavendulae strain ATCC 13664 Contig1, whole genome shotgun sequence:690	Streptomyces sp. SM13 1005_3024_150609, whole genome shotgun sequence:691	Streptomyces sp. CS090A Scaffold00001, whole genome shotgun sequence:692	Streptomyces sp. IB2014 011-12 contig00001, whole genome shotgun sequence:693	Streptomyces sp. BPSDS2 1, whole genome shotgun sequence:694	Streptomyces sp. TRM68085 scaffold1, whole genome shotgun sequence:695	Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	Streptomyces sp. SID2119 SID2119.c1, whole genome shotgun sequence:697	Streptomyces sp. SID5594 SID5594.c1, whole genome shotgun sequence:698	Streptomyces sp. CB00271 chromosome, complete genome:699	Streptomyces sp. C3-3 C3-3_son_contig_1, whole genome shotgun sequence:700	Streptomyces anulatus strain AC569_RSS891, whole genome shotgun sequence:701	Streptomyces sp. KY70 isolate Streptomyces sp. KY70 genome chromosome KY70:702	Streptomyces sp. KY75 isolate Streptomyces sp. KY75 genome chromosome KY75:703
Streptomyces sp. W007 contig00324, whole genome shotgun sequence:683	1.0	0.5994222591	0.8272239291	0.7864525024	0.8838186410000001	0.8176823944	0.5858771243	0.5859467915000001	0.6616968896000001	0.5970927693	0.5857287365	0.7006453765	0.5990342869	0.5771985354	0.5555047681	0.5994222591	0.7526289152000001	0.7821012287	0.8008008525	0.593049312	0.5926236907
Streptomyces sp. ScaeMP-e10 B061DRAFT_scaffold_0.1, whole genome shotgun sequence:684	0.6722954884	1.0	0.6787818336	0.6603149247	0.6767366554	0.6823535895	0.8520246224	0.8147399939000001	0.6428349419	0.9414216688	0.8515678131000001	0.6863783159	0.8102475612000001	0.7715303421	0.8125551354	0.9999040317000001	0.6429167936	0.6644315331	0.6662286795	0.8705886141	0.870416614
Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	0.8468818285	0.6195874403	1.0	0.8254097271	0.8407467163000001	0.8953168651000001	0.6089244078	0.6068600044	0.6889823206	0.619893529	0.6082945975	0.7257255139000001	0.6173297534000001	0.5977357799	0.5725873359	0.6198009564	0.7937448034	0.8346035789	0.8085915759000001	0.6147811240000001	0.6153531753
Streptomyces sp. TSRI0261 scaffold1, whole genome shotgun sequence:686	0.8217560809000001	0.6151686722	0.8424425321000001	1.0	0.8282902838	0.8366317753	0.6088076303000001	0.6052730002000001	0.6915307086	0.6141925795000001	0.6088339332	0.7239030465	0.6185086835	0.5973562781	0.5739255539	0.6155254923	0.9541224891000001	0.8029922819	0.8342091365000001	0.610588039	0.6112111187
Streptomyces sp. CB00072 scaffold1, whole genome shotgun sequence:687	0.90041762	0.6147141325000001	0.8366547519	0.8075937829000001	1.0	0.8404604394	0.6017413433000001	0.6017575406	0.676018275	0.6114688262	0.6016617066000001	0.7144599476	0.6174382012	0.5884971370000001	0.5678667431000001	0.6148316753	0.7725649011	0.7895866745	0.812867012	0.6070533784000001	0.6071167053000001
Streptomyces sp. CB02115 scaffold1, whole genome shotgun sequence:688	0.8522144298000001	0.6340834036	0.9114676858	0.8345035022	0.8598064219	1.0	0.6220937705	0.6209400759	0.6957127459	0.6329106073	0.621742576	0.7345159413	0.6268443321	0.6111400001	0.589521631	0.6338675318	0.7987690011	0.8447604070000001	0.8221946642	0.6268361621	0.6271605453
Streptomyces sp. IB2014 011-1 STIB_1, whole genome shotgun sequence:689	0.6474678441	0.8395304989	0.6573176896	0.6439042954	0.6527406905	0.6596343745000001	1.0	0.7887237588	0.6351124355000001	0.8344178571	1.001428299	0.6655028946	0.7915907280000001	0.750988041	0.78745054	0.8395491671	0.6403467255	0.6528528216	0.6481844338	0.9075923743000001	0.9075974989000001
Streptomyces lavendulae subsp. lavendulae strain ATCC 13664 Contig1, whole genome shotgun sequence:690	0.6763571975	0.8385126912	0.6842372693000001	0.6686499387	0.6818025932	0.6877069121	0.8238178459000001	1.0	0.6675933066	0.8297256057	0.8236965199	0.6992577322	0.8892924592	0.7937361382	0.7918665455	0.8385197006	0.6533547081000001	0.6801522029	0.6722861499	0.8411536980000001	0.8406166521
Streptomyces sp. SM13 1005_3024_150609, whole genome shotgun sequence:691	0.7103641820000001	0.6153101889	0.7224874615	0.7104982371	0.7123600747000001	0.7166179556000001	0.6169655508	0.6208919089	1.0	0.6137385078	0.6157103394	0.7938186707	0.6359722246	0.6167621568	0.585850769	0.6150253662	0.6926441294	0.7207472336	0.7112904782	0.6211991334	0.6213040307000001
Streptomyces sp. CS090A Scaffold00001, whole genome shotgun sequence:692	0.6516640272	0.9160913777	0.6608445508	0.641528675	0.6550514751000001	0.6627657755	0.8240505669	0.7845100172	0.6239407447	1.0	0.8249809342000001	0.6623543944	0.7876645419	0.7468728585000001	0.7845846056	0.9172474383	0.6248941272	0.6422752824	0.6483465887000001	0.8411853031000001	0.8406768003
