	Streptomyces sp. LBUM 1482 chromosome:75	Streptomyces sp. LBUM 1475 chromosome:76	Streptomyces sp. LBUM 1487 LBUM1487seq1, whole genome shotgun sequence:77	Streptomyces sp. LBUM 1488 LBUM1488seq1, whole genome shotgun sequence:78	Streptomyces sp. LBUM 1483 LBUM1483seq1, whole genome shotgun sequence:79	Streptomyces sp. LBUM 1481 LBUM1481seq1, whole genome shotgun sequence:80	Streptomyces sp. LBUM 1486 LBUM1486seq1, whole genome shotgun sequence:379	Streptomyces sp. LBUM 1477 LBUM1477seq1, whole genome shotgun sequence:380
Streptomyces sp. LBUM 1482 chromosome:75	1.0	1.0007710743	0.9999493992	0.9720537432	0.9275865823	0.9283967061	0.9358230628	0.9723405832
Streptomyces sp. LBUM 1475 chromosome:76	1.0049299059	1.0	1.001434104	1.0065856283	0.9371797555	0.9371967952	0.9375893236	0.9807855104000001
Streptomyces sp. LBUM 1487 LBUM1487seq1, whole genome shotgun sequence:77	0.9816116158	0.9790007309000001	1.0	0.9760934146	0.9196972787000001	0.9268010971	0.921422582	0.9637575909
Streptomyces sp. LBUM 1488 LBUM1488seq1, whole genome shotgun sequence:78	0.9530336086000001	0.9828056359	0.9748721347	1.0	0.9124388335	0.9216851639	0.9163837354000001	0.9652904561000001
Streptomyces sp. LBUM 1483 LBUM1483seq1, whole genome shotgun sequence:79	0.9239177172	0.9296098348	0.9331728047000001	0.9269678223000001	1.0	1.0008191379	0.9278119060000001	0.9224267742000001
Streptomyces sp. LBUM 1481 LBUM1481seq1, whole genome shotgun sequence:80	0.9199224721	0.9247991151	0.9354972413	0.9314987891000001	0.9956218087	1.0	0.9295260505	0.9214582424000001
Streptomyces sp. LBUM 1486 LBUM1486seq1, whole genome shotgun sequence:379	0.9111726214	0.9091144165	0.9139114203	0.9100522986	0.9069597660000001	0.91337863	1.0	0.9085921766
Streptomyces sp. LBUM 1477 LBUM1477seq1, whole genome shotgun sequence:380	0.9739896775	0.9783831318	0.9834269107	0.9862250166000001	0.9276603714	0.9315238178	0.9347554734	1.0
