	Streptomyces clavuligerus strain ATCC 27064 chromosome, complete genome:462	Streptomyces clavuligerus strain ATCC 27064 isolate Leon-isolate chromosome, complete genome:463	Streptomyces clavuligerus strain F1D1 chromosome, complete genome:464	Streptomyces clavuligerus strain F1D4 chromosome, complete genome:465	Streptomyces clavuligerus strain F1D7 chromosome, complete genome:466	Streptomyces clavuligerus strain F1D10 chromosome, complete genome:467	Streptomyces clavuligerus strain F1D14 chromosome, complete genome:468	Streptomyces clavuligerus strain F1D18 chromosome, complete genome:469	Streptomyces clavuligerus strain F1D26 chromosome, complete genome:470	Streptomyces clavuligerus strain F1D31 chromosome, complete genome:471	Streptomyces clavuligerus strain F1D35 chromosome, complete genome:472	Streptomyces clavuligerus strain F1D28 chromosome, complete genome:473
Streptomyces clavuligerus strain ATCC 27064 chromosome, complete genome:462	1.0	1.00925611	0.8845799305000001	0.8893965955	0.8841320183	0.8894887060000001	0.8856940344	0.8850865967	0.8883212318	0.8877943176	0.8859260078000001	0.8855826123
Streptomyces clavuligerus strain ATCC 27064 isolate Leon-isolate chromosome, complete genome:463	0.9906223025	1.0	0.8776447758	0.877853741	0.8721605615	0.8779473674	0.8774160515	0.8745001897	0.8767407920000001	0.8780567324	0.8767256280000001	0.8764116634
Streptomyces clavuligerus strain F1D1 chromosome, complete genome:464	0.9959166758	1.00669516	1.0	1.0049221793	0.9988278957000001	1.0013337875	1.0022349703	0.9990517749000001	1.0034288169	1.0018011797	1.0000343923	1.0011396886
Streptomyces clavuligerus strain F1D4 chromosome, complete genome:465	0.9913985772	0.9969382953	0.9949456041	1.0	0.9955144226	0.9927732654	0.9916535019	0.9935929642	0.9935182089000001	0.9929099906000001	0.9956750225000001	0.9927814846
Streptomyces clavuligerus strain F1D7 chromosome, complete genome:466	0.9955216615	1.0005143592	0.9989375444	1.0056070823	1.0	1.0018847978	1.0033976965	1.0027143882	1.0034025726	1.0026262236	0.9992622642000001	1.0016777626
Streptomyces clavuligerus strain F1D10 chromosome, complete genome:467	0.9770545049	0.9825171058000001	0.9769476699	0.9783079848	0.977377967	1.0	0.9730919658	0.975062179	0.9756873762	0.9758304658	0.9785033991000001	0.9744309394
Streptomyces clavuligerus strain F1D14 chromosome, complete genome:468	0.9713079925	0.9803295732	0.9762406166	0.9756192574	0.9772659041	0.9715133581000001	1.0	0.9737941993	0.972991605	0.9722339345000001	0.976541092	0.9718076726
Streptomyces clavuligerus strain F1D18 chromosome, complete genome:469	0.9994372574	1.0060578755	1.0020095119	1.006527048	1.0055725794	1.0023600036	1.0026831378	1.0	1.0026826092	1.0026871027	1.0048261326	1.0000214101
Streptomyces clavuligerus strain F1D26 chromosome, complete genome:470	0.9978690790000001	1.0033859661	1.0011615675	1.0012131051	1.0010254926	0.9977824381	0.9966424322	0.9974640095	1.0	0.9982051251	1.0021327616	0.9969675659
Streptomyces clavuligerus strain F1D31 chromosome, complete genome:471	0.9984507371	1.006074506	1.0007138193	1.0017776377	1.0014280334	0.9991030860000001	0.9970382357	0.9986422560000001	0.9993797683000001	1.0	1.0021921347	0.9976098966
Streptomyces clavuligerus strain F1D35 chromosome, complete genome:472	0.960542208	0.9684472937	0.9630481817000001	0.9684646787000001	0.9621989830000001	0.9658351067000001	0.9654644389	0.9648063479000001	0.9672544563000001	0.9661748116000001	1.0	0.9643666478
Streptomyces clavuligerus strain F1D28 chromosome, complete genome:473	0.9978003933	1.0060417973	1.0018976223	1.003495502	1.0023260709	0.9995103633	0.9984393079	0.9978243938	0.9999818018000001	0.9994499665000001	1.0021616278	1.0
