	Streptomyces scabiei strain NRRL B-2801 NRRL_B-2801_contig_1, whole genome shotgun sequence:226	Streptomyces sp. ID-03-3A NODE_104_length_556_cov_23.223195, whole genome shotgun sequence:227	Streptomyces sp. ID-01-6.2a NODE_10_length_339236_cov_29.759327, whole genome shotgun sequence:228
Streptomyces scabiei strain NRRL B-2801 NRRL_B-2801_contig_1, whole genome shotgun sequence:226	1.0	0.8867202007	0.8867360274
Streptomyces sp. ID-03-3A NODE_104_length_556_cov_23.223195, whole genome shotgun sequence:227	0.8845369232	1.0	1.0116670686
Streptomyces sp. ID-01-6.2a NODE_10_length_339236_cov_29.759327, whole genome shotgun sequence:228	0.8858327438	1.0131310483	1.0
