	Streptomyces californicus strain FDAARGOS_1209 chromosome:27	Streptomyces californicus strain FDAARGOS_1211 chromosome:28	Streptomyces californicus strain NRRL B-3320 P050_Doro1_scaffold1, whole genome shotgun sequence:539	Streptomyces purpeochromogenes strain NRRL B-3012 contig1.1, whole genome shotgun sequence:540	Streptomyces sp. NRRL WC-3540 contig1.1, whole genome shotgun sequence:541	Streptomyces griseus subsp. rhodochrous strain NRRL B-2929 B2929contig1.1, whole genome shotgun sequence:542	Streptomyces violaceoruber strain S21 chromosome, complete genome:543	Streptomyces sp. CB04723 chromosome, complete genome:544	Streptomyces sp. JV180 ctg.s1.000000F, whole genome shotgun sequence:545	Streptomyces sp. RB110-2 tig00000001_np1212, whole genome shotgun sequence:546	Streptomyces sp. RB110-1 tig00000002_np1212, whole genome shotgun sequence:547	Streptomyces californicus strain FDAARGOS_1212 chromosome:548	Streptomyces californicus strain FDAARGOS_1213 chromosome:549	Streptomyces californicus strain FDAARGOS_1210 chromosome:550
Streptomyces californicus strain FDAARGOS_1209 chromosome:27	1.0	0.9999174285	0.9964758775	0.9998813936000001	0.9868327026	0.9867890385	0.9866373259000001	0.9783073971	0.9869524379000001	0.9776362868	0.9775404116	0.9994650265	0.9994712815000001	0.9861562066
Streptomyces californicus strain FDAARGOS_1211 chromosome:28	0.9999174285	1.0	0.9964673523	0.9999232733000001	0.9868197166	0.9867759283	0.9865891345000001	0.9782756991	0.9869047666	0.9776585252000001	0.9775626751000001	0.9994579702	0.9994631942000001	0.986112721
Streptomyces californicus strain NRRL B-3320 P050_Doro1_scaffold1, whole genome shotgun sequence:539	0.9964758775	0.9964673523	1.0	0.9964625043	0.9843195002	0.9842974601000001	0.9844555332	0.9760389391000001	0.9844530317	0.9754088229000001	0.9754447941000001	0.9967114388	0.9967180965	0.9838207009000001
Streptomyces purpeochromogenes strain NRRL B-3012 contig1.1, whole genome shotgun sequence:540	0.9998813936000001	0.9999232733000001	0.9964625043	1.0	0.9868255166000001	0.9868494997	0.9867689291	0.9783865866	0.9871080835	0.9776658857	0.9777248994000001	0.999514635	0.9995366646	0.9863491388000001
Streptomyces sp. NRRL WC-3540 contig1.1, whole genome shotgun sequence:541	0.9868327026	0.9868197166	0.9843195002	0.9868255166000001	1.0	0.9998358611	0.9895908295	0.9784698887000001	0.9889298970000001	0.9777965272	0.9777969024000001	0.9868675303000001	0.9868594676	0.9866910302
Streptomyces griseus subsp. rhodochrous strain NRRL B-2929 B2929contig1.1, whole genome shotgun sequence:542	0.9867890385	0.9867759283	0.9842974601000001	0.9868494997	0.9998358611	1.0	0.9895922635000001	0.9784593991	0.9889594503	0.9777243040000001	0.9777529771000001	0.9868866522	0.986878515	0.9867171965
Streptomyces violaceoruber strain S21 chromosome, complete genome:543	0.9866373259000001	0.9865891345000001	0.9844555332	0.9867689291	0.9895908295	0.9895922635000001	1.0	0.9784143922	0.9896862036	0.9777021135	0.9775925519	0.9870193999	0.9870202471	0.9865744358
Streptomyces sp. CB04723 chromosome, complete genome:544	0.9783073971	0.9782756991	0.9760389391000001	0.9783865866	0.9784698887000001	0.9784593991	0.9784143922	1.0	0.9786291241	0.9865729517	0.9865172994	0.9782675996	0.9782991710000001	0.9785091885
Streptomyces sp. JV180 ctg.s1.000000F, whole genome shotgun sequence:545	0.9869524379000001	0.9869047666	0.9844530317	0.9871080835	0.9889298970000001	0.9889594503	0.9896862036	0.9786291241	1.0	0.9778813220000001	0.9777595705000001	0.9868797877000001	0.9868892468	0.9866754373000001
Streptomyces sp. RB110-2 tig00000001_np1212, whole genome shotgun sequence:546	0.9776362868	0.9776585252000001	0.9754088229000001	0.9776658857	0.9777965272	0.9777243040000001	0.9777021135	0.9865729517	0.9778813220000001	1.0	0.9996707257	0.9776219529000001	0.9776147592000001	0.9780801626000001
Streptomyces sp. RB110-1 tig00000002_np1212, whole genome shotgun sequence:547	0.9775404116	0.9775626751000001	0.9754447941000001	0.9777248994000001	0.9777969024000001	0.9777529771000001	0.9775925519	0.9865172994	0.9777595705000001	0.9996707257	1.0	0.9775314230000001	0.9775247995	0.9779817097000001
Streptomyces californicus strain FDAARGOS_1212 chromosome:548	0.9994650265	0.9994579702	0.9967114388	0.999514635	0.9868675303000001	0.9868866522	0.9870193999	0.9782675996	0.9868797877000001	0.9776219529000001	0.9775314230000001	1.0	0.9999887472000001	0.9860850097
Streptomyces californicus strain FDAARGOS_1213 chromosome:549	0.9994712815000001	0.9994631942000001	0.9967180965	0.9995366646	0.9868594676	0.986878515	0.9870202471	0.9782991710000001	0.9868892468	0.9776147592000001	0.9775247995	0.9999887472000001	1.0	0.9861053934
Streptomyces californicus strain FDAARGOS_1210 chromosome:550	0.9861562066	0.986112721	0.9838207009000001	0.9863491388000001	0.9866910302	0.9867171965	0.9865744358	0.9785091885	0.9866754373000001	0.9780801626000001	0.9779817097000001	0.9860850097	0.9861053934	1.0
