	GCF_001514115.1:821	GCF_001974775.1:822	GCF_002335465.1:823	GCF_007113405.2:824	GCF_007113425.2:825	GCF_007113445.1:826	GCF_007113465.1:827	GCF_007113485.2:828	GCF_007113505.2:829	GCF_007113525.2:830	GCF_007113545.2:831	GCF_007113565.2:832	GCF_007113585.2:833	GCF_007113665.2:834	GCF_012273535.1:835	GCF_012922115.1:836	GCF_018310535.1:837	GCF_900215305.1:838
GCF_001514115.1:821	1.0	0.7507997044	1.0030723319	0.7599859358000001	0.7683499250000001	0.7535767319000001	0.7658949388	0.7626075128	0.7661072906	0.7646566481	0.7672321213000001	0.7646813283	0.7613052937	0.7616323053	0.742986476	0.7170642965	0.6104009388	0.766248173
GCF_001974775.1:822	0.7291607854000001	1.0	0.7299049004	0.824432139	0.8323180435	0.8157445278000001	0.8326567693	0.8333407958	0.8325128732	0.8332643120000001	0.833830159	0.8274914078000001	0.8259198696000001	0.8260502	0.7442995848	0.7730603242	0.6153007053	0.8298548322
GCF_002335465.1:823	1.0056292973	0.753481744	1.0	0.763220876	0.7716616002000001	0.7566820145	0.7695501090000001	0.7659493965	0.7695591299000001	0.7683115828	0.7702779665	0.767840692	0.7644195384	0.7647431738	0.7460659654	0.7197673021000001	0.6125222419	0.7693848977000001
GCF_007113405.2:824	0.7537794524	0.8419657819	0.7550632172	1.0	0.9528042195	1.0185278097	0.9527801659	0.9083184202000001	0.9527601071	0.9544676571	0.9184511017	0.9271132843000001	1.0148937626	1.0211855191	0.7693086377	0.94391765	0.6212525801000001	0.9044561615000001
GCF_007113425.2:825	0.7457505614000001	0.8318109521	0.7470604738000001	0.9323939958	1.0	0.9248839365	0.9628858696	0.9010191433	0.9628974308	0.9631556871	0.9079928946	0.9081122497	0.9338622721000001	0.9339243202	0.7625753133000001	0.8614125279	0.6130880955	0.8858561312000001
GCF_007113445.1:826	0.7390322019000001	0.8237412986	0.7401907056	1.0070940594	0.9345199627	1.0	0.9333144802000001	0.8902457103	0.9331173202	0.9348973903000001	0.9003795286	0.9090268317	1.0035847641	1.0107874043	0.7515146269	0.9304565857	0.6140370973	0.8862815857
GCF_007113465.1:827	0.7421856387	0.8308261414	0.7438315322	0.9308877503	0.9613546352000001	0.9222219796000001	1.0	0.9095794078	1.0046020247	1.0200049144	0.9178944089000001	0.9160752896000001	0.9323601690000001	0.9313521215	0.761657174	0.8592001173	0.6066237168	0.8870020996
GCF_007113485.2:828	0.7380402646	0.8304288113	0.7393896871000001	0.8862951214	0.8984180299000001	0.8785226929000001	0.9083981672	1.0	0.9085413945	0.9084561382	1.0262312621	0.9160273683000001	0.8871489291	0.8870382119	0.7606735087000001	0.8263443014	0.606581825	0.8829257531
GCF_007113505.2:829	0.7426996084	0.8310274058	0.7441490446	0.9312545869000001	0.9617652732	0.9224099272	1.0050190686	0.9101004777	1.0	1.0210830787	0.9183832078	0.9163630358	0.9327772966000001	0.9316166344000001	0.7618843053000001	0.8594370867000001	0.6066369507	0.8870287962000001
GCF_007113525.2:830	0.7313228427	0.8205900386	0.7329500596	0.9203757073000001	0.9490839467000001	0.9117394263	1.0067035204	0.8977753092	1.0073494404	1.0	0.9039446199000001	0.9048978867	0.9219881715	0.9211931678	0.7522227525	0.8497484797	0.5978232799000001	0.8762275124000001
GCF_007113545.2:831	0.7192097447	0.8048355928	0.7202289853	0.8680526882	0.876953772	0.8606340338	0.8879288434	0.9940198341	0.8880330328	0.8859882055	1.0	0.8927770643	0.8687493192	0.8680064978	0.7416315914	0.8109752159	0.5885262816	0.8576781719000001
GCF_007113565.2:832	0.7432638137	0.8281839037000001	0.7444370192	0.9085661829	0.9094262838	0.9009554649	0.9188620714	0.9200087893000001	0.9187692812	0.9196432922000001	0.9257138083	1.0	0.9047509535	0.9046673256000001	0.7397658537	0.8352008139	0.5928003912	0.8920851648
GCF_007113585.2:833	0.7254919190000001	0.8104242595000001	0.7266074437000001	0.9751144087	0.9169001088000001	0.9751959906000001	0.9168833678	0.8735570758000001	0.9169129300000001	0.9186633891	0.8831600609	0.8870340184000001	1.0	0.9786680815000001	0.7402185595	0.9141716466	0.5977436023	0.8669260738000001
GCF_007113665.2:834	0.744700506	0.8316556106	0.7458409687	1.0067049418	0.9408349484	1.0077672286	0.9397381402	0.8961890733000001	0.9396149692	0.9417688692	0.9053791362	0.9100446348000001	1.0041485995	1.0	0.7597006359	0.9410509584000001	0.6131520625	0.8894316791
GCF_012273535.1:835	0.7149069276000001	0.7374238208	0.7160447407	0.7463292559	0.7559913091	0.7373440032	0.7562837813000001	0.7562892234	0.7561953882	0.7567847852	0.7612512729	0.732319122	0.7474030006	0.7476094709000001	1.0	0.7101298273000001	0.7193467819	0.7474078655
GCF_012922115.1:836	0.7681711632	0.8527349718	0.7691062638	1.0195188703	0.9507723622	1.0163894138	0.9498409338	0.9147069122	0.9497086463000001	0.9518042227	0.9267843612000001	0.9205095665	1.0276705677	1.0310429337	0.7906222981000001	1.0	0.6649613429	0.9087079840000001
GCF_018310535.1:837	0.7403291288	0.7684185604	0.7410130251	0.7596947245	0.7661221029	0.7593961174	0.7592515430000001	0.7601863399000001	0.7589530399000001	0.758123218	0.7614593433	0.7397000065	0.7607655731	0.7605741237	0.9067328556	0.752845991	1.0	0.7634084479000001
GCF_900215305.1:838	0.7357514629	0.8204735752000001	0.7368849277	0.8756094996	0.87637573	0.8677558022	0.8789071211	0.8760056157	0.8785688507	0.8797026447	0.8785313291	0.8812629176000001	0.8735142971000001	0.8734498686000001	0.7458487212	0.8144906913000001	0.6043784902	1.0
