	Streptomyces hygroscopicus subsp. jinggangensis 5008, complete sequence:224	Streptomyces hygroscopicus subsp. jinggangensis TL01, complete sequence:225	Streptomyces hygroscopicus subsp. limoneus strain KCTC 1717 chromosome I:385	Streptomyces corchorusii strain DSM 40340 PRJNA299223_s001, whole genome shotgun sequence:386
Streptomyces hygroscopicus subsp. jinggangensis 5008, complete sequence:224	1.0	0.9745006685000001	0.8471554026	0.8738675021000001
Streptomyces hygroscopicus subsp. jinggangensis TL01, complete sequence:225	1.0040638217	1.0	0.8686021723	0.8947217649
Streptomyces hygroscopicus subsp. limoneus strain KCTC 1717 chromosome I:385	0.8347552442	0.8306877478	1.0	0.8517266955
Streptomyces corchorusii strain DSM 40340 PRJNA299223_s001, whole genome shotgun sequence:386	0.8801515721000001	0.8746226192000001	0.8705947992	1.0
