	GCF_000239075.1:289	GCF_000364805.1:290	GCF_000373405.1:291	GCF_000385945.1:292	GCF_000720395.1:293	GCF_000721595.1:294	GCF_000935135.2:295	GCF_001189025.1:296	GCF_001418625.1:297	GCF_001426325.1:298	GCF_001427565.1:299	GCF_001434355.1:300	GCF_001905485.1:301	GCF_001905575.1:302	GCF_001905595.1:303	GCF_001905645.1:304	GCF_001983595.1:305	GCF_002158965.1:306	GCF_002188345.1:307	GCF_002242735.1:308	GCF_002910875.1:309	GCF_003116675.1:310	GCF_003268965.1:311	GCF_003367645.1:312	GCF_003610995.1:313	GCF_004524875.1:314	GCF_005234185.1:315	GCF_008932075.1:316	GCF_009862355.1:317	GCF_009862365.1:318	GCF_009865135.1:319	GCF_009865505.1:320	GCF_009872615.1:321	GCF_013167895.1:322	GCF_013364315.1:323	GCF_013409565.1:324	GCF_014495705.1:325	GCF_016653995.1:326	GCF_017358145.1:327	GCF_018070745.1:328	GCF_018530825.1:329	GCF_018614445.1:330	GCF_018614515.1:331	GCF_019049185.1:332	GCF_900207595.1:333	GCF_904440635.1:334	GCF_904440645.1:335
GCF_000239075.1:289	1.0	0.8657468935	0.8913717293000001	0.8955241581000001	0.8658485757000001	0.8662257764	0.9566689071000001	0.969647888	0.8962196918	0.9689500919	0.9695509376	0.9697340858000001	0.9630281389	0.9849708678	0.8931775906	0.9691555561	0.8930478190000001	0.8939634725000001	0.9569009873000001	0.8950875898	0.9216497845	0.8912901943	0.8658081392	0.8930555956	0.8919371794000001	0.8659875649000001	0.9214050009	0.8924536766000001	0.8662272246	0.8657256801000001	0.8928978586	0.8947205549	0.8913717293000001	0.8690016351000001	0.8948178068	0.8690451576	0.9633088557	0.8959754474	0.8949576520000001	0.9661487828	0.9702331593	0.8931294125	0.8931825855000001	0.9581874423000001	0.8657281040000001	0.8926076627	0.8925733834
GCF_000364805.1:290	0.8657468935	1.0	0.8651901152	0.8659657648	0.9933068951	0.9914731271	0.8667381986	0.8664212102000001	0.8663453811	0.8660397351	0.8661548103000001	0.8665297192	0.8663164952	0.8654952408000001	0.8654432385	0.8658275777000001	0.8647891967	0.8662239662000001	0.8659780578	0.8655010992000001	0.8670053097	0.8649477621	0.9932784757	0.8647660905000001	0.865888341	0.9939899435	0.8663075368	0.8649593613000001	0.9932990003000001	0.9921282767	0.8664317437	0.8673789043000001	0.8651901152	0.8678206651	0.8657253167000001	0.8678453103	0.8672138527000001	0.8668079383	0.8659496383	0.8658981370000001	0.8662260289	0.8654643741	0.8659359242	0.8655120205	0.9932227761	0.8654425361	0.8654813984
GCF_000373405.1:291	0.8913717293000001	0.8651901152	1.0	0.9231837608000001	0.8649490912000001	0.8651545076	0.8915720448000001	0.8924869726	0.9239503502	0.8923746996	0.8924610493	0.8923628816	0.8926064797000001	0.8912114292000001	0.9390826599000001	0.8918525167	0.9607988730000001	0.9497631886000001	0.8914867491	0.9227862553	0.8949308117	0.9864139892	0.8649062941000001	0.9608232135	0.9280216911	0.8648018796	0.8942674985	0.9488293147	0.8655181089	0.8648969659	0.9298438101000001	0.9620468544	1.0	0.8681545964	0.9222130813	0.8682130202	0.8934692058	0.9238801541	0.9227563605	0.8925420311000001	0.8924422785	0.9389049006	0.9388846115	0.8914748811000001	0.8649800892	0.9607829192	0.9608191297
GCF_000385945.1:292	0.8955241581000001	0.8659657648	0.9231837608000001	1.0	0.8656388152000001	0.8657471013	0.8952953006000001	0.8962352732000001	0.9748739313	0.8958697208	0.8961676493	0.8963977429000001	0.8959411016000001	0.8951433212000001	0.9268794615	0.8956808030000001	0.9254120693000001	0.9282583263	0.8948952857	0.9741640575	0.8965099172000001	0.9233024603000001	0.8653867064	0.9253974287000001	0.9223125536000001	0.8660452493	0.8964372405000001	0.9270147689	0.8656272145	0.8663774629000001	0.9258426405	0.9264061964	0.9231729550000001	0.8688964090000001	0.9742506247	0.8689049548000001	0.8966349433	0.9742725350000001	0.9742605070000001	0.8959886791	0.8960282828	0.9266234262	0.9266374197	0.8948913904	0.8655636854000001	0.9252490967	0.9252674931
GCF_000720395.1:293	0.8658485757000001	0.9933068951	0.8649490912000001	0.8656388152000001	1.0	0.9917696563	0.8661558489000001	0.8669861463	0.8661805770000001	0.8666456623000001	0.8666272611	0.8663133956	0.8663508758	0.8662698804000001	0.8656513452	0.8659055417	0.8646826017	0.8660741855	0.8658348919000001	0.8654167472000001	0.8666703738	0.8647999221	0.9932732767	0.8647260372000001	0.8650416175000001	0.9930699677	0.8661675324	0.8654665896	0.9932622847	0.9919337641	0.8656913033	0.8674475674000001	0.8649707968	0.8671217469	0.8653328457	0.8671044959	0.8664988744000001	0.8663646264	0.8654584160000001	0.8663204729	0.8663827014000001	0.8659809467	0.8657504249	0.8654421121	0.9932322899	0.8647838286	0.8647882438000001
GCF_000721595.1:294	0.8662257764	0.9914731271	0.8651545076	0.8657471013	0.9917696563	1.0	0.8661747395	0.8664270681	0.8667714257	0.8662099697000001	0.8662129784	0.8661446043000001	0.8665041203	0.8661466093	0.8657374781	0.8658854313000001	0.8645334618	0.8662374132	0.8659553449	0.8658922958	0.8668027762	0.8647699860000001	0.9916660259000001	0.8645669789	0.8653313007000001	0.9917843571	0.8664227092000001	0.8657906728	0.9919197963	0.9932958949	0.8657807581	0.8674956747	0.8651716496	0.8669655608	0.8651920387	0.8669996898000001	0.8666283132	0.8664880075	0.8653048565	0.8667272634000001	0.86616306	0.8657857752	0.8659030360000001	0.8655224002	0.9916874104000001	0.8647033770000001	0.8645462098000001
GCF_000935135.2:295	0.9566689071000001	0.8667381986	0.8915720448000001	0.8952953006000001	0.8661558489000001	0.8661747395	1.0	0.9603954139	0.8951629056	0.9597583546	0.9602681117	0.9609982354000001	0.9653668591000001	0.9568800998	0.8927206468000001	0.9592294410000001	0.8931290199	0.8939922431	0.9880606473	0.8941509851	0.9203377595000001	0.8916651454000001	0.8661486220000001	0.8930728995	0.8924151243	0.8667880457	0.9207081199	0.8924280544000001	0.8663971147	0.8666578108	0.8933915241	0.8946188305	0.8914528554000001	0.8689089821	0.8943016847	0.8689533059000001	0.9656470879000001	0.8952148198000001	0.8942538440000001	0.9574452643	0.9609708785000001	0.8926106935	0.8923551566000001	0.9534215541000001	0.8660258655	0.8930503419	0.8930517938
GCF_001189025.1:296	0.969647888	0.8664212102000001	0.8924869726	0.8962352732000001	0.8669861463	0.8664270681	0.9603954139	1.0	0.8966278588000001	0.9907748477	0.9913254238	0.9915895133	0.9687080694	0.9698810127	0.8940964730000001	0.9777951211	0.894531297	0.8946196659000001	0.9608837640000001	0.8957359832	0.9223183107	0.8922736876	0.8662399115	0.8945467703000001	0.8930239348000001	0.8663949901	0.9226694349000001	0.8938581415	0.8666426691	0.8667568777	0.8940570676	0.8958383228000001	0.8924720297000001	0.8696703482	0.8951757462000001	0.8696575253000001	0.9688791555	0.8965977518	0.8954608699000001	0.9704476611	0.9917409831	0.8942924240000001	0.8941709151	0.9613962772	0.8660466410000001	0.8935435458000001	0.8934774862
GCF_001418625.1:297	0.8962196918	0.8663453811	0.9239503502	0.9748739313	0.8661805770000001	0.8667714257	0.8951629056	0.8966278588000001	1.0	0.8962175184000001	0.8964438816	0.8964882692	0.8963934008000001	0.8956369971	0.9266918996	0.8961388866000001	0.9263372502	0.9283768321	0.8952371786000001	0.9922582591	0.8966102827	0.9237031363	0.8663687422	0.9263590311000001	0.9224348376	0.8665141393	0.897391877	0.9273952732	0.8662836902000001	0.8663813048000001	0.9255458169	0.9264381727000001	0.9239752629	0.86836813	0.9930076287	0.8683684957000001	0.896884435	0.9929282078	0.9930514254	0.8964843765	0.8966512502	0.9265175271	0.9267500896	0.8954598146	0.8664125712	0.9256296651	0.9256085534
GCF_001426325.1:298	0.9689500919	0.8660397351	0.8923746996	0.8958697208	0.8666456623000001	0.8662099697000001	0.9597583546	0.9907748477	0.8962175184000001	1.0	0.9988424866000001	0.9911269291	0.9678475374000001	0.9687306949000001	0.893594215	0.9769852836	0.8936266063	0.894402511	0.9598794848000001	0.8955114203000001	0.9219263345	0.8922209974	0.8662178016000001	0.8936480809	0.8925248966	0.8659977433	0.9224049276	0.8932506055	0.8661906371	0.8665422238	0.8938398987	0.8956358289	0.8923555076	0.8692279947	0.8948839852	0.8692158510000001	0.9680416915000001	0.8964167758	0.8953808152	0.9696343179	0.9917152450000001	0.8942752943000001	0.8937832748000001	0.9605492999	0.8660370186	0.8934782328	0.8933909263
