	Streptomyces sp. ACT-1 strain XylebKG-1 scaffold_1, whole genome shotgun sequence:272	Streptomyces sp. SID4928 SID4928.c1, whole genome shotgun sequence:273	Streptomyces griseus subsp. griseus NBRC 13350, complete sequence:565	Streptomyces griseus strain NRRL B-2165 Streptomyces_griseus_NRRL_B-2165_contig_1, whole genome shotgun sequence:566	Streptomyces sp. SID7816 SID7816.c1, whole genome shotgun sequence:567	Streptomyces griseus strain CGMCC 4.18 Scaffold1, whole genome shotgun sequence:568	Streptomyces sp. OspMP-M43, whole genome shotgun sequence:569	Streptomyces griseus strain DSM 40236, whole genome shotgun sequence:570
Streptomyces sp. ACT-1 strain XylebKG-1 scaffold_1, whole genome shotgun sequence:272	1.0	1.0	0.9911626985	0.9910652640000001	0.9911626985	0.9911061104000001	0.9927918976000001	0.9909802868
Streptomyces sp. SID4928 SID4928.c1, whole genome shotgun sequence:273	1.0	1.0	0.9911626985	0.9910652640000001	0.9911626985	0.9911061104000001	0.9927918976000001	0.9909802868
Streptomyces griseus subsp. griseus NBRC 13350, complete sequence:565	0.9911626985	0.9911626985	1.0	0.9995054981	1.0	0.9998793674	0.9917824749	0.9999465797
Streptomyces griseus strain NRRL B-2165 Streptomyces_griseus_NRRL_B-2165_contig_1, whole genome shotgun sequence:566	0.9910652640000001	0.9910652640000001	0.9995054981	1.0	0.9995091420000001	0.9994616549	0.9916007552	0.9994888715
Streptomyces sp. SID7816 SID7816.c1, whole genome shotgun sequence:567	0.9911626985	0.9911626985	1.0	0.9995091420000001	1.0	0.9998793674	0.9917824749	0.9999465797
Streptomyces griseus strain CGMCC 4.18 Scaffold1, whole genome shotgun sequence:568	0.9911061104000001	0.9911061104000001	0.9998793674	0.9994616549	0.9998793674	1.0	0.9916692453	0.9998721954
Streptomyces sp. OspMP-M43, whole genome shotgun sequence:569	0.9927918976000001	0.9927918976000001	0.9917824749	0.9916007552	0.9917824749	0.9916692453	1.0	0.9916913659000001
Streptomyces griseus strain DSM 40236, whole genome shotgun sequence:570	0.9909802868	0.9909802868	0.9999465797	0.9994888715	0.9999465797	0.9998721954	0.9916913659000001	1.0
