	GCF_002154555.1:544	GCF_003933485.1:545	GCF_004104485.1:546	GCF_004794665.1:547	GCF_008064995.1:548	GCF_009862685.1:549	GCF_009862765.1:550	GCF_009862845.1:551	GCF_014138855.1:552	GCF_014138905.1:553	GCF_014673495.1:554	GCF_016457305.1:555	GCF_016467295.1:556	GCF_900091975.1:557
GCF_002154555.1:544	1	201080	206255	113555	194192	186978	57429	57372	207122	193782	194532	193978	203803	193978
GCF_003933485.1:545	201080	1	241392	221223	109358	112040	197909	198039	240515	109851	109337	125394	237210	123073
GCF_004104485.1:546	206255	241392	1	228235	234769	221894	203409	204566	79219	235663	234764	237595	82066	234378
GCF_004794665.1:547	113555	221223	228235	1	214643	201369	108556	108676	229806	215003	216954	213428	225812	211346
GCF_008064995.1:548	194192	109358	234769	214643	1	112264	192862	192116	236413	41471	30708	124256	233794	121138
GCF_009862685.1:549	186978	112040	221894	201369	112264	1	184392	184840	221380	110180	114420	99469	219228	97132
GCF_009862765.1:550	57429	197909	203409	108556	192862	184392	1	1224	206317	190530	190975	190202	201529	189502
GCF_009862845.1:551	57372	198039	204566	108676	192116	184840	1224	1	205725	189646	190023	188940	201317	187876
GCF_014138855.1:552	207122	240515	79219	229806	236413	221380	206317	205725	1	235439	235981	237124	82079	233984
GCF_014138905.1:553	193782	109851	235663	215003	41471	110180	190530	189646	235439	1	42585	121988	232490	122351
GCF_014673495.1:554	194532	109337	234764	216954	30708	114420	190975	190023	235981	42585	1	127401	234385	123253
GCF_016457305.1:555	193978	125394	237595	213428	124256	99469	190202	188940	237124	121988	127401	1	234588	36711
GCF_016467295.1:556	203803	237210	82066	225812	233794	219228	201529	201317	82079	232490	234385	234588	1	232465
GCF_900091975.1:557	193978	123073	234378	211346	121138	97132	189502	187876	233984	122351	123253	36711	232465	1
