	Streptomyces sp. V2 1, whole genome shotgun sequence:779	Streptomyces sp. ST1015 chromosome, complete genome:780	Streptomyces sp. ST1020 NODE_1000_length_1063_cov_69.9494_ID_1999, whole genome shotgun sequence:781
Streptomyces sp. V2 1, whole genome shotgun sequence:779	1.0	0.9021454748000001	0.8802591128
Streptomyces sp. ST1015 chromosome, complete genome:780	0.9091259456	1.0	0.9737204015
Streptomyces sp. ST1020 NODE_1000_length_1063_cov_69.9494_ID_1999, whole genome shotgun sequence:781	0.9120026337	1.0010882291	1.0
