	Streptomyces sp. SirexAA-E, complete sequence:420	Streptomyces sp. SID3915 SID3915.c1, whole genome shotgun sequence:421	Streptomyces sp. SID1 SID1.c1, whole genome shotgun sequence:422
Streptomyces sp. SirexAA-E, complete sequence:420	1.0	0.9961226246	1.0
Streptomyces sp. SID3915 SID3915.c1, whole genome shotgun sequence:421	0.9961226246	1.0	0.9961142898
Streptomyces sp. SID1 SID1.c1, whole genome shotgun sequence:422	1.0	0.9961142898	1.0
