	Streptomyces tsukubensis NRRL18488 chromosome:423	Streptomyces tsukubensis strain NRRL 18488 chromosome, complete genome:424	Streptomyces sp. SID5473 SID5473.c1, whole genome shotgun sequence:425	Streptomyces tsukubensis strain L20 chromosome:426
Streptomyces tsukubensis NRRL18488 chromosome:423	1.0	1.0042054719	0.9563120051	1.0028832133
Streptomyces tsukubensis strain NRRL 18488 chromosome, complete genome:424	1.0025087449	1.0	0.9541240978000001	1.0034489475
Streptomyces sp. SID5473 SID5473.c1, whole genome shotgun sequence:425	0.9979351086	0.9973370955	1.0	0.9935330394
Streptomyces tsukubensis strain L20 chromosome:426	1.0118476601	1.0141319502	0.9606039973	1.0
