	Streptomyces lavendulae subsp. lavendulae strain NRRL B-2774 contig1.1, whole genome shotgun sequence:338	Streptomyces lavendulae subsp. lavendulae strain CCM 3239 chromosome, complete genome:339	Streptomyces lavendulae subsp. lavendulae strain Del-LP chromosome, complete genome:340
Streptomyces lavendulae subsp. lavendulae strain NRRL B-2774 contig1.1, whole genome shotgun sequence:338	1.0	1.0032905022	0.9315066940000001
Streptomyces lavendulae subsp. lavendulae strain CCM 3239 chromosome, complete genome:339	0.9508833296	1.0	0.906393768
Streptomyces lavendulae subsp. lavendulae strain Del-LP chromosome, complete genome:340	0.9813823386	1.0075547063	1.0
