	Streptomyces lavendulae subsp. lavendulae strain NRRL WC-3542 contig1.1, whole genome shotgun sequence:704	Streptomyces sp. NRRL B-1322 contig1.1, whole genome shotgun sequence:705	Streptomyces sp. NRRL S-98 contig1.1, whole genome shotgun sequence:706	Streptomyces virginiae strain NRRL ISP-5094 contig1.1, whole genome shotgun sequence:707	Streptomyces sp. NRRL S-104 contig1.1, whole genome shotgun sequence:708	Streptomyces sp. WM6349 P397contig1.1, whole genome shotgun sequence:709	Streptomyces sp. XY511 P413contig1.1, whole genome shotgun sequence:710	Streptomyces sp. H021 P429contig1.1, whole genome shotgun sequence:711	Streptomyces sp. WM6373 P401contig1.1, whole genome shotgun sequence:712	Streptomyces sp. XY413 P411contig1.1, whole genome shotgun sequence:713	Streptomyces sp. XY37 P410contig1.1, whole genome shotgun sequence:714	Streptomyces sp. XY533 P414contig1.1, whole genome shotgun sequence:715	Streptomyces sp. XY58 P415contig1.1, whole genome shotgun sequence:716	Streptomyces sp. XY593 P416contig1.1, whole genome shotgun sequence:717	Streptomyces sp. XY66 P418contig1.1, whole genome shotgun sequence:718	Streptomyces sp. H036 P430contig1.1, whole genome shotgun sequence:719	Streptomyces sp. IGB124 P428contig1.1, whole genome shotgun sequence:720	Streptomyces sp. MMG1064 P431contig1.1, whole genome shotgun sequence:721	Streptomyces sp. WAC05950 strain WAC5950 substr. delta orf15 pCRISPomyces AA000328-100_WAC05950, whole genome shotgun sequence:722	Streptomyces sp. INR7 chromosome, complete genome:723	Streptomyces cinnamonensis strain JCM 4019 sequence001, whole genome shotgun sequence:724	Streptomyces cinnamonensis strain NBRC 15873 sequence01, whole genome shotgun sequence:725	Streptomyces cinnamonensis strain DSM 40803 Ga0451095_01, whole genome shotgun sequence:726
Streptomyces lavendulae subsp. lavendulae strain NRRL WC-3542 contig1.1, whole genome shotgun sequence:704	1.0	1.0109661206	0.8911777750000001	0.8933071269	0.8887121844	0.8781427512000001	0.9172891192	0.8834979115	0.8833293732	0.8834640363	0.8871038886	0.9559140718	0.8857634826	0.9550371461	0.8863735960000001	0.9670993640000001	0.8842753662	0.8867846475000001	0.7962200981	0.9595205277000001	0.9684719694	0.9689383225	0.9702398259
Streptomyces sp. NRRL B-1322 contig1.1, whole genome shotgun sequence:705	1.0112375049	1.0	0.8914342447	0.8932757324	0.8888447874000001	0.8782388721000001	0.9158047415	0.8833285859000001	0.8835257856000001	0.8837950642	0.8870617292	0.9561197915	0.8858757776	0.955229819	0.8866348824	0.9671929035000001	0.8844491635	0.8868658467	0.7952147183	0.9595776695	0.9684249521	0.9702866746000001	0.9716103187
Streptomyces sp. NRRL S-98 contig1.1, whole genome shotgun sequence:706	0.9075149638000001	0.9075325167	1.0	0.9728037961	1.0276497746	0.8267175716	0.8750809382	0.9420528946000001	0.9386063177	0.9427125895	0.9669778317000001	0.9078142157	0.9662979022	0.9152911239	0.9426329922000001	0.9082749782	0.9413918588	0.9668977468000001	0.7702974429	0.9066944896	0.9075406836000001	0.9070036149	0.9078424953
Streptomyces virginiae strain NRRL ISP-5094 contig1.1, whole genome shotgun sequence:707	0.8971351697000001	0.8968628862	0.9593849304000001	1.0	0.9561755924	0.8175306767	0.86568962	0.9312040169	0.9343950824	0.9339406756	0.9522596399000001	0.9020466096	0.9505658326	0.8996067578	0.9369796712	0.8978437076	0.9330810294	0.9510496917000001	0.7636821518	0.8980854568000001	0.900403292	0.8993954226	0.9004576285
Streptomyces sp. NRRL S-104 contig1.1, whole genome shotgun sequence:708	0.9086255881	0.9085172795	1.0317619609	0.973429265	1.0	0.8276073158	0.8764208469	0.9426697401	0.939505048	0.9438280916	0.9663701132	0.908488642	0.9657468185	0.9163867266	0.9428257779	0.9093694297	0.9423077323000001	0.9662752667000001	0.7715947495000001	0.9073748378000001	0.9087933747	0.9085335564	0.9092111890000001
Streptomyces sp. WM6349 P397contig1.1, whole genome shotgun sequence:709	0.9642033208	0.9640500717	0.8913971127	0.8938208407	0.8887998952	1.0	0.9082842185000001	0.8836176832	0.8847544341	0.8863230688	0.8870299074	0.9546826869	0.8858955222	0.9573324771	0.8853963454	1.0035136893	0.8860560001000001	0.8869233164	0.8782743361	0.9605722632	0.9707325741	0.9687295583000001	0.971122137
Streptomyces sp. XY511 P413contig1.1, whole genome shotgun sequence:710	0.9517100956000001	0.9499150215000001	0.8915736208	0.8943418651	0.8893798897	0.8582557080000001	1.0	0.8821882915	0.8825899291	0.8843599165	0.8854761560000001	0.9467848811	0.8847563380000001	0.9525354771000001	0.8848558160000001	0.9477181855000001	0.885565947	0.8856793345	0.7959673548	0.9447840204	0.952759023	0.9517817546	0.9523712950000001
Streptomyces sp. H021 P429contig1.1, whole genome shotgun sequence:711	0.9154843627	0.9150632667	0.9585863579	0.9608003676	0.9553909898	0.8338852647	0.8810656271	1.0	0.9825870921000001	0.982147391	0.9673021143	0.9170026649	0.9669904165000001	0.9172534619	0.9815063825	0.9161333094	0.9884541560000001	0.9682142616	0.7780655508000001	0.9131366441000001	0.9152721403	0.9151605095	0.9158103245
Streptomyces sp. WM6373 P401contig1.1, whole genome shotgun sequence:712	0.8923869968	0.8923458813	0.9311605897	0.9399484194000001	0.9283374072	0.8140476125	0.8593915803000001	0.9579794933	1.0	0.9660242211000001	0.9407061536	0.8962468941	0.9401409366000001	0.8928693782	0.9694651033	0.8932418361000001	0.9661819111000001	0.9418486803	0.7604298793000001	0.8925524262000001	0.895722188	0.894280002	0.8958075631
Streptomyces sp. XY413 P411contig1.1, whole genome shotgun sequence:713	0.8616904849	0.8617820172	0.9029262551	0.9070362190000001	0.9003917209000001	0.7873194368	0.8313674903	0.9244718388000001	0.9326525385000001	1.0	0.9102950726000001	0.8632140775	0.9100449933	0.863892514	0.9319203968	0.8677312668	0.9498067898	0.9113391713000001	0.7352397738	0.86162779	0.8655550395	0.8645884631	0.8658097889
