	Streptomyces indonesiensis strain DSM 41759 DSM41759-1_1_1, whole genome shotgun sequence:276	Streptomyces asiaticus strain DSM 41761 DSM_41761_DNA2_1_1, whole genome shotgun sequence:277	Streptomyces rhizosphaericus strain DSM 41760 DSM41760-2_1_1, whole genome shotgun sequence:461	Streptomyces rhizosphaericus strain NRRL B-24304 NRRL_B-24304_contig_1, whole genome shotgun sequence:511
Streptomyces indonesiensis strain DSM 41759 DSM41759-1_1_1, whole genome shotgun sequence:276	1.0	1.0453675388	0.8881267752	0.9212218203
Streptomyces asiaticus strain DSM 41761 DSM_41761_DNA2_1_1, whole genome shotgun sequence:277	1.0267886902	1.0	0.8800562186	0.911013146
Streptomyces rhizosphaericus strain DSM 41760 DSM41760-2_1_1, whole genome shotgun sequence:461	0.9381835346	0.9464794588000001	1.0	0.9568569020000001
Streptomyces rhizosphaericus strain NRRL B-24304 NRRL_B-24304_contig_1, whole genome shotgun sequence:511	0.9298615269	0.9361956966	0.9142989341000001	1.0
