	GCF_001278095.1:67	GCF_001751305.1:68	GCF_002804165.1:69	GCF_003352445.1:70	GCF_003949895.1:71	GCF_004000405.1:72	GCF_004334925.1:73	GCF_006788935.1:74	GCF_013363475.1:75	GCF_013363675.1:76	GCF_014649215.1:77	GCF_018619495.1:78	GCF_018619515.1:79	GCF_018619535.1:80	GCF_018619555.1:81	GCF_018619575.1:82	GCF_018619585.1:83	GCF_900091865.1:84
GCF_001278095.1:67	1.0	0.9673711482	0.9795818537000001	0.979522195	0.9845393368	0.96183816	0.9857639764	0.9794516905	0.9792591519	0.9795017946000001	0.9794800371000001	0.9857723796000001	0.9857106626000001	0.9858324365000001	0.9857687722	0.9859721857	0.9857765807000001	0.9834706963000001
GCF_001751305.1:68	0.9673711482	1.0	0.9675366240000001	0.9673123224	0.9695188413	0.9734243274000001	0.9674023458000001	0.9673385455	0.9672214747000001	0.9672862727	0.9674116978	0.9674141484000001	0.9673559734	0.9675347244	0.9673934587	0.9675543350000001	0.9677466109	0.9674809723000001
GCF_002804165.1:69	0.9795818537000001	0.9675366240000001	1.0	0.9935794967	0.9816671715	0.9615912421	0.9793010148	0.9935038546	0.9939577854	0.9940478020000001	0.9935108384	0.9793126237	0.9792457386000001	0.9794223552	0.9793246516	0.9793770267	0.979387738	0.9799556597
GCF_003352445.1:70	0.979522195	0.9673123224	0.9935794967	1.0	0.9816577890000001	0.9614509097	0.9794550046	0.9947686632	0.9941984646	0.9945085300000001	0.9947699907	0.9794568994	0.9794021663	0.9795233216	0.9794658033	0.9795471464000001	0.9795694265	0.9799704807
GCF_003949895.1:71	0.9845393368	0.9695188413	0.9816671715	0.9816577890000001	1.0	0.9643131776	0.9851412851	0.9817358597	0.9816379002000001	0.9817491218000001	0.9817685221	0.9850143527	0.9849663012000001	0.9850297072	0.9850164776	0.9850450563	0.9851717061	0.9859235367
GCF_004000405.1:72	0.96183816	0.9734243274000001	0.9615912421	0.9614509097	0.9643131776	1.0	0.9616055846	0.9616959220000001	0.9615669751	0.9614440299	0.9616900029000001	0.9616337996000001	0.9616980308	0.9617867437000001	0.9616799629	0.9619637240000001	0.9619914359	0.9616816776
GCF_004334925.1:73	0.9857639764	0.9674023458000001	0.9793010148	0.9794550046	0.9851412851	0.9616055846	1.0	0.9793865296	0.9792135735	0.9794135603	0.9794285880000001	0.9998600572	0.9998364363000001	0.9998698924	0.9998398454	0.9998331971000001	0.9998155002	0.9833764612
GCF_006788935.1:74	0.9794516905	0.9673385455	0.9935038546	0.9947686632	0.9817358597	0.9616959220000001	0.9793865296	1.0	0.9940395053000001	0.9941286606	0.9999234638000001	0.9792942828000001	0.9792489022	0.9793532697	0.9793083708	0.9794445648000001	0.9794072192000001	0.9799269610000001
GCF_013363475.1:75	0.9792591519	0.9672214747000001	0.9939577854	0.9941984646	0.9816379002000001	0.9615669751	0.9792135735	0.9940395053000001	1.0	0.9942600841	0.9940718381	0.9791741150000001	0.9790832489	0.9792754448000001	0.9791609157000001	0.9792455886	0.9792585636000001	0.9796972327000001
GCF_013363675.1:76	0.9795017946000001	0.9672862727	0.9940478020000001	0.9945085300000001	0.9817491218000001	0.9614440299	0.9794135603	0.9941286606	0.9942600841	1.0	0.9941543582000001	0.9793259705	0.9792793787	0.9794219877	0.9793380298000001	0.9794239411000001	0.9794876313	0.9799762285
