	Streptomyces agglomeratus strain 6-3-2, whole genome shotgun sequence:174	Streptomyces agglomeratus strain 5-2-6, whole genome shotgun sequence:175	Streptomyces agglomeratus strain 9-3-15 plasmid pAM9P, whole genome shotgun sequence:199	Streptomyces agglomeratus strain 5-1-3 plasmid pAMP1, whole genome shotgun sequence:200
Streptomyces agglomeratus strain 6-3-2, whole genome shotgun sequence:174	1.0	0.9957617151	0.9981379269	0.9952350486
Streptomyces agglomeratus strain 5-2-6, whole genome shotgun sequence:175	0.9957617151	1.0	0.9963028934	0.9955728644
Streptomyces agglomeratus strain 9-3-15 plasmid pAM9P, whole genome shotgun sequence:199	0.9981379269	0.9963028934	1.0	0.9957679072000001
Streptomyces agglomeratus strain 5-1-3 plasmid pAMP1, whole genome shotgun sequence:200	0.9952350486	0.9955728644	0.9957679072000001	1.0
