	GCF_000239075.1:289	GCF_000364805.1:290	GCF_000373405.1:291	GCF_000385945.1:292	GCF_000720395.1:293	GCF_000721595.1:294	GCF_000935135.2:295	GCF_001189025.1:296	GCF_001418625.1:297	GCF_001426325.1:298	GCF_001427565.1:299	GCF_001434355.1:300	GCF_001905485.1:301	GCF_001905575.1:302	GCF_001905595.1:303	GCF_001905645.1:304	GCF_001983595.1:305	GCF_002158965.1:306	GCF_002188345.1:307	GCF_002242735.1:308	GCF_002910875.1:309	GCF_003116675.1:310	GCF_003268965.1:311	GCF_003367645.1:312	GCF_003610995.1:313	GCF_004524875.1:314	GCF_005234185.1:315	GCF_008932075.1:316	GCF_009862355.1:317	GCF_009862365.1:318	GCF_009865135.1:319	GCF_009865505.1:320	GCF_009872615.1:321	GCF_013167895.1:322	GCF_013364315.1:323	GCF_013409565.1:324	GCF_014495705.1:325	GCF_016653995.1:326	GCF_017358145.1:327	GCF_018070745.1:328	GCF_018530825.1:329	GCF_018614445.1:330	GCF_018614515.1:331	GCF_019049185.1:332	GCF_900207595.1:333	GCF_904440635.1:334	GCF_904440645.1:335
GCF_000239075.1:289	1.0	0.3665315719	0.5994222591	0.598632072	0.36820932570000003	0.3672321081	0.7842028373000001	0.8252820804000001	0.5786317364	0.82645218	0.8276001982000001	0.8272239291	0.7864525024	0.8838186410000001	0.5356146192	0.8176823944	0.5858771243	0.5859467915000001	0.7894349428	0.6030646057	0.6616968896000001	0.5970927693	0.3674648473	0.5857287365	0.5555831575	0.3658024402	0.7006453765	0.5990342869	0.3178248202	0.3677646039	0.5771985354	0.5555047681	0.5994222591	0.3384270981	0.601083231	0.3385505338	0.7526289152000001	0.5829620326	0.5980407289	0.7821012287	0.8186978131	0.5313750780000001	0.5291144825	0.8008008525	0.3652559226	0.593049312	0.5926236907
GCF_000364805.1:290	0.4350848498	1.0	0.4357776192	0.442541098	0.9350102126000001	0.9156171263	0.4364183588	0.4440901963	0.4261085981	0.4467447638	0.4483489062	0.4457660272	0.4353465714	0.4401599162	0.40821035240000003	0.44483984460000003	0.43571549800000003	0.4279565073	0.4338325965	0.4404382821	0.4312295346	0.43587578120000003	0.9375887668	0.4351303267	0.4246975032	0.9169351705000001	0.4372838618	0.4346253626	0.8549338848	0.9250426428	0.43677798030000003	0.4077371041	0.4357776192	0.4250929033	0.4457357529	0.42524060500000005	0.43464960820000004	0.4300188264	0.44181228780000004	0.44643625470000003	0.4457631439	0.4074435356	0.40874663920000004	0.44094180460000004	0.9014369788000001	0.4400089381	0.4397297859
GCF_000373405.1:291	0.6722954884	0.41174627700000005	1.0	0.7793264385	0.4106245	0.4122978164	0.6618452173	0.6777535484	0.7573292568000001	0.6799540095000001	0.6816975375000001	0.6787818336	0.6603149247	0.6767366554	0.7002540994	0.6823535895	0.8520246224	0.8147399939000001	0.6615326701	0.786038526	0.6428349419	0.9414216688	0.41158703150000003	0.8515678131000001	0.7273908499	0.40866612680000003	0.6863783159	0.8102475612000001	0.3549007006	0.41119015600000003	0.7715303421	0.8125551354	0.9999040317000001	0.38407458040000003	0.7839048093000001	0.3840578633	0.6429167936	0.7622985594	0.7800977763	0.6644315331	0.6768110773	0.6962080742	0.6977012177	0.6662286795	0.4052151053	0.8705886141	0.870416614
GCF_000385945.1:292	0.6858316432	0.4271186899	0.7960669932000001	1.0	0.42374557890000003	0.42572110100000005	0.6740241733	0.6964683209	0.8599399324	0.694515314	0.6965592673000001	0.7003124811	0.6754284662000001	0.6877510038	0.7016843926	0.6942785246000001	0.7871686687	0.7925122423000001	0.6726551711000001	0.887239149	0.6793987370000001	0.7913008468	0.4257775156	0.7864241481	0.7475371748	0.4261813984	0.7108917323	0.7902048102	0.3678745289	0.4226195641	0.7904837209000001	0.7508557687	0.7963798032	0.406936691	0.8937686937	0.40713110620000004	0.6649056295	0.8580048871	0.8897922249	0.6914837262	0.6949296955	0.7006805673000001	0.7018728628	0.6797015542	0.4228181536	0.7998662494000001	0.799922664
GCF_000720395.1:293	0.43477433320000003	0.9300855495	0.4323013994	0.436733751	1.0	0.9109002032	0.4346270184	0.44326279690000003	0.42382062740000004	0.4456396502	0.4470678219	0.44111213060000004	0.4337990568	0.43987286080000004	0.4060944802	0.4433695676	0.433259337	0.426854922	0.4343403411	0.4358436043	0.4313713604	0.4311060633	0.9256891792	0.4334129094	0.41778254400000003	0.8898031535	0.4369823611	0.4358761961	0.8553937960000001	0.9176018552	0.43148139020000004	0.4079456932	0.4325301937	0.4176168474	0.43947628400000005	0.4180521432	0.42934558580000004	0.4256940028	0.43333038700000004	0.44475745590000004	0.4409457821	0.4069901023	0.4055396377	0.4384767593	0.8949831605	0.4344928706	0.43446849200000004
GCF_000721595.1:294	0.44003513240000003	0.924268266	0.44048427630000003	0.4452606794	0.9243754255000001	1.0	0.4362817718	0.4512583039	0.43290730600000005	0.4517452843	0.45293316710000003	0.4493967714	0.4391777242	0.44470186240000004	0.4129900596	0.4464410214	0.443779497	0.4350748383	0.4380459346	0.4443735046	0.43428053510000003	0.4373025652	0.9204531233000001	0.4438150845	0.42766191470000003	0.8998783674	0.4437739406	0.44364667210000003	0.8534493319	0.9294296495000001	0.4394780353	0.41344793490000004	0.44063840070000004	0.42520756530000003	0.4477237603	0.4252500322	0.43485218470000003	0.4355079744	0.4410535446	0.4511977124	0.4484228106	0.4144674054	0.4140455145	0.4444438859	0.8902109931000001	0.44200766100000005	0.44144791800000005
GCF_000935135.2:295	0.8009153901	0.3754902547	0.6026807693	0.6008639713	0.375929006	0.3718592523	1.0	0.827874069	0.582662502	0.8372576635000001	0.8388412726000001	0.832722096	0.8189912441	0.8022649084	0.543402324	0.8328041857	0.5925123614000001	0.5943779846	0.8740266228	0.6062738841	0.6710224563	0.6040823829	0.3729484064	0.5918206882	0.5683982928	0.3741993719	0.6976084616	0.6076946670000001	0.3266288543	0.3751936944	0.5874558402	0.5573099844	0.6034058196000001	0.34977002490000003	0.6085230060000001	0.3498117463	0.7881605936	0.5825530116000001	0.6068966606	0.8032612606	0.8276429099	0.5395709461	0.541547864	0.7940636082	0.3708703423	0.5998458563	0.6001302384
GCF_001189025.1:296	0.8666580792	0.39287463370000003	0.6345850611	0.6383945984	0.3942189921	0.3954794078	0.8512388272	1.0	0.61854621	0.9617763943000001	0.9629949546000001	0.9458246164	0.8435338389	0.8631072106000001	0.5598740952	0.9099260145	0.6258566444	0.6240984856	0.8489132436	0.6442258327	0.7033022405	0.6314613263000001	0.3923854704	0.6255020909	0.5893506175000001	0.3896109558	0.7423847516000001	0.6374347067	0.3398119545	0.3949973171	0.610060346	0.5877108364	0.6344559006	0.3590958166	0.6447424745	0.35890126440000003	0.8081547773000001	0.6234051468	0.6413869698	0.8577725598	0.9478410960000001	0.5607561892	0.5602295763	0.8265123713	0.38943993990000003	0.6280698793	0.6279481392
GCF_001418625.1:297	0.6615771125000001	0.4104270239	0.772032577	0.8582005738	0.41038473550000004	0.4130726411	0.6522845052	0.6734494427000001	1.0	0.6774498058	0.6793987362	0.6736363957	0.6531694072	0.6635235183	0.6786742779	0.6722454206	0.7522275609	0.7608757425	0.6479162956	0.9141608434	0.6502759922	0.7678004479	0.4099839417	0.7523746238	0.7325329998	0.41011181700000005	0.6850691783	0.7613915356000001	0.3543785166	0.4067697655	0.761099682	0.7361850826	0.7720680488	0.3928146966	0.9346109164	0.39289346680000004	0.6386537320000001	0.9135114944	0.9147955491	0.6643016261	0.6731022986	0.6754970883	0.6741537036	0.6504384557	0.4070104942	0.767501399	0.7668135486000001
GCF_001426325.1:298	0.8139350286	0.3706541859	0.5970685806	0.597030197	0.37169500110000003	0.3712948548	0.8073705638	0.9019879767000001	0.5835403746	1.0	0.99932073	0.8991400878	0.8013844626000001	0.8216364308	0.5268904274	0.8671819927000001	0.5855618744000001	0.586086414	0.8025013926	0.6078681805	0.663186554	0.5959911215	0.3678574027	0.5850901802	0.5548337941	0.36879992110000004	0.6948731368000001	0.6022467778	0.3212215509	0.3712390736	0.5730614354	0.5529092863	0.597031828	0.3385521251	0.6054945955000001	0.3383677098	0.7676764887	0.5862847473	0.603517351	0.8073990525	0.9060282579000001	0.5339306096	0.5299760119	0.7842094888000001	0.3652903773	0.590029812	0.5897098037
GCF_001427565.1:299	0.8135475729	0.37129227270000004	0.5974846638	0.5976719915	0.3721916847	0.3715778227	0.8073910455000001	0.9014486751	0.5841291506	0.9974594624	1.0	0.8965390819	0.801415985	0.8208923182000001	0.5273218493	0.8660608796	0.5857399956	0.5859515262	0.8020888889000001	0.6073102536	0.6631725592000001	0.5961697880000001	0.3685722218	0.5852513806	0.5551941773	0.36910370730000003	0.6946208285000001	0.602628905	0.3220753266	0.3720018607	0.5731647253000001	0.5535127859	0.5975924369	0.3387732182	0.6056385217	0.3387900408	0.7680701270000001	0.5863523381	0.6043352589000001	0.8071751736	0.9054087142	0.5340033502	0.5306319935	0.7826571627000001	0.3660385218	0.5901807268	0.5903834662
GCF_001434355.1:300	0.8468818285	0.3844537673	0.6195874403	0.6257978313	0.3824543568	0.38395733390000003	0.8347214706	0.9220722749	0.6031801579	0.9346630560000001	0.933698334	1.0	0.8254097271	0.8407467163000001	0.5488349413	0.8953168651000001	0.6089244078	0.6068600044	0.8274566107	0.627906543	0.6889823206	0.619893529	0.3831958421	0.6082945975	0.5775921352	0.38329870050000003	0.7257255139000001	0.6173297534000001	0.32982868530000004	0.3834393115	0.5977357799	0.5725873359	0.6198009564	0.3532824512	0.6302171286	0.35333320220000003	0.7937448034	0.6080193663	0.6278728597000001	0.8346035789	0.934988134	0.544018113	0.54694438	0.8085915759000001	0.3806174854	0.6147811240000001	0.6153531753
GCF_001905485.1:301	0.8217560809000001	0.3832154277	0.6151686722	0.616016365	0.3838750777	0.3829693568	0.8378985846	0.8393199814000001	0.5969226258	0.8502356997	0.8518557529	0.8424425321000001	1.0	0.8282902838	0.5514006659	0.8366317753	0.6088076303000001	0.6052730002000001	0.8625628934	0.6209770064	0.6915307086	0.6141925795000001	0.3810800447	0.6088339332	0.5792725485	0.38095187550000004	0.7239030465	0.6185086835	0.33290921770000004	0.38232735760000003	0.5973562781	0.5739255539	0.6155254923	0.3551422354	0.617975703	0.35511985490000003	0.9541224891000001	0.5989697555	0.6184767278000001	0.8029922819	0.8448313693	0.5552222056	0.5506716824	0.8342091365000001	0.3791390495	0.610588039	0.6112111187
