	Streptomyces lividans 1326 chromosome, whole genome shotgun sequence:309	Streptomyces violaceoruber strain NRRL S-12 contig1.1, whole genome shotgun sequence:310	Streptomyces lividans TK24 chromosome, complete genome:311	Streptomyces sp. WM6391 contig1.1, whole genome shotgun sequence:312	Streptomyces sp. 111WW2 B0E38_1, whole genome shotgun sequence:313	Streptomyces sp. 2221.1 Ga0151177_11, whole genome shotgun sequence:314	Streptomyces sp. E5N91 s-91_contig_1, whole genome shotgun sequence:315	Streptomyces coelicolor strain A3(2) R4-mCherry-17 Ga0316153_101, whole genome shotgun sequence:316	Streptomyces coelicolor strain A3(2) R4-mCherry-18 Ga0316154_101, whole genome shotgun sequence:317	Streptomyces coelicolor A3(2) strain CFB_NBC_0001 chromosome, complete genome:318	Streptomyces sp. SID7813 SID7813.c1, whole genome shotgun sequence:319	Streptomyces coelicolor strain M1154/pAMX4/pGP1416 chromosome, complete genome:320	Streptomyces sp. 2114.2 chromosome I:321
Streptomyces lividans 1326 chromosome, whole genome shotgun sequence:309	1.0	0.9936460085000001	0.9992072865	0.9991705629000001	0.9931814236000001	0.9937290110000001	0.9842552306000001	0.9923599409	0.9923439832000001	0.9923097287	0.9922974612000001	0.9923406594	0.9937403586
Streptomyces violaceoruber strain NRRL S-12 contig1.1, whole genome shotgun sequence:310	0.9936460085000001	1.0	0.9938938227	0.9938761726	0.9963267406	0.9937748535	0.9842852362000001	0.9936293736	0.9936192807	0.9935963575000001	0.9935738477	0.9935991207	0.9937940763
Streptomyces lividans TK24 chromosome, complete genome:311	0.9992072865	0.9938938227	1.0	0.9997816477	0.9938725931000001	0.9940710999000001	0.9847769550000001	0.9933002569	0.9932970507000001	0.9932691140000001	0.9932526007	0.9933154439	0.9940905418
Streptomyces sp. WM6391 contig1.1, whole genome shotgun sequence:312	0.9991705629000001	0.9938761726	0.9997816477	1.0	0.9934155181000001	0.9940555399000001	0.9842515201	0.9924319915	0.992428909	0.9924162221	0.992398804	0.9924430925000001	0.9940777079
Streptomyces sp. 111WW2 B0E38_1, whole genome shotgun sequence:313	0.9931814236000001	0.9963267406	0.9938725931000001	0.9934155181000001	1.0	0.9937687629	0.9846179380000001	0.9928317317	0.9928314942	0.9928422506000001	0.9928205138	0.9928388715	0.9937708422
Streptomyces sp. 2221.1 Ga0151177_11, whole genome shotgun sequence:314	0.9937290110000001	0.9937748535	0.9940710999000001	0.9940555399000001	0.9937687629	1.0	0.9844915980000001	0.9929870163000001	0.9929806845	0.9929612103000001	0.9929434938	0.9929436499000001	0.9999660667
Streptomyces sp. E5N91 s-91_contig_1, whole genome shotgun sequence:315	0.9842552306000001	0.9842852362000001	0.9847769550000001	0.9842515201	0.9846179380000001	0.9844915980000001	1.0	0.9844114145	0.9843999931	0.9844102059000001	0.9844144962	0.9843150525000001	0.9844625062000001
Streptomyces coelicolor strain A3(2) R4-mCherry-17 Ga0316153_101, whole genome shotgun sequence:316	0.9923599409	0.9936293736	0.9933002569	0.9924319915	0.9928317317	0.9929870163000001	0.9844114145	1.0	0.9999810534	0.9999666848000001	0.9999594435	0.9999736253	0.9930131533000001
Streptomyces coelicolor strain A3(2) R4-mCherry-18 Ga0316154_101, whole genome shotgun sequence:317	0.9923439832000001	0.9936192807	0.9932970507000001	0.992428909	0.9928314942	0.9929806845	0.9843999931	0.9999810534	1.0	0.9999567628	0.9999502083	0.9999634285000001	0.9930106284
Streptomyces coelicolor A3(2) strain CFB_NBC_0001 chromosome, complete genome:318	0.9923097287	0.9935963575000001	0.9932691140000001	0.9924162221	0.9928422506000001	0.9929612103000001	0.9844102059000001	0.9999666848000001	0.9999567628	1.0	0.9999781297	0.9999576709	0.9929760543
Streptomyces sp. SID7813 SID7813.c1, whole genome shotgun sequence:319	0.9922974612000001	0.9935738477	0.9932526007	0.992398804	0.9928205138	0.9929434938	0.9844144962	0.9999594435	0.9999502083	0.9999781297	1.0	0.9999503816	0.9929583381
Streptomyces coelicolor strain M1154/pAMX4/pGP1416 chromosome, complete genome:320	0.9923406594	0.9935991207	0.9933154439	0.9924430925000001	0.9928388715	0.9929436499000001	0.9843150525000001	0.9999736253	0.9999634285000001	0.9999576709	0.9999503816	1.0	0.9929580715
Streptomyces sp. 2114.2 chromosome I:321	0.9937403586	0.9937940763	0.9940905418	0.9940777079	0.9937708422	0.9999660667	0.9844625062000001	0.9930131533000001	0.9930106284	0.9929760543	0.9929583381	0.9929580715	1.0
