	Streptomyces sp. SM17 chromosome, complete genome:252	Streptomyces violascens strain YIM 100212 chromosome, complete genome:253	Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278	Streptomyces albidoflavus, complete sequence:279	Streptomyces sp. FR-008 chromosome, complete genome:280	Streptomyces albidoflavus strain SM254 chromosome, complete genome:281	Streptomyces sampsonii strain KJ40 chromosome, complete genome:282	Streptomyces sp. SM9 1003_9407_348140, whole genome shotgun sequence:283	Streptomyces sp. S5 NODE_1000_length_1770_cov_89.3881_ID_88717, whole genome shotgun sequence:284	Streptomyces sp. N1 Endophyte_N1_0, whole genome shotgun sequence:285	Streptomyces albidoflavus strain NBRC 13083 Scaffold10_1, whole genome shotgun sequence:286	Streptomyces albidoflavus strain CGMCC 4.1681 Scaffold10_1, whole genome shotgun sequence:287	Streptomyces albidoflavus strain FXJ.2339 Scaffold10_1, whole genome shotgun sequence:288	Streptomyces albidoflavus strain Ma24 Scaffold10_1, whole genome shotgun sequence:289	Streptomyces albidoflavus strain CR33 Scaffold10_1, whole genome shotgun sequence:290	Streptomyces albidoflavus strain CR10 Scaffold10_1, whole genome shotgun sequence:291	Streptomyces albidoflavus strain CR25 Scaffold10_1, whole genome shotgun sequence:292	Streptomyces albidoflavus strain Ma1 Scaffold10_1, whole genome shotgun sequence:293	Streptomyces albidoflavus strain CR47 Scaffold10_1, whole genome shotgun sequence:294	Streptomyces albidoflavus strain CR19 Scaffold10_1, whole genome shotgun sequence:295	Streptomyces sp. GF20 chromosome, complete genome:296	Streptomyces sp. FR-008 Scaffold1, whole genome shotgun sequence:297	Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298	Streptomyces sp. SID4934 SID4934.c1, whole genome shotgun sequence:299	Streptomyces sp. SID4915 SID4915.c1, whole genome shotgun sequence:300	Streptomyces sp. S-2 utg000001l_segment0_segment0_pilon, whole genome shotgun sequence:301	Streptomyces sp. CAI-21 NODE_101_length_24701_cov_408.986, whole genome shotgun sequence:302	Streptomyces sp. CAI-17 NODE_1001_length_938_cov_921.376, whole genome shotgun sequence:303	Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304	Streptomyces sp. CBG9 tig00000001, whole genome shotgun sequence:305	Streptomyces sp. NK08203 1, whole genome shotgun sequence:306	Streptomyces sp. BvitLS-983, whole genome shotgun sequence:307	Streptomyces sp. ScaeMP-6W, whole genome shotgun sequence:308
Streptomyces sp. SM17 chromosome, complete genome:252	1.0	0.9689543635000001	0.9164782475000001	0.9014162287	0.9495445210000001	0.9421289726000001	0.9320154810000001	0.8508562916	0.9002384987000001	0.9273262883000001	0.943010738	0.9445260765000001	0.9868300651	0.9165803379	0.9123014565	0.9273495476	0.9128450564	0.9180881554	0.9234645429	0.9139961844000001	0.9268924391000001	0.9451171699	0.9014162287	0.9135513322000001	0.9682955813	0.9439567103000001	0.9187366311	0.9198644998000001	0.9014346133000001	0.9196922136000001	0.9207061533	0.9644959536000001	0.9123951902
Streptomyces violascens strain YIM 100212 chromosome, complete genome:253	0.9989368810000001	1.0	0.9394059485	0.9288891971000001	0.9659464480000001	0.9635466765	0.9532048142	0.8741313877	0.9167997360000001	0.9529377422	0.9691075185	0.9592446628	0.999002931	0.9456094864000001	0.9383784391000001	0.9430480358000001	0.9392577666	0.9436956137	0.9443558273	0.9427376004	0.9548885168000001	0.9626097706000001	0.9288891971000001	0.940992299	0.9777419863000001	0.9711644039	0.9440179668	0.9433988191	0.9288968072	0.945872538	0.9452855539	0.9738833696	0.9398858167
Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278	0.9209294169000001	0.9156358014	1.0	0.8941579192	0.9188317882	0.9228409070000001	0.9319236339	0.8444412628	0.8899738580000001	0.9088168285	0.9196988025	0.9291535267000001	0.9204087885000001	0.9121677442	0.9066062570000001	0.9107364359000001	0.9062948596	0.9050015458	0.9099317011	0.9075540246	0.9089809944	0.9205374061	0.8941579192	0.9289680879000001	0.9196997821	0.9125464594	0.9090632873000001	0.9032311292	0.8939205574	0.9082056499000001	0.9116619509	0.9163082798000001	0.9278147279000001
Streptomyces albidoflavus, complete sequence:279	0.9459840749	0.9455568387000001	0.9338314491	1.0	0.9438065297	0.9520188773	0.9406147553	0.8661900077	0.909385442	0.9349903802	0.9470212517000001	0.9559088752	0.9405159487	0.939859528	0.9405749988000001	0.9366307742000001	0.9412951468	0.9300104405	0.9401283229	0.9359299198000001	0.9373208126	0.9394474928000001	1.0	0.9345974925	0.9342442151	0.9475228852	0.9346711590000001	0.9282222751	1.0204969591	0.9530633624	0.9401321231	0.9306649610000001	0.93354453
Streptomyces sp. FR-008 chromosome, complete genome:280	0.9393247287000001	0.9268698356	0.9045493192	0.8896618105	1.0	0.9389062957000001	0.9250189204	0.8360267406	0.8918721896	0.9233607572	0.9279053782000001	0.9312966561	0.9348204768	0.9136938103000001	0.911481089	0.9166774019	0.9121556521	0.9144075025	0.9186685755	0.9147677931	0.9251547699	1.0008859152	0.8896600194000001	0.9084255771	0.9279482273	0.9308640319	0.917434081	0.9165466502	0.8896771039	0.9162766045	0.9254757936	0.9243420151	0.9074733905000001
Streptomyces albidoflavus strain SM254 chromosome, complete genome:281	0.9433653478	0.9358529052000001	0.9195857083000001	0.9083572089	0.9503670872000001	1.0	0.9332420706000001	0.8567768737	0.9014525339	0.9270289787	0.9473410795	0.9430207416	0.9376170768000001	0.9266896720000001	0.920596237	0.9255785925000001	0.921511096	0.9185079598	0.9255672962	0.9241972391000001	0.9307031974000001	0.9456442671	0.9083566511000001	0.9223555276000001	0.9340704642000001	0.9420606975	0.9337367359000001	0.9301058893	0.9083602770000001	0.9302258251000001	0.9306575939	0.9303007153	0.9212037257000001
Streptomyces sampsonii strain KJ40 chromosome, complete genome:282	0.9464611826	0.9389256057	0.9417937895	0.9101920024000001	0.9495763139000001	0.9464647185	1.0	0.8505321111	0.9048007391	0.9339576608000001	0.9382236581000001	0.9413636821	0.94076371	0.9334060598	0.9291498216	0.9331933398000001	0.9297676147	0.9274037923	0.9318010423	0.9318422002000001	0.9369498841	0.9460199018000001	0.9101583406	0.9463398303	0.9337307972000001	0.9456076154	0.9384161527	0.9304807358	0.9101695141	0.9361045202	0.9408448943000001	0.9302302524	0.9452470946
Streptomyces sp. SM9 1003_9407_348140, whole genome shotgun sequence:283	0.9471356282000001	0.9438390661	0.9354513831000001	0.9187781868	0.9407532	0.9524762045	0.9323242770000001	1.0	0.9352079743	0.9332369827	0.9420499335	0.9409341288	0.9422175291	0.9313647500000001	0.9261968855	0.9364155612	0.9260852585	0.9214201806000001	0.9279396619	0.9277616789	0.9290647689	0.9382000427	0.9189295034	0.9306720425	0.9442274350000001	0.9510605572	0.9327205528	0.9290343816000001	0.9189419064000001	0.9323808657	0.9354909177	0.9421530335	0.9299562345
Streptomyces sp. S5 NODE_1000_length_1770_cov_89.3881_ID_88717, whole genome shotgun sequence:284	0.8994169879	0.8884710050000001	0.8848640891	0.8657510946	0.9007529703	0.8994495491000001	0.890177823	0.8393744524000001	1.0	0.8981852291	0.8909648573000001	0.9055910884	0.8998843939000001	0.8948595361	0.9033246077	0.9019395052	0.9037865868	0.9065142117	0.9035597717	0.8953919253	0.910549154	0.9009244035	0.8656066565	0.8936393268	0.9005571858	0.8939749574	0.8894673214000001	0.8913162119	0.8656200149000001	0.8940523250000001	0.9051885264	0.8982808254	0.8925780272
Streptomyces sp. N1 Endophyte_N1_0, whole genome shotgun sequence:285	0.9238277955	0.9208486516000001	0.9010121125	0.8875792551	0.9298854297	0.9223212264	0.9162330667	0.8352075952	0.8956139664	1.0	0.9183723448000001	0.9190175416	0.9202177463000001	0.9123763165000001	0.9309110844	0.9441262399	0.9343175844	0.9320766011	0.9393763431000001	0.917385957	0.923517546	0.9253350583000001	0.8875802264	0.9076914944000001	0.9131544376	0.9222288176000001	0.9086555432000001	0.9047079104	0.887607283	0.9160870996	0.9127204214	0.9099118037	0.9066113102000001
Streptomyces albidoflavus strain NBRC 13083 Scaffold10_1, whole genome shotgun sequence:286	0.9614342073000001	0.958385358	0.9331347627000001	0.9200346931000001	0.9563265221	0.9645833076	0.9419538621	0.8628213763	0.9092012032000001	0.9398602366000001	1.0	0.954564179	0.9617451840000001	0.9401013500000001	0.9316530085	0.9386333697	0.9318371806	0.9369357779	0.9383128792000001	0.9381563968000001	0.9461124296000001	0.9579116511	0.9200328471	0.9333574163	0.9589294962	0.9594229409	0.9418604271000001	0.9355013093000001	0.9202776525	0.9395589158000001	0.9394619308000001	0.9552709054	0.9322161745
Streptomyces albidoflavus strain CGMCC 4.1681 Scaffold10_1, whole genome shotgun sequence:287	0.9383692289000001	0.9243883685000001	0.9186352389	0.9049359605	0.9352924434000001	0.9356458392	0.9209532058000001	0.8397752436	0.9005097950000001	0.9164845608000001	0.9301693104000001	1.0	0.9383324226	0.9153373388	0.9206072819000001	0.9235221750000001	0.9213721888	0.9108529197	0.9359952224	0.9151105511000001	0.9150932549	0.9359863667	0.9049803771	0.91153522	0.9347038193	0.9244199167	0.9167334876000001	0.9192981674	0.9015122824	0.9241976952000001	0.9172087871	0.9311820372	0.9102844975000001
