	GCF_000717925.1:518	GCF_000718935.1:519	GCF_000718955.1:520	GCF_000720115.1:521	GCF_000720795.1:522	GCF_000725725.1:523	GCF_000725805.1:524	GCF_001270565.1:525	GCF_001279625.1:526	GCF_001746425.1:527	GCF_002028385.1:528	GCF_002080455.1:529	GCF_003148825.1:530	GCF_008642275.1:531	GCF_014648615.1:532	GCF_016755855.1:533	GCF_016755875.1:534	GCF_016755895.1:535	GCF_017639205.1:536	GCF_018614075.1:537
GCF_000717925.1:518	8768483	6474665	6342122	5655246	6341446	4991369	4985676	7679138	7734308	4754871	7589325	7566794	6226168	5882539	6288049	6291811	6058756	4974725	6278675	4552070
GCF_000718935.1:519	6474665	8825688	7124056	5553346	7121478	4973939	4972538	6408816	6387458	4748103	6387414	6360215	6902561	6199822	6812896	6824380	6443802	4958301	6810506	4527266
GCF_000718955.1:520	6342122	7124056	8686896	5422063	8816405	4870453	4878161	6277625	6377756	4665252	6262075	6213912	7270551	6187852	6615341	6624425	6456038	4868632	6616036	4506686
GCF_000720115.1:521	5655246	5553346	5422063	8445760	5418430	4863122	4865161	5619152	5624950	4888950	5682005	5632856	5361826	5177217	5561476	5567054	5401878	4848429	5554170	4654410
GCF_000720795.1:522	6341446	7121478	8816405	5418430	8682129	4869663	4877356	6276341	6377771	4662290	6265101	6213053	7267578	6191296	6613159	6624673	6454642	4866787	6616688	4507079
GCF_000725725.1:523	4991369	4973939	4870453	4863122	4869663	8568408	8308955	4996057	4999693	4697726	5041730	4943151	4819162	4721693	4944043	4944030	4854364	8245837	4942802	4336085
GCF_000725805.1:524	4985676	4972538	4878161	4865161	4877356	8308955	8621934	4995191	5008432	4704695	5060477	4962999	4817669	4734710	4978026	4977088	4865597	8574470	4972053	4348521
GCF_001270565.1:525	7679138	6408816	6277625	5619152	6276341	4996057	4995191	8614071	7676422	4733640	7620784	7559852	6177510	5807086	6249146	6254778	6018391	4974776	6227292	4554191
GCF_001279625.1:526	7734308	6387458	6377756	5624950	6377771	4999693	5008432	7676422	8212860	4725073	7556081	7594393	6204114	5868750	6238962	6248246	6020915	4992160	6231843	4511636
GCF_001746425.1:527	4754871	4748103	4665252	4888950	4662290	4697726	4704695	4733640	4725073	8093975	4790768	4786948	4678022	4533454	4758484	4798816	4727633	4714583	4781956	4483814
GCF_002028385.1:528	7589325	6387414	6262075	5682005	6265101	5041730	5060477	7620784	7556081	4790768	8991292	7567667	6138877	5899374	6258067	6300849	6129583	5059775	6282671	4538428
GCF_002080455.1:529	7566794	6360215	6213912	5632856	6213053	4943151	4962999	7559852	7594393	4786948	7567667	8110698	6140784	5846801	6246959	6286092	6074011	4972515	6264293	4548961
GCF_003148825.1:530	6226168	6902561	7270551	5361826	7267578	4819162	4817669	6177510	6204114	4678022	6138877	6140784	8513506	6191542	6596874	6597905	6296746	4804807	6594991	4486191
GCF_008642275.1:531	5882539	6199822	6187852	5177217	6191296	4721693	4734710	5807086	5868750	4533454	5899374	5846801	6191542	7746267	6322513	6362146	6293892	4752872	6354760	4418416
GCF_014648615.1:532	6288049	6812896	6615341	5561476	6613159	4944043	4978026	6249146	6238962	4758484	6258067	6246959	6596874	6322513	8994303	8983865	6566650	4950546	8961281	4571373
GCF_016755855.1:533	6291811	6824380	6624425	5567054	6624673	4944030	4977088	6254778	6248246	4798816	6300849	6286092	6597905	6362146	8983865	9047340	6633370	4984522	9077389	4581254
GCF_016755875.1:534	6058756	6443802	6456038	5401878	6454642	4854364	4865597	6018391	6020915	4727633	6129583	6074011	6296746	6293892	6566650	6633370	8857713	4881085	6610894	4502095
GCF_016755895.1:535	4974725	4958301	4868632	4848429	4866787	8245837	8574470	4974776	4992160	4714583	5059775	4972515	4804807	4752872	4950546	4984522	4881085	8653830	4971828	4323681
GCF_017639205.1:536	6278675	6810506	6616036	5554170	6616688	4942802	4972053	6227292	6231843	4781956	6282671	6264293	6594991	6354760	8961281	9077389	6610894	4971828	9022916	4572478
GCF_018614075.1:537	4552070	4527266	4506686	4654410	4507079	4336085	4348521	4554191	4511636	4483814	4538428	4548961	4486191	4418416	4571373	4581254	4502095	4323681	4572478	7366137
