	Streptomyces xinghaiensis S187 chromosome, complete genome:646	Streptomyces fradiae strain olg1-1 contig00001, whole genome shotgun sequence:647	Streptomyces fradiae strain Olg4R contig00001, whole genome shotgun sequence:648
Streptomyces xinghaiensis S187 chromosome, complete genome:646	1.0	0.8541115296	0.8496794081
Streptomyces fradiae strain olg1-1 contig00001, whole genome shotgun sequence:647	0.7951582972	1.0	0.9938987330000001
Streptomyces fradiae strain Olg4R contig00001, whole genome shotgun sequence:648	0.7945726491	0.998347293	1.0
