	Streptomyces alboverticillatus strain NRRL B-24281 NRRL_B-24281_contig_1, whole genome shotgun sequence:113	Streptomyces triculaminicus strain JCM 4242 1, whole genome shotgun sequence:114	Streptomyces griseocarneus strain KCC S-1010 chromosome:115
Streptomyces alboverticillatus strain NRRL B-24281 NRRL_B-24281_contig_1, whole genome shotgun sequence:113	1.0	0.9970534703	0.9989841734
Streptomyces triculaminicus strain JCM 4242 1, whole genome shotgun sequence:114	0.9970534703	1.0	0.9973150542
Streptomyces griseocarneus strain KCC S-1010 chromosome:115	0.9989841734	0.9973150542	1.0
