	Streptomyces sp. Babs14 contig_1, whole genome shotgun sequence:401	Streptomyces sp. Osf17 contig_4, whole genome shotgun sequence:402	Streptomyces sp. WAC04189 AA000121-10_WAC04189, whole genome shotgun sequence:800
Streptomyces sp. Babs14 contig_1, whole genome shotgun sequence:401	1.0	0.9956173831	0.9653018551
Streptomyces sp. Osf17 contig_4, whole genome shotgun sequence:402	0.9995967245	1.0	0.9692311960000001
Streptomyces sp. WAC04189 AA000121-10_WAC04189, whole genome shotgun sequence:800	0.9452964281	0.9453658421000001	1.0
