	Streptomyces lincolnensis strain NRRL 2936 chromosome:269	Streptomyces lincolnensis strain LC-G chromosome, complete genome:270	Streptomyces lincolnensis strain B48 chromosome, complete genome:271
Streptomyces lincolnensis strain NRRL 2936 chromosome:269	1.0	0.9999391611	0.9999623717
Streptomyces lincolnensis strain LC-G chromosome, complete genome:270	0.9999391611	1.0	0.9999662228
Streptomyces lincolnensis strain B48 chromosome, complete genome:271	0.9999623717	0.9999662228	1.0
