	Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213	Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214	Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215	Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216	Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217	Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247	Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356	Streptomyces cavourensis strain TJ430 chromosome, complete genome:357	Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358	Streptomyces sp. B27 1, whole genome shotgun sequence:359	Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360	Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361	Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362	Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363
Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213	1.0	0.9913360167	0.9379713546	0.977102083	1.0003238688	0.91383696	0.8943742242	0.8603145600000001	0.8566818978	0.7987411083	0.8578281513	0.856266077	0.8573836957000001	0.8518001685000001
Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214	0.9822635284000001	1.0	0.9638020859	0.9991561574000001	1.021287337	0.9370846827	0.9064709278	0.8665543581	0.8725323106	0.8065915117	0.8643072908	0.8634767784	0.8635890462	0.8588591248
Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215	0.9653914342000001	1.0011394927	1.0	0.9757891463	0.9930262284	0.9174508036000001	0.8855859127	0.8477212178	0.8579198681	0.7899127329000001	0.8453552143	0.8454919026000001	0.8486540266	0.8406153311000001
Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216	0.9677003233	0.9986819078	0.9389512934	1.0	0.9956771758	0.9167660767	0.8913261514	0.8555019868	0.8600192916	0.7979461084	0.8541539463000001	0.8523827178000001	0.8532777444	0.8495399512
Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217	0.9880741136000001	1.0180982782	0.9530062385	0.9930394333	1.0	0.9302277978000001	0.9024796486000001	0.8678732185	0.8696012298	0.8041421066000001	0.8658468834	0.8592531563	0.8609995766	0.8565370309
Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247	0.9619588442	0.9955417506	0.9383323569	0.9744181402000001	0.9913527059	1.0	0.8835676337	0.8496066453000001	0.8521937136000001	0.785304901	0.845857527	0.8413028732000001	0.8437753476000001	0.8392002955000001
Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356	0.7054648574	0.7216105202	0.6786923339	0.7098912313	0.7206835966	0.6620764431	1.0	0.7004300104000001	0.6534560833	0.6890520505000001	0.6971412377	0.6968224952000001	0.6977979992000001	0.6959487278
Streptomyces cavourensis strain TJ430 chromosome, complete genome:357	0.9154887659000001	0.9306458034	0.8764657186	0.9192122890000001	0.9349817705000001	0.8588669168	0.9449403232	1.0	0.8718457918	0.8603954657	0.9755429547000001	0.9713280842	0.9790073416	0.9700899306
Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358	0.8335026947	0.8567651693	0.8109989240000001	0.8448792895	0.8565617435	0.7876585136	0.8060235177	0.7971340257	1.0	0.7439673558000001	0.7968133958	0.7961986752	0.7982346146	0.7960211880000001
Streptomyces sp. B27 1, whole genome shotgun sequence:359	0.8484924054	0.8647457501	0.8152807191	0.8558832692	0.8648202225	0.7924875678000001	0.9279783464	0.8589033358	0.8122849084	1.0	0.8566306157	0.859170545	0.8609978728000001	0.8562141995
Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360	0.906102607	0.9213786150000001	0.8675658643	0.9109872322	0.925911107	0.8487631796	0.9335589541	0.9683396968	0.865060126	0.8517825812	1.0	0.9520259324	0.9643284295000001	0.9998933562000001
Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361	0.8978816876	0.913805787	0.8614021718	0.9024934615	0.9121843602	0.8380597339	0.9263528198000001	0.9571512586	0.8581128548	0.8481015017	0.9451093687000001	1.0	0.9543035371	0.9442820889
Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362	0.9074698731	0.9224800581	0.8727177434000001	0.911898427	0.922594887	0.8483910045	0.9363335937	0.9737493875000001	0.8683606473000001	0.8578614474	0.9662842042	0.9632369933	1.0	0.9683866569
Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363	0.9050228435000001	0.9209512036	0.8677712557	0.9113908829	0.9213381905	0.8470317213	0.9374388653	0.9685857379	0.8692786818	0.8563717309000001	1.0057693965	0.9567824406000001	0.9721059943	1.0
