	GCF_000239075.1:289	GCF_000364805.1:290	GCF_000373405.1:291	GCF_000385945.1:292	GCF_000720395.1:293	GCF_000721595.1:294	GCF_000935135.2:295	GCF_001189025.1:296	GCF_001418625.1:297	GCF_001426325.1:298	GCF_001427565.1:299	GCF_001434355.1:300	GCF_001905485.1:301	GCF_001905575.1:302	GCF_001905595.1:303	GCF_001905645.1:304	GCF_001983595.1:305	GCF_002158965.1:306	GCF_002188345.1:307	GCF_002242735.1:308	GCF_002910875.1:309	GCF_003116675.1:310	GCF_003268965.1:311	GCF_003367645.1:312	GCF_003610995.1:313	GCF_004524875.1:314	GCF_005234185.1:315	GCF_008932075.1:316	GCF_009862355.1:317	GCF_009862365.1:318	GCF_009865135.1:319	GCF_009865505.1:320	GCF_009872615.1:321	GCF_013167895.1:322	GCF_013364315.1:323	GCF_013409565.1:324	GCF_014495705.1:325	GCF_016653995.1:326	GCF_017358145.1:327	GCF_018070745.1:328	GCF_018530825.1:329	GCF_018614445.1:330	GCF_018614515.1:331	GCF_019049185.1:332	GCF_900207595.1:333	GCF_904440635.1:334	GCF_904440645.1:335
GCF_000239075.1:289	9057348	3319804	5429176	5422019	3335000	3326149	7102798	7474867	5240869	7485465	7495863	7492455	7123174	8005053	4851248	7406034	5306493	5307124	7150187	5462166	5993219	5408077	3328257	5305149	5032110	3313200	6345989	5425662	2878650	3330972	5227888	5031400	5429176	3065252	5444220	3066370	6816822	5280090	5416663	7083763	7415231	4812849	4792374	7253132	3308250	5371454	5367599
GCF_000364805.1:290	3319804	7630245	3325090	3376697	7134357	6986383	3329979	3388517	3251313	3408772	3421012	3401304	3321801	3358528	3114745	3394237	3324616	3265413	3310249	3360652	3290387	3325839	7154032	3320151	3240546	6996440	3336583	3316298	6523355	7058302	3332723	3111134	3325090	3243563	3401073	3244690	3316483	3281149	3371136	3406418	3401282	3108894	3118837	3364494	6878185	3357376	3355246
GCF_000373405.1:291	5429176	3325090	8075580	6293513	3316031	3329544	5344784	5473253	6115873	5491023	5505103	5481557	5332426	5465041	5654958	5510401	6880593	6579498	5342260	6347717	5191265	7602526	3323804	6876904	5874103	3300216	5542903	6543219	2866029	3320599	6230555	6561854	8074805	3101625	6330486	3101490	5191926	6156003	6299742	5365670	5465642	5622284	5634342	5380183	3272347	7030508	7029119
GCF_000385945.1:292	5422019	3376697	6293513	7905758	3350030	3365648	5328672	5506110	6798477	5490670	5506829	5536501	5339774	5437193	5547347	5488798	6223165	6265410	5317849	7014298	5371162	6255833	3366094	6217279	5909848	3369287	5620138	6247168	2908327	3341128	6249373	5936084	6295986	3217143	7065919	3218680	5256583	6783179	7034482	5466703	5493946	5539411	5548837	5373556	3342698	6323549	6323995
GCF_000720395.1:293	3335000	7134357	3316031	3350030	7670646	6987193	3333870	3400112	3250978	3418344	3429299	3383615	3327519	3374109	3115007	3400931	3323379	3274253	3331671	3343202	3308897	3306862	7100634	3324557	3204662	6825365	3351937	3343452	6561423	7038599	3309741	3129207	3317786	3203391	3371067	3206730	3293358	3265348	3323924	3411577	3382339	3121877	3110751	3363400	6865099	3332841	3332654
GCF_000721595.1:294	3326149	6986383	3329544	3365648	6987193	7558826	3297778	3410983	3272271	3414664	3423643	3396912	3319668	3361424	3121720	3374570	3354452	3288655	3311113	3358942	3282651	3305494	6957545	3354721	3232622	6802024	3354410	3353448	6451075	7025397	3321938	3125181	3330709	3214070	3384266	3214391	3286972	3291929	3333847	3410525	3389550	3132887	3129698	3359474	6728950	3341059	3336828
GCF_000935135.2:295	7102798	3329979	5344784	5328672	3333870	3297778	8868350	7341877	5167255	7425094	7439138	7384871	7263101	7114766	4819082	7385599	5254607	5271152	7751174	5376649	5950862	5357214	3307437	5248473	5040755	3318531	6186636	5389249	2896659	3327349	5209764	4942420	5351214	3101883	5396595	3102253	6989684	5166284	5382172	7123602	7339827	4785104	4802636	7042034	3289008	5319643	5322165
GCF_001189025.1:296	7474867	3388517	5473253	5506110	3400112	3410983	7341877	8624932	5334919	8295256	8305766	8157673	7275422	7444241	4828876	7848050	5397971	5382807	7321819	5556404	6065934	5446311	3384298	5394913	5083109	3360368	6403018	5497831	2930855	3406825	5261729	5068966	5472139	3097177	5560860	3095499	6970280	5376827	5531919	7398230	8175065	4836484	4831942	7128613	3358893	5417060	5416010
GCF_001418625.1:297	5240869	3251313	6115873	6798477	3250978	3272271	5167255	5334919	7921781	5366609	5382048	5336400	5174265	5256288	5376309	5325381	5958982	6027491	5132651	7241782	5151344	6082347	3247803	5960147	5802966	3248816	5426968	6031577	2807309	3222341	6029265	5831897	6116154	3111792	7403783	3112416	5059275	7236638	7246810	5262452	5332169	5351140	5340498	5152631	3224248	6079978	6074529
GCF_001426325.1:298	7485465	3408772	5491023	5490670	3418344	3414664	7425094	8295256	5366609	9196637	9190390	8269065	7370042	7556292	4845620	7975158	5385200	5390024	7380314	5590343	6099086	5481114	3383051	5380862	5102605	3391719	6390496	5538645	2954158	3414151	5270238	5084906	5490685	3113541	5568514	3111845	7060042	5391848	5550330	7425356	8332413	4910366	4873997	7212090	3359443	5426290	5423347
