	Streptomyces clavuligerus strain ATCC 27064 chromosome, complete genome:462	Streptomyces clavuligerus strain ATCC 27064 isolate Leon-isolate chromosome, complete genome:463	Streptomyces clavuligerus strain F1D1 chromosome, complete genome:464	Streptomyces clavuligerus strain F1D4 chromosome, complete genome:465	Streptomyces clavuligerus strain F1D7 chromosome, complete genome:466	Streptomyces clavuligerus strain F1D10 chromosome, complete genome:467	Streptomyces clavuligerus strain F1D14 chromosome, complete genome:468	Streptomyces clavuligerus strain F1D18 chromosome, complete genome:469	Streptomyces clavuligerus strain F1D26 chromosome, complete genome:470	Streptomyces clavuligerus strain F1D31 chromosome, complete genome:471	Streptomyces clavuligerus strain F1D35 chromosome, complete genome:472	Streptomyces clavuligerus strain F1D28 chromosome, complete genome:473	Streptomyces clavuligerus strain ATCC 27064 chromosome, whole genome shotgun sequence:621	Streptomyces clavuligerus strain ATCC 27064 chromosome, whole genome shotgun sequence:622	Streptomyces clavuligerus strain F613-1 chromosome, complete genome:623	Streptomyces clavuligerus strain F1D-5 chromosome, complete genome:624	Streptomyces clavuligerus strain ATCC 27064 NODE_1000_length_2399_cov_26.658, whole genome shotgun sequence:625	Streptomyces clavuligerus strain NCIMB 14335 NODE_1000_length_2633_cov_19.002, whole genome shotgun sequence:626	Streptomyces clavuligerus strain BW0219 NODE_1000_length_1001_cov_31.2563, whole genome shotgun sequence:627	Streptomyces clavuligerus strain BW0220 NODE_1000_length_1140_cov_9.13031, whole genome shotgun sequence:628	Streptomyces clavuligerus strain DSM 738 NODE_1000_length_2512_cov_26.8931, whole genome shotgun sequence:629	Streptomyces clavuligerus strain NRRL 3585 NODE_1000_length_2792_cov_16.179, whole genome shotgun sequence:630	Streptomyces clavuligerus strain ATCC 27064 NODE_1000_length_2322_cov_195.525, whole genome shotgun sequence:631	Streptomyces clavuligerus strain NCIMB 12785 NODE_1000_length_2602_cov_29.5063, whole genome shotgun sequence:632	Streptomyces clavuligerus strain BW0218 NODE_1000_length_1065_cov_21.6876, whole genome shotgun sequence:633	Streptomyces clavuligerus strain BW0217 NODE_1000_length_1270_cov_13.0604, whole genome shotgun sequence:634	Streptomyces clavuligerus strain BW0216 NODE_1000_length_953_cov_5.89225, whole genome shotgun sequence:635
Streptomyces clavuligerus strain ATCC 27064 chromosome, complete genome:462	1.0	1.00925611	0.8845799305000001	0.8893965955	0.8841320183	0.8894887060000001	0.8856940344	0.8850865967	0.8883212318	0.8877943176	0.8859260078000001	0.8855826123	1.0032562874	0.9978842676	0.881261963	0.884318229	0.9723212056	0.9670096954	0.747147208	0.7410908551000001	0.9678797709	0.9667815844000001	0.9624733412	0.9678389239	0.755865051	0.7264599163000001	0.7448672684000001
Streptomyces clavuligerus strain ATCC 27064 isolate Leon-isolate chromosome, complete genome:463	0.9906223025	1.0	0.8776447758	0.877853741	0.8721605615	0.8779473674	0.8774160515	0.8745001897	0.8767407920000001	0.8780567324	0.8767256280000001	0.8764116634	1.005111087	0.9818056746	0.8744621647	0.8920047808	0.9722533608	0.9669244631	0.7510574049000001	0.7450510649000001	0.9675735301	0.9667333042	0.9623967323	0.9679135723000001	0.7595151504000001	0.7302912806	0.7488290946
Streptomyces clavuligerus strain F1D1 chromosome, complete genome:464	0.9959166758	1.00669516	1.0	1.0049221793	0.9988278957000001	1.0013337875	1.0022349703	0.9990517749000001	1.0034288169	1.0018011797	1.0000343923	1.0011396886	0.9968385467	0.9763947811	1.0010382248	1.008066634	0.9534839961	0.9478642204000001	0.8458452888	0.8390574937	0.9485946278	0.9483312173	0.9429632563	0.9508660988000001	0.8556833223	0.8226591021	0.8433106709
Streptomyces clavuligerus strain F1D4 chromosome, complete genome:465	0.9913985772	0.9969382953	0.9949456041	1.0	0.9955144226	0.9927732654	0.9916535019	0.9935929642	0.9935182089000001	0.9929099906000001	0.9956750225000001	0.9927814846	0.9840687769	0.9664390566000001	0.9966297504	1.0016533571	0.9396537070000001	0.9355232497	0.8362385912	0.8286324703	0.9348462775	0.9348632376	0.9294939042	0.9376411854000001	0.8461271615	0.8131534319	0.8344980849
Streptomyces clavuligerus strain F1D7 chromosome, complete genome:466	0.9955216615	1.0005143592	0.9989375444	1.0056070823	1.0	1.0018847978	1.0033976965	1.0027143882	1.0034025726	1.0026262236	0.9992622642000001	1.0016777626	0.9959497011	0.9760237172	1.0001270413	1.0081008613	0.9525661425	0.9469453546000001	0.8454443429	0.8386547483000001	0.9476750515000001	0.9474637992	0.9420438525	0.9499478261000001	0.8552833246	0.8222549519	0.8429085242000001
Streptomyces clavuligerus strain F1D10 chromosome, complete genome:467	0.9770545049	0.9825171058000001	0.9769476699	0.9783079848	0.977377967	1.0	0.9730919658	0.975062179	0.9756873762	0.9758304658	0.9785033991000001	0.9744309394	0.9754535219	0.9578617356	0.9793790351	0.9846112528000001	0.9313409303	0.9258031206	0.8253561875000001	0.8187335714	0.9264933702	0.9262509022000001	0.9210413114	0.9287315067	0.8349539864000001	0.8027344117	0.8228831682000001
Streptomyces clavuligerus strain F1D14 chromosome, complete genome:468	0.9713079925	0.9803295732	0.9762406166	0.9756192574	0.9772659041	0.9715133581000001	1.0	0.9737941993	0.972991605	0.9722339345000001	0.976541092	0.9718076726	0.9707427238	0.9548734852	0.9773836043	0.9823655160000001	0.9262125392	0.9208519847000001	0.8250214832	0.8184006259000001	0.9240894444000001	0.9212650262000001	0.9160194764	0.9237075928	0.8346071774	0.7988183779	0.8225510638
Streptomyces clavuligerus strain F1D18 chromosome, complete genome:469	0.9994372574	1.0060578755	1.0020095119	1.006527048	1.0055725794	1.0023600036	1.0026831378	1.0	1.0026826092	1.0026871027	1.0048261326	1.0000214101	0.9961678522	0.9798836029	1.003024246	1.0081449661	0.9531194947	0.9474850638000001	0.8468034289	0.8399971242000001	0.9482190874	0.9479534433000001	0.9425713083	0.9504962259	0.8566732316000001	0.8235471447	0.8442647433
Streptomyces clavuligerus strain F1D26 chromosome, complete genome:470	0.9978690790000001	1.0033859661	1.0011615675	1.0012131051	1.0010254926	0.9977824381	0.9966424322	0.9974640095	1.0	0.9982051251	1.0021327616	0.9969675659	0.9961993668	0.9782587688000001	1.0030004861	1.0107776639	0.9521616923	0.9465501444000001	0.8439782748	0.8372058168000001	0.9472835031	0.9470159547	0.9416639353	0.9495519452000001	0.8537942107000001	0.8208443459	0.8414495153
Streptomyces clavuligerus strain F1D31 chromosome, complete genome:471	0.9984507371	1.006074506	1.0007138193	1.0017776377	1.0014280334	0.9991030860000001	0.9970382357	0.9986422560000001	0.9993797683000001	1.0	1.0021921347	0.9976098966	0.9988799763	0.9789649054	1.0030529826	1.0082199127	0.9528485707000001	0.9473212428000001	0.8470734002	0.8403799788	0.9506499862000001	0.9477295532000001	0.9422432933	0.9502431237000001	0.8569019401	0.8202033628000001	0.8445367947
Streptomyces clavuligerus strain F1D35 chromosome, complete genome:472	0.960542208	0.9684472937	0.9630481817000001	0.9684646787000001	0.9621989830000001	0.9658351067000001	0.9654644389	0.9648063479000001	0.9672544563000001	0.9661748116000001	1.0	0.9643666478	0.9589625868	0.9416212691	0.9655165938	0.9725109354	0.9197216628	0.9142821974	0.8146428404	0.8081964426	0.9149932046	0.9147168217	0.9094355976	0.9171658184	0.8241170148	0.7923138127	0.8122018382
Streptomyces clavuligerus strain F1D28 chromosome, complete genome:473	0.9978003933	1.0060417973	1.0018976223	1.003495502	1.0023260709	0.9995103633	0.9984393079	0.9978243938	0.9999818018000001	0.9994499665000001	1.0021616278	1.0	0.9961591281000001	0.9782896977000001	1.0029921508	1.0081348522	0.9530299582	0.9474056642	0.8465799413	0.8397867437000001	0.9481364927	0.9478728828	0.9425008578	0.9504096833000001	0.8564247636000001	0.8233758054	0.8440431408
Streptomyces clavuligerus strain ATCC 27064 chromosome, whole genome shotgun sequence:621	0.9374992344	0.9568996178	0.8273665001	0.8249576524000001	0.8265380315	0.8298264230000001	0.8271607774	0.8243692483	0.8287084552	0.8299617122	0.8264977838	0.8261771144000001	1.0	0.9367742287	0.8243298755	0.8446235832000001	0.9672292816	0.9639964495000001	0.7144538297	0.7089408770000001	0.9645518242000001	0.9635188359	0.9157478594	0.9639023923000001	0.7225161691	0.6941034690000001	0.7124775356
Streptomyces clavuligerus strain ATCC 27064 chromosome, whole genome shotgun sequence:622	0.9963908625000001	0.9987766586000001	0.8659425642	0.865707549	0.8655184616	0.8707110011	0.8694050363	0.8664714946000001	0.8695604666000001	0.8691653465	0.8671751379	0.8669667678	1.0009801456	1.0	0.8670649343	0.8929972471000001	0.9676499364000001	0.9624848602	0.7440104421	0.7379110312	0.9634590456000001	0.9622617651	0.9575981560000001	0.9633325979	0.7527372088000001	0.7225688953	0.7417196571
Streptomyces clavuligerus strain F613-1 chromosome, complete genome:623	0.9919401989000001	1.0028010378	1.0007951775	1.0063788096	0.9997744626	1.0035821192	1.0031647696	0.999820703	1.0050278246	1.0038990836	1.0023541786	1.0019900516	0.9929387816	0.9774229398000001	1.0	1.0028182956	0.9549595706	0.9492767389000001	0.8457119829	0.8390075141000001	0.9501182886	0.9496377042	0.9443030591	0.9523038411	0.8555302382000001	0.8224402622	0.8431771899
Streptomyces clavuligerus strain F1D-5 chromosome, complete genome:624	0.9375324244000001	0.9634699797	0.9492509423000001	0.9526696757	0.9491789741000001	0.9503075086	0.9496806415000001	0.9465224823	0.9539592698	0.9504268764	0.9509402075000001	0.9485970251	0.9582567586	0.9481526841000001	0.9445381478	1.0	0.9129640004	0.9077182697	0.8097319498000001	0.803276038	0.9082624975	0.9079881501	0.9030444372	0.9105237852	0.8189805965	0.7878196454	0.8073351636
Streptomyces clavuligerus strain ATCC 27064 NODE_1000_length_2399_cov_26.658, whole genome shotgun sequence:625	0.9380056294	0.9555830252	0.8170020998	0.8132249418	0.8161260358	0.8179486192000001	0.8147663809	0.8142790639	0.8177167033	0.8173447798	0.8183387212000001	0.8159952867	0.9985414364	0.9348983629000001	0.8184651797	0.8307524316	1.0	0.9875572719000001	0.7324954026	0.7268383032	0.9873259205	0.986870444	0.9397521119000001	0.9877259585	0.7410214168	0.7142152588	0.7303521565000001
Streptomyces clavuligerus strain NCIMB 14335 NODE_1000_length_2633_cov_19.002, whole genome shotgun sequence:626	0.9351990195000001	0.9527063248000001	0.8142043566	0.8116615460000001	0.8133257768000001	0.8151048953000001	0.8120631437	0.8114762541	0.8149168869000001	0.8146221405	0.8155197362000001	0.8131948161	0.9976762117	0.932218164	0.8156157213	0.8280309534	0.9900105402	1.0	0.7312528128	0.7262714393	0.9882733019000001	0.9881158548000001	0.9389394923000001	0.9889121456000001	0.7397245094	0.7143417918	0.729507538
Streptomyces clavuligerus strain BW0219 NODE_1000_length_1001_cov_31.2563, whole genome shotgun sequence:627	0.9743528534	0.9978758259	0.9797496017	0.9783347068	0.9791776911000001	0.9798805597	0.9810747493	0.9779641172	0.979800886	0.9822382601	0.9798471333000001	0.9798587333000001	0.9970690153	0.9717164477	0.9798330912000001	0.9960327993	0.9901917404	0.9860624449000001	1.0	0.9702687369	0.9867547819	0.9867625661	0.9807131651000001	0.9870539399	0.9886660349	0.9542167763	0.985729708
Streptomyces clavuligerus strain BW0220 NODE_1000_length_1140_cov_9.13031, whole genome shotgun sequence:628	0.9749292239	0.9985756238000001	0.980409323	0.9779367193	0.9798311658000001	0.9805412753	0.9817351584	0.9786100299	0.9804610569000001	0.9830215775000001	0.9806173364	0.9805191036	0.9980507402000001	0.97220103	0.9805890060000001	0.9967556988	0.9911599682000001	0.9879327576	0.9787766254	1.0	0.9880263714	0.9884183789000001	0.9823667432000001	0.9885777378	0.9892581311	0.9707107546	0.9799193906
Streptomyces clavuligerus strain DSM 738 NODE_1000_length_2512_cov_26.8931, whole genome shotgun sequence:629	0.9377774613000001	0.955114949	0.8163438322000001	0.8125792949	0.8154629416	0.8172263104	0.8164303563	0.8136119146	0.8170616537000001	0.8190015862000001	0.8176684567	0.8153323049000001	1.0001034207	0.9348933610000001	0.8178536388000001	0.8300648829	0.9916153230000001	0.9901072174000001	0.7331241634	0.7276881112	1.0	0.9897443376	0.9410897597000001	0.9901456599	0.7427783526	0.7158306749000001	0.7310509860000001
Streptomyces clavuligerus strain NRRL 3585 NODE_1000_length_2792_cov_16.179, whole genome shotgun sequence:630	0.9369367642	0.9545130660000001	0.8163117272	0.8127877784	0.8154755437000001	0.8172072331	0.8141290522	0.8135779106000001	0.8170256365	0.8166802514	0.8176163642000001	0.8152999587	0.9992705512000001	0.9339542023	0.8176348527	0.8300120028	0.991394183	0.9901855053	0.7333047422000001	0.7281503942	0.9899803159	1.0	0.9403866453	0.9901278844	0.7418879872	0.7157699547	0.7314267320000001
Streptomyces clavuligerus strain ATCC 27064 NODE_1000_length_2322_cov_195.525, whole genome shotgun sequence:631	0.9752839736000001	0.9935501752	0.8486941844	0.8449598944000001	0.847773628	0.8496560129	0.8463964700000001	0.8458372812	0.8494440786	0.8489676711	0.8499538121	0.8476362917	0.9930228893	0.9717982646000001	0.8501064475000001	0.8631251692	0.9870973855	0.9837998913	0.7620339149	0.7566837293	0.9842264877	0.9832567132000001	1.0	0.9845316399	0.7712902389	0.7456544863	0.7599673476000001
Streptomyces clavuligerus strain NCIMB 12785 NODE_1000_length_2602_cov_29.5063, whole genome shotgun sequence:632	0.936066343	0.9537474976	0.8168399819000001	0.8135558877	0.8159615671	0.8177402439	0.814638285	0.8141120285000001	0.8175583351	0.8171918006000001	0.8181490011	0.8158302577000001	0.9976485424	0.9331044097000001	0.8182737451000001	0.8306481875	0.9902488031000001	0.9889812143000001	0.7320392185	0.7267963498000001	0.9883807	0.9881273634000001	0.9397035010000001	1.0	0.7418912747	0.7147129389	0.7301389673
Streptomyces clavuligerus strain BW0218 NODE_1000_length_1065_cov_21.6876, whole genome shotgun sequence:633	0.9758108846	0.99896695	0.9811796625	0.9799506396000001	0.980613351	0.9813085482	0.9824948106	0.9794151519000001	0.9812305821	0.9836446586	0.9812762134	0.9812869413	0.9981824544000001	0.9732293927000001	0.9812423677000001	0.9972804055000001	0.9916455458000001	0.9874569865	0.9787255453	0.9707991489000001	0.9896969992	0.9882750255	0.9826454543	0.9902802335	1.0	0.9548786646	0.976336551
Streptomyces clavuligerus strain BW0217 NODE_1000_length_1270_cov_13.0604, whole genome shotgun sequence:634	0.97199492	0.9955010907	0.9776565708	0.9760498734	0.9770690144	0.9777906188000001	0.9746016534	0.9758229626	0.9777090312000001	0.9757972805	0.9777561672	0.9777680687	0.9938424027	0.9682378163	0.9776338640000001	0.9942633386	0.9905713798	0.9882917800000001	0.9790149034000001	0.9872804689	0.9885172814000001	0.9881978211	0.9845722599000001	0.9887362057	0.9896443185	1.0	0.9806504149
Streptomyces clavuligerus strain BW0216 NODE_1000_length_953_cov_5.89225, whole genome shotgun sequence:635	0.9756957966	0.9993360152	0.9811540856000001	0.9806365117	0.9805785605	0.9812854721000001	0.9824832816000001	0.9793646535	0.9812057510000001	0.9836482828	0.9812518972000001	0.9812633954000001	0.9987290617000001	0.9730289725000001	0.9812370262000001	0.9974972174000001	0.99168141	0.9880800093000001	0.9901096778	0.9757178732	0.9883364966	0.9886087748000001	0.9823994211	0.9888661820000001	0.9906350705	0.9600578898000001	1.0
