	Streptomyces xanthophaeus strain NBRC 12829 sequence01, whole genome shotgun sequence:354	Streptomyces sp. NRRL S-241 contig1.1, whole genome shotgun sequence:521	Streptomyces sp. NRRL S-237 contig1.1, whole genome shotgun sequence:522	Streptomyces xanthophaeus strain NRRL B-5414 Doro1_scaffold1, whole genome shotgun sequence:523	Streptomyces virginiae strain NRRL B-1447 P046contig1.1, whole genome shotgun sequence:524	Streptomyces sp. WM6368 P399contig1.1, whole genome shotgun sequence:525	Streptomyces sp. 3211 isolate 3 chromosome, complete genome:526	Streptomyces sp. Sge12 chromosome, complete genome:527	Streptomyces venezuelae strain ATCC 21018 chromosome, complete genome:528	Streptomyces nojiriensis strain JCM 3382 sequence001, whole genome shotgun sequence:529	Streptomyces nojiriensis strain NBRC 13794 sequence1, whole genome shotgun sequence:530	Streptomyces spororaveus strain NBRC 15456 sequence01, whole genome shotgun sequence:531	Streptomyces nojiriensis strain JCM 3382 chromosome, complete genome:532
Streptomyces xanthophaeus strain NBRC 12829 sequence01, whole genome shotgun sequence:354	1.0	0.8865744405	0.8853770411	0.9996725066000001	0.8865291151	0.8865737544000001	0.8871741366	0.8871494190000001	0.8860816893000001	0.8871838776000001	0.8876999336	0.8868572198	0.8877151422
Streptomyces sp. NRRL S-241 contig1.1, whole genome shotgun sequence:521	0.8865744405	1.0	0.9196599361000001	0.8865814786	0.9843408205	0.9846852492	0.9822976352	0.9825455801	0.9173322948	0.9222975203	0.9223934095	0.9196419199	0.9223989138
Streptomyces sp. NRRL S-237 contig1.1, whole genome shotgun sequence:522	0.8853770411	0.9196599361000001	1.0	0.885365783	0.9199352891	0.9200213919	0.9193949226	0.9196602631	0.9294029732	0.9348720427	0.9349058816	0.9319451467000001	0.9348312739
Streptomyces xanthophaeus strain NRRL B-5414 Doro1_scaffold1, whole genome shotgun sequence:523	0.9996725066000001	0.8865814786	0.885365783	1.0	0.8864617990000001	0.8865678919000001	0.8866093058000001	0.8864289515	0.8854882348	0.8870978175	0.8871540949000001	0.8862008095	0.8871335442
Streptomyces virginiae strain NRRL B-1447 P046contig1.1, whole genome shotgun sequence:524	0.8865291151	0.9843408205	0.9199352891	0.8864617990000001	1.0	0.9840641903	0.9825763334000001	0.9817913102	0.9177220727000001	0.9223913155000001	0.9224775044	0.9198804132	0.9225412908
Streptomyces sp. WM6368 P399contig1.1, whole genome shotgun sequence:525	0.8865737544000001	0.9846852492	0.9200213919	0.8865678919000001	0.9840641903	1.0	0.9820960098	0.9854096305000001	0.9175194036000001	0.9226885819	0.9227327157	0.9196906118	0.9227202932
Streptomyces sp. 3211 isolate 3 chromosome, complete genome:526	0.8871741366	0.9822976352	0.9193949226	0.8866093058000001	0.9825763334000001	0.9820960098	1.0	0.9807096427	0.9173173289000001	0.9217983764000001	0.9223120567	0.9192352889000001	0.9224264648
Streptomyces sp. Sge12 chromosome, complete genome:527	0.8871494190000001	0.9825455801	0.9196602631	0.8864289515	0.9817913102	0.9854096305000001	0.9807096427	1.0	0.9178591849000001	0.9226899040000001	0.9231042116	0.920170543	0.9232159160000001
Streptomyces venezuelae strain ATCC 21018 chromosome, complete genome:528	0.8860816893000001	0.9173322948	0.9294029732	0.8854882348	0.9177220727000001	0.9175194036000001	0.9173173289000001	0.9178591849000001	1.0	0.9337511841	0.9340571562000001	0.9296206544000001	0.9340392084
Streptomyces nojiriensis strain JCM 3382 sequence001, whole genome shotgun sequence:529	0.8871838776000001	0.9222975203	0.9348720427	0.8870978175	0.9223913155000001	0.9226885819	0.9217983764000001	0.9226899040000001	0.9337511841	1.0	0.9999408940000001	0.9344508996	0.9999458783
Streptomyces nojiriensis strain NBRC 13794 sequence1, whole genome shotgun sequence:530	0.8876999336	0.9223934095	0.9349058816	0.8871540949000001	0.9224775044	0.9227327157	0.9223120567	0.9231042116	0.9340571562000001	0.9999408940000001	1.0	0.9346226729	0.9999824839
Streptomyces spororaveus strain NBRC 15456 sequence01, whole genome shotgun sequence:531	0.8868572198	0.9196419199	0.9319451467000001	0.8862008095	0.9198804132	0.9196906118	0.9192352889000001	0.920170543	0.9296206544000001	0.9344508996	0.9346226729	1.0	0.9347300078
Streptomyces nojiriensis strain JCM 3382 chromosome, complete genome:532	0.8877151422	0.9223989138	0.9348312739	0.8871335442	0.9225412908	0.9227202932	0.9224264648	0.9232159160000001	0.9340392084	0.9999458783	0.9999824839	0.9347300078	1.0
