	Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213	Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214	Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215	Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216	Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217	Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247	Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356	Streptomyces cavourensis strain TJ430 chromosome, complete genome:357	Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358	Streptomyces sp. B27 1, whole genome shotgun sequence:359	Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360	Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361	Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362	Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363
Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213	1.0	0.9998600572	0.9998364363000001	0.9998698924	0.9998398454	0.9998331971000001	0.9673862193	0.979472933	0.9850843056	0.9616188859	0.9793865296	0.9792135735	0.9794135603	0.9794285880000001
Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214	0.9998600572	1.0	0.9998316181	0.9998673191	0.9997957117	0.9998360833000001	0.9674605213	0.9794425711	0.9850023659	0.9615785361	0.9793188014	0.9792208705000001	0.9793338888	0.9793628969
Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215	0.9998364363000001	0.9998316181	1.0	0.9998564052000001	0.9998123327	0.9997906427000001	0.9673907103	0.9794341453000001	0.9849292513000001	0.9616505469000001	0.9792616264	0.9791108244000001	0.9793039185	0.9792995893
Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216	0.9998698924	0.9998673191	0.9998564052000001	1.0	0.9998167063000001	0.9998379967000001	0.9675315645	0.9795415093000001	0.9850325785	0.9617718536000001	0.9793802792	0.9793083203	0.9794570933000001	0.9794210983
Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217	0.9998398454	0.9997957117	0.9998123327	0.9998167063000001	1.0	0.9998273961	0.9674460928	0.9794706186000001	0.9849917944000001	0.9616101953	0.9793396407	0.97919259	0.9793667626	0.9793725614000001
Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247	0.9998331971000001	0.9998360833000001	0.9997906427000001	0.9998379967000001	0.9998273961	1.0	0.9675565057000001	0.9795712139	0.9849946243000001	0.9619485498	0.9794848140000001	0.9793254111	0.9794538983000001	0.9795022812
Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356	0.9673862193	0.9674605213	0.9673907103	0.9675315645	0.9674460928	0.9675565057000001	1.0	0.9673123224	0.9695188413	0.9734243274000001	0.9673385455	0.9672214747000001	0.9672862727	0.9674116978
Streptomyces cavourensis strain TJ430 chromosome, complete genome:357	0.979472933	0.9794425711	0.9794341453000001	0.9795415093000001	0.9794706186000001	0.9795712139	0.9673123224	1.0	0.9816577890000001	0.9614509097	0.9947686632	0.9941984646	0.9945085300000001	0.9947699907
Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358	0.9850843056	0.9850023659	0.9849292513000001	0.9850325785	0.9849917944000001	0.9849946243000001	0.9695188413	0.9816577890000001	1.0	0.9643131776	0.9817358597	0.9816379002000001	0.9817491218000001	0.9817685221
Streptomyces sp. B27 1, whole genome shotgun sequence:359	0.9616188859	0.9615785361	0.9616505469000001	0.9617718536000001	0.9616101953	0.9619485498	0.9734243274000001	0.9614509097	0.9643131776	1.0	0.9616959220000001	0.9615669751	0.9614440299	0.9616900029000001
Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360	0.9793865296	0.9793188014	0.9792616264	0.9793802792	0.9793396407	0.9794848140000001	0.9673385455	0.9947686632	0.9817358597	0.9616959220000001	1.0	0.9940395053000001	0.9941286606	0.9999234638000001
Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361	0.9792135735	0.9792208705000001	0.9791108244000001	0.9793083203	0.97919259	0.9793254111	0.9672214747000001	0.9941984646	0.9816379002000001	0.9615669751	0.9940395053000001	1.0	0.9942600841	0.9940718381
Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362	0.9794135603	0.9793338888	0.9793039185	0.9794570933000001	0.9793667626	0.9794538983000001	0.9672862727	0.9945085300000001	0.9817491218000001	0.9614440299	0.9941286606	0.9942600841	1.0	0.9941543582000001
Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363	0.9794285880000001	0.9793628969	0.9792995893	0.9794210983	0.9793725614000001	0.9795022812	0.9674116978	0.9947699907	0.9817685221	0.9616900029000001	0.9999234638000001	0.9940718381	0.9941543582000001	1.0
