	GCF_001514115.1:821	GCF_001974775.1:822	GCF_002335465.1:823	GCF_007113405.2:824	GCF_007113425.2:825	GCF_007113445.1:826	GCF_007113465.1:827	GCF_007113485.2:828	GCF_007113505.2:829	GCF_007113525.2:830	GCF_007113545.2:831	GCF_007113565.2:832	GCF_007113585.2:833	GCF_007113665.2:834	GCF_012273535.1:835	GCF_012922115.1:836	GCF_018310535.1:837	GCF_900215305.1:838
GCF_001514115.1:821	11669312	8761316	11705164	8868513	8966115	8793722	8937467	8899105	8939945	8923017	8953071	8923305	8883909	8887725	8670141	8367647	7122959	8941589
GCF_001974775.1:822	8761316	12015616	8770257	9906060	10000814	9801673	10004884	10013103	10003155	10012184	10018983	9942819	9923936	9925502	8943218	9288796	7393217	9971217
GCF_002335465.1:823	11705164	8770257	11639641	8883617	8981864	8807507	8957287	8915376	8957392	8942871	8965759	8937390	8897569	8901336	8683940	8377833	7129539	8955364
GCF_007113405.2:824	8868513	9906060	8883617	11765395	11210118	11983382	11209835	10686725	11209599	11229689	10805940	10907854	11940626	12014651	9051220	11105564	7309282	10641284
GCF_007113425.2:825	8966115	10000814	8981864	11210118	12022941	11119825	11576720	10832900	11576859	11579964	10916745	10918180	11227771	11228517	9168398	10356712	7371122	10650596
GCF_007113445.1:826	8793722	9801673	8807507	11983382	11119825	11898970	11105481	10593007	11103135	11124316	10713589	10816483	11941625	12027329	8942250	11071475	7306409	10545838
GCF_007113465.1:827	8937467	10004884	8957287	11209835	11576720	11105481	12042091	10953238	12097509	12282992	11053368	11031462	11227566	11215427	9171945	10346566	7305018	10681360
GCF_007113485.2:828	8899105	10013103	8915376	10686725	10832900	10593007	10953238	12057750	10954965	10953937	12374040	11045229	10697020	10695685	9172011	9963853	7314012	10646098
GCF_007113505.2:829	8939945	10003155	8957392	11209599	11576859	11103135	12097509	10954965	12037094	12290873	11054665	11030348	11227928	11213957	9170873	10345125	7302146	10677249
GCF_007113525.2:830	8923017	10012184	8942871	11229689	11579964	11124316	12282992	10953937	12290873	12201201	11029210	11040841	11249363	11239663	9178021	10367952	7294162	10691028
GCF_007113545.2:831	8953071	10018983	8965759	10805940	10916745	10713589	11053368	12374040	11054665	11029210	12448484	11113721	10814612	10805365	9232189	10095412	7326260	10676793
GCF_007113565.2:832	8923305	9942819	8937390	10907854	10918180	10816483	11031462	11045229	11030348	11040841	11113721	12005569	10862050	10861046	8881310	10027061	7116906	10709990
GCF_007113585.2:833	8883909	9923936	8897569	11940626	11227771	11941625	11227566	10697020	11227928	11249363	10814612	10862050	12245359	11984142	9064242	11194360	7319585	10615821
GCF_007113665.2:834	8887725	9925502	8901336	12014651	11228517	12027329	11215427	10695685	11213957	11239663	10805365	10861046	11984142	11934630	9066746	11231095	7317743	10615038
GCF_012273535.1:835	8670141	8943218	8683940	9051220	9168398	8942250	9171945	9172011	9170873	9178021	9232189	8881310	9064242	9066746	12127650	8612206	8723986	9064301
GCF_012922115.1:836	8367647	9288796	8377833	11105564	10356712	11071475	10346566	9963853	10345125	10367952	10095412	10027061	11194360	11231095	8612206	10892946	7243388	9898507
GCF_018310535.1:837	7122959	7393217	7129539	7309282	7371122	7306409	7305018	7314012	7302146	7294162	7326260	7116906	7319585	7317743	8723986	7243388	9621341	7345013
GCF_900215305.1:838	8941589	9971217	8955364	10641284	10650596	10545838	10681360	10646098	10677249	10691028	10676793	10709990	10615821	10615038	9064301	9898507	7345013	12153002
