	Streptomyces albulus CCRC 11814 contig_243, whole genome shotgun sequence:498	Streptomyces albulus strain NK660 chromosome, complete genome:499	Streptomyces albulus strain CK-15 chromosome, complete genome:500	Streptomyces albulus strain NBRC 14147 sequence1, whole genome shotgun sequence:501
Streptomyces albulus CCRC 11814 contig_243, whole genome shotgun sequence:498	1.0	0.9422375784	0.9279116235	0.9994967956
Streptomyces albulus strain NK660 chromosome, complete genome:499	0.935398304	1.0	0.9500897369	0.9628448463
Streptomyces albulus strain CK-15 chromosome, complete genome:500	0.9247464016	0.9537718592000001	1.0	0.9554972902000001
Streptomyces albulus strain NBRC 14147 sequence1, whole genome shotgun sequence:501	0.9672914538	0.9386336021	0.9278747771	1.0
