	Streptomyces fulvissimus DSM 40593, complete sequence:366	Streptomyces sp. MNU77 contig1_MNU77, whole genome shotgun sequence:367	Streptomyces luridiscabiei strain NRRL B-24455 B24455_contig_1, whole genome shotgun sequence:368	Streptomyces sp. 2R contig1, whole genome shotgun sequence:369	Streptomyces griseus subsp. griseus strain ATCC 13273 chromosome, complete genome:370	Streptomyces fulvorobeus strain NBRC 15897 sequence1, whole genome shotgun sequence:371	Streptomyces fulvissimus strain NA06532 chromosome, complete genome:372	Streptomyces fulvorobeus strain DSM 41455 Ga0265265_01, whole genome shotgun sequence:373	Streptomyces sp. MBT58 scaffold100_size33420_cov117.2158, whole genome shotgun sequence:374	Streptomyces sp. CA-256286 chromosome, complete genome:375
Streptomyces fulvissimus DSM 40593, complete sequence:366	1.0	0.8952953006000001	0.9748739313	0.9741640575	0.9223125536000001	0.8688964090000001	0.9742506247	0.8689049548000001	0.9742725350000001	0.9742605070000001
Streptomyces sp. MNU77 contig1_MNU77, whole genome shotgun sequence:367	0.8952953006000001	1.0	0.8951629056	0.8941509851	0.8924151243	0.8689089821	0.8943016847	0.8689533059000001	0.8952148198000001	0.8942538440000001
Streptomyces luridiscabiei strain NRRL B-24455 B24455_contig_1, whole genome shotgun sequence:368	0.9748739313	0.8951629056	1.0	0.9922582591	0.9224348376	0.86836813	0.9930076287	0.8683684957000001	0.9929282078	0.9930514254
Streptomyces sp. 2R contig1, whole genome shotgun sequence:369	0.9741640575	0.8941509851	0.9922582591	1.0	0.9213640705	0.8677907158	0.9924858629000001	0.8678070484	0.9920185689000001	0.9931455416
Streptomyces griseus subsp. griseus strain ATCC 13273 chromosome, complete genome:370	0.9223125536000001	0.8924151243	0.9224348376	0.9213640705	1.0	0.8689478666	0.9211624115	0.8689620082	0.9223190925	0.9211329610000001
Streptomyces fulvorobeus strain NBRC 15897 sequence1, whole genome shotgun sequence:371	0.8688964090000001	0.8689089821	0.86836813	0.8677907158	0.8689478666	1.0	0.8677485353000001	0.9998431911000001	0.8684428259	0.8682616347000001
Streptomyces fulvissimus strain NA06532 chromosome, complete genome:372	0.9742506247	0.8943016847	0.9930076287	0.9924858629000001	0.9211624115	0.8677485353000001	1.0	0.8678064199000001	0.9927224864	0.9935371204000001
Streptomyces fulvorobeus strain DSM 41455 Ga0265265_01, whole genome shotgun sequence:373	0.8689049548000001	0.8689533059000001	0.8683684957000001	0.8678070484	0.8689620082	0.9998431911000001	0.8678064199000001	1.0	0.8684062267	0.8682525225000001
Streptomyces sp. MBT58 scaffold100_size33420_cov117.2158, whole genome shotgun sequence:374	0.9742725350000001	0.8952148198000001	0.9929282078	0.9920185689000001	0.9223190925	0.8684428259	0.9927224864	0.8684062267	1.0	0.9931246954
Streptomyces sp. CA-256286 chromosome, complete genome:375	0.9742605070000001	0.8942538440000001	0.9930514254	0.9931455416	0.9211329610000001	0.8682616347000001	0.9935371204000001	0.8682525225000001	0.9931246954	1.0
