	GCF_001514115.1:821	GCF_001974775.1:822	GCF_002335465.1:823	GCF_007113405.2:824	GCF_007113425.2:825	GCF_007113445.1:826	GCF_007113465.1:827	GCF_007113485.2:828	GCF_007113505.2:829	GCF_007113525.2:830	GCF_007113545.2:831	GCF_007113565.2:832	GCF_007113585.2:833	GCF_007113665.2:834	GCF_012273535.1:835	GCF_012922115.1:836	GCF_018310535.1:837	GCF_900215305.1:838
GCF_001514115.1:821	1.0	0.7199616396	1.0030296559	0.7289629414000001	0.7367310086000001	0.7228489563	0.7345486178	0.7313971038	0.7347492294	0.7331416796	0.7357301784	0.7334315853000001	0.7301752665	0.7305003928	0.7073139359	0.6881782748	0.5823453002	0.7349178769
GCF_001974775.1:822	0.6992115094	1.0	0.6999032759	0.8104512494	0.8177998531	0.8019208503	0.8182798119	0.8186214506	0.8181305062	0.8188048786000001	0.8192156773	0.813136505	0.8118027407	0.8119332375	0.708731038	0.7600153833000001	0.5868926737	0.815155461
GCF_002335465.1:823	1.0055865125	0.7225110293	1.0	0.7320837473	0.7399227347	0.7258325235	0.7381003418000001	0.7346291007	0.7380924377	0.7366933396	0.7387010476	0.7365165300000001	0.7331537115	0.7334774329	0.7102484518000001	0.6907748272	0.5843803945	0.7379769703
GCF_007113405.2:824	0.7230098097000001	0.8276875532	0.7242588965	1.0	0.9462073309000001	1.0183784735	0.9459358568	0.9004512811000001	0.9459190278	0.94767426	0.9105457998	0.9201978344	1.0147547107	1.0210381377	0.7330971038	0.9435973038000001	0.5932947428	0.8957624457000001
GCF_007113425.2:825	0.7150616476	0.8173016070000001	0.7163334662	0.9259384206	1.0	0.9184097302	0.9589642002000001	0.8930436405000001	0.9589425749	0.9591940940000001	0.9001235222	0.9009565131	0.9272974059	0.9273376622	0.7267575379	0.8552350045	0.5855913291	0.8772158992
GCF_007113445.1:826	0.7088974928	0.8097821072	0.7100135558	1.0069463996	0.927978304	1.0	0.92650658	0.8824712559000001	0.9263379099	0.9281431922000001	0.8925562465	0.9021809451	1.0033682747	1.0105409964	0.7161969481	0.9300514246	0.5863668032	0.8777100035000001
GCF_007113465.1:827	0.7118096849000001	0.8164807922	0.7134328249	0.9242007057	0.9574392022	0.9154949917	1.0	0.9020386908	1.0045167405	1.0198722132	0.9101594565000001	0.9088537863	0.9255165901	0.9245611082	0.7259890330000001	0.8530726931	0.5793065341	0.8785221769
GCF_007113485.2:828	0.7078352927	0.8157609007000001	0.7091554394	0.8786187307000001	0.8904655512	0.8708506147	0.9008672431	1.0	0.9009822728	0.9009296925	1.0253427049	0.9087455786	0.8793723539	0.8792629637	0.7249062221	0.8192060708000001	0.5793730174	0.8741249404
GCF_007113505.2:829	0.712299663	0.8166707014	0.7137213517000001	0.9245679231	0.9578150673	0.9157083097000001	1.004933749	0.9025283843	1.0	1.0209406855	0.9106173799	0.9091279008	0.9259269721000001	0.9248311096	0.7261862373	0.8533167557	0.5793031939000001	0.8785409502
GCF_007113525.2:830	0.7011817115	0.8063505388000001	0.7027870453	0.9138249587	0.9451802327000001	0.9051525338	1.0065725497	0.8903373529	1.0072089625	1.0	0.8963798728000001	0.8977459678	0.9152734227	0.9145019412000001	0.7169208998000001	0.8437422677	0.5709134699	0.8677571987
GCF_007113545.2:831	0.6896795626000001	0.7907292968	0.6907037837000001	0.8605811760000001	0.8693534088	0.8531560952	0.8804464062	0.9931591670000001	0.8805238453	0.8785737283	1.0	0.8856856787	0.8611205188000001	0.8604136857	0.7069261606	0.8039962135000001	0.5621328669	0.8492280666
GCF_007113565.2:832	0.7128893266	0.8138169878	0.7140676131	0.9017890781000001	0.9022601927	0.8941703638	0.9116185997	0.91269535	0.9115151477000001	0.912374832	0.9183608041	1.0	0.8979209565	0.8978566530000001	0.7047367767	0.8288382666	0.5661465108	0.8835991030000001
GCF_007113585.2:833	0.6958263126	0.7965719911	0.6968881843	0.9749808070000001	0.9104544832	0.9749856252	0.9101533895	0.8658996441	0.9101791136	0.9119728544000001	0.8754047146	0.8803377671	1.0	0.9784855634	0.7053254217	0.9138331510000001	0.5708105414	0.8587931967
GCF_007113665.2:834	0.7142606851000001	0.8174428533	0.715348025	1.0065596504	0.9341995521	1.007521557	0.9328859797	0.8883336140000001	0.9327711877	0.9349281880000001	0.8974594101000001	0.9031934798000001	1.0039613293	1.0	0.7239050561	0.9407108557	0.5855394763	0.8811169680000001
GCF_012273535.1:835	0.6805825531	0.7021838526	0.6816685013	0.7111993667000001	0.7204827811000001	0.7026922776	0.7208672744	0.7207280883	0.7207638743	0.7212688361	0.7256277185000001	0.6976426595	0.7121711956	0.7123836028	1.0	0.6771450363	0.7174738717	0.7120071902
GCF_012922115.1:836	0.7372263665000001	0.8383455679	0.7381263985000001	1.0191728666	0.9439540047	1.0159468339	0.9430671005000001	0.9068053766	0.9429454621000001	0.9450766579000001	0.9188087410000001	0.9134971384	1.0272900462	1.0306703072	0.7538987157	1.0	0.6351080782	0.9003224656000001
GCF_018310535.1:837	0.7063016476	0.7329411773000001	0.7069677709000001	0.7255066627	0.7317618199	0.7251755239000001	0.7250612986	0.726087455	0.7247562476	0.7239978294	0.7273104653	0.7064411292	0.7264870874	0.7263225573000001	0.9043720621	0.7190471682	1.0	0.7290194787000001
GCF_900215305.1:838	0.7056681139000001	0.8059403759	0.7068037181	0.8671930606	0.8678279655000001	0.8593633902000001	0.8705045881	0.8672737814	0.8701619567000001	0.8711987376	0.8698757723	0.8728798037000001	0.865319614	0.8652845610000001	0.7105218941	0.8069746059	0.5771532828	1.0
