	GCF_000403765.2:103	GCF_000695235.1:104	GCF_000935185.3:105	GCF_003851665.1:106
GCF_000403765.2:103	1	45760	41517	1292
GCF_000695235.1:104	45760	1	43937	48166
GCF_000935185.3:105	41517	43937	1	44336
GCF_003851665.1:106	1292	48166	44336	1
