	GCF_000261345.2:690	GCF_000932225.2:691	GCF_001905405.1:692	GCF_002154385.1:693	GCF_003147545.1:694	GCF_003263885.1:695	GCF_003263925.1:696	GCF_003353555.1:697	GCF_003989035.1:698	GCF_014649875.1:699
GCF_000261345.2:690	1.0	0.8488420331000001	0.8332908723	0.7586265685	0.8480064299000001	0.8486879912	0.8478038244	0.8393755896	0.8167622715	0.8188860963
GCF_000932225.2:691	0.8589932207000001	1.0	0.9316529842000001	0.8474494827	0.9967022535000001	1.002736096	0.9913010478000001	0.9423837591	0.8281328657	0.825033517
GCF_001905405.1:692	0.8347647627	0.9222715324	1.0	0.8704144581000001	0.9212752463	0.9219330448	0.9210383050000001	0.9660969264	0.8227850040000001	0.8151479255
GCF_002154385.1:693	0.8158885653	0.900645239	0.9344614953	1.0	0.8998533711000001	0.9009937107	0.8985720954	0.9506319883000001	0.8041046421	0.7992550555
GCF_003147545.1:694	0.8609566190000001	0.9999647819	0.9336928706000001	0.8494759227	1.0	0.9999403902	0.9939437980000001	0.9446396873	0.8307313056000001	0.8278414681
GCF_003263885.1:695	0.8598750067	1.0039476284	0.9324362882	0.8488016793000001	0.997882154	1.0	0.9933516299	0.9432807790000001	0.8291283613	0.8263076039
GCF_003263925.1:696	0.8654552851	0.9999815078000001	0.9385544472	0.8529025103000001	0.9993761187	1.0008408036	1.0	0.9500643160000001	0.834801297	0.8320501602
GCF_003353555.1:697	0.806667098	0.8949585922000001	0.9268110973	0.8494691949000001	0.8941740709	0.894729434	0.8944205148000001	1.0	0.7923750797	0.7861734842
GCF_003989035.1:698	0.8280100226	0.8296159376000001	0.8326429505	0.7579659504	0.8295037970000001	0.829610858	0.8290367402000001	0.8358584273	1.0	0.9355154154
GCF_014649875.1:699	0.8443823547	0.8406677448000001	0.8390437291	0.7662989768	0.8407767721	0.8409499174	0.8404577714	0.8435212647	0.9515391785	1.0
