	Streptomyces sp. NTK 937 contig00001, whole genome shotgun sequence:81	Streptomyces griseolus strain NRRL B-2925 contig1.1, whole genome shotgun sequence:82	Streptomyces sp. OspMP-M45 YUMDRAFT_scaffold_0.1_C, whole genome shotgun sequence:83	Streptomyces sp. SM18 chromosome, complete genome:84	Streptomyces sp. SID4941 SID4941.c1, whole genome shotgun sequence:85	Streptomyces sp. SID4925 SID4925.c1, whole genome shotgun sequence:86	Streptomyces sp. SID4912 SID4912.c1, whole genome shotgun sequence:87	Streptomyces sp. OspMP-M45, whole genome shotgun sequence:88	Streptomyces sp. DpondAA-D4, whole genome shotgun sequence:89	Streptomyces sp. PalvLS-984, whole genome shotgun sequence:90
Streptomyces sp. NTK 937 contig00001, whole genome shotgun sequence:81	1.0	0.9858812491000001	0.9863366468	0.9630171930000001	0.9819002122	0.9863366468	0.9862314726	0.9863366468	0.9863718554	0.9819087213000001
Streptomyces griseolus strain NRRL B-2925 contig1.1, whole genome shotgun sequence:82	0.9858812491000001	1.0	0.9922847723	0.9631630249	0.9835833110000001	0.9922847723	0.9920524016000001	0.9922847723	0.9921369021	0.9835988681000001
Streptomyces sp. OspMP-M45 YUMDRAFT_scaffold_0.1_C, whole genome shotgun sequence:83	0.9863366468	0.9922847723	1.0	0.9629065608	0.9833465255	1.0	0.9930774355	1.0	0.9931490211	0.9833531649
Streptomyces sp. SM18 chromosome, complete genome:84	0.9630171930000001	0.9631630249	0.9629065608	1.0	0.9633481538	0.9629120494000001	0.9630619797000001	0.9629120494000001	0.9632427162	0.9633627743000001
Streptomyces sp. SID4941 SID4941.c1, whole genome shotgun sequence:85	0.9819002122	0.9835833110000001	0.9833465255	0.9633481538	1.0	0.9833554319000001	0.9834613486	0.9833554319000001	0.9835526613000001	1.0
Streptomyces sp. SID4925 SID4925.c1, whole genome shotgun sequence:86	0.9863366468	0.9922847723	1.0	0.9629120494000001	0.9833554319000001	1.0	0.9930774355	1.0	0.9931490211	0.9833531649
Streptomyces sp. SID4912 SID4912.c1, whole genome shotgun sequence:87	0.9862314726	0.9920524016000001	0.9930774355	0.9630619797000001	0.9834613486	0.9930774355	1.0	0.9930949473	0.9999431603000001	0.9834857052
Streptomyces sp. OspMP-M45, whole genome shotgun sequence:88	0.9863366468	0.9922847723	1.0	0.9629120494000001	0.9833554319000001	1.0	0.9930949473	1.0	0.9931490211	0.9833531649
Streptomyces sp. DpondAA-D4, whole genome shotgun sequence:89	0.9863718554	0.9921369021	0.9931490211	0.9632427162	0.9835526613000001	0.9931490211	0.9999431603000001	0.9931490211	1.0	0.9835410952
Streptomyces sp. PalvLS-984, whole genome shotgun sequence:90	0.9819087213000001	0.9835988681000001	0.9833531649	0.9633627743000001	1.0	0.9833531649	0.9834857052	0.9833531649	0.9835410952	1.0
