	Streptomyces sp. S1D4-23 chromosome:25	Streptomyces sp. RLB3-6 chromosome:26	Streptomyces sp. S1A1-3 chromosome:364	Streptomyces sp. S1A1-8 chromosome, complete genome:365	Streptomyces sp. WAC00263 unitig_0, whole genome shotgun sequence:489	Streptomyces sp. S1D4-14 chromosome, complete genome:490	Streptomyces sp. RLA2-12 RLA212_1, whole genome shotgun sequence:492	Streptomyces sp. OK228, whole genome shotgun sequence:494	Streptomyces sp. RLB1-8 chromosome, complete genome:662	Streptomyces sp. RLB3-17 chromosome, complete genome:663	Streptomyces sp. RLB3-5 chromosome:664	Streptomyces sp. RLB1-9 chromosome, complete genome:665	Streptomyces sp. S1A1-7 chromosome:666	Streptomyces sp. S1D4-20 chromosome:667
Streptomyces sp. S1D4-23 chromosome:25	1.0	0.9991341551	0.9917141594000001	0.9916799369	0.9823499457	0.9912345960000001	0.991361675	0.9900322165000001	0.9913338730000001	0.9911704332000001	0.991261825	0.9917151249	0.9920506854000001	0.9912341942
Streptomyces sp. RLB3-6 chromosome:26	0.9991341551	1.0	0.9915722360000001	0.9915429233	0.9825023294	0.9912525861	0.9913943086	0.990147697	0.9913898514	0.991339018	0.9913096818	0.9916259446000001	0.9920569357000001	0.9912186401
Streptomyces sp. S1A1-3 chromosome:364	0.9917141594000001	0.9915722360000001	1.0	0.9999151065	0.9827496563	0.9927084363	0.9928684551	0.9904397942000001	0.9928196770000001	0.9959271721	0.9927054983	0.9998699014	0.9921169107000001	0.9926599407000001
Streptomyces sp. S1A1-8 chromosome, complete genome:365	0.9916799369	0.9915429233	0.9999151065	1.0	0.9827331101000001	0.9927163980000001	0.9928786747	0.9904311494	0.9928224699	0.9958927550000001	0.9927340341	0.9998605469	0.9921045102	0.9926559914
Streptomyces sp. WAC00263 unitig_0, whole genome shotgun sequence:489	0.9823499457	0.9825023294	0.9827496563	0.9827331101000001	1.0	0.9829102850000001	0.9831255848	0.9822868161	0.9830417946000001	0.9825569199	0.9830539133	0.9826472426	0.9826525053	0.9829073867
Streptomyces sp. S1D4-14 chromosome, complete genome:490	0.9912345960000001	0.9912525861	0.9927084363	0.9927163980000001	0.9829102850000001	1.0	0.9996385927	0.9906516585	0.9998539727	0.9929500824	0.9997562219	0.9927376027	0.9924880048	0.9998135035000001
Streptomyces sp. RLA2-12 RLA212_1, whole genome shotgun sequence:492	0.991361675	0.9913943086	0.9928684551	0.9928786747	0.9831255848	0.9996385927	1.0	0.9907720427000001	0.9996606206	0.9928199081	0.999564647	0.9929215452000001	0.9923904321	0.9996263273
Streptomyces sp. OK228, whole genome shotgun sequence:494	0.9900322165000001	0.990147697	0.9904397942000001	0.9904311494	0.9822868161	0.9906516585	0.9907720427000001	1.0	0.9904086624	0.9902804797	0.9903159162	0.9903634288000001	0.9905303746	0.9906284791000001
Streptomyces sp. RLB1-8 chromosome, complete genome:662	0.9913338730000001	0.9913898514	0.9928196770000001	0.9928224699	0.9830417946000001	0.9998539727	0.9996606206	0.9904086624	1.0	0.9930763441	0.9998533803	0.9928825277000001	0.9925408793	0.9998629888
Streptomyces sp. RLB3-17 chromosome, complete genome:663	0.9911704332000001	0.991339018	0.9959271721	0.9958927550000001	0.9825569199	0.9929500824	0.9928199081	0.9902804797	0.9930763441	1.0	0.9929999798	0.9958868611	0.9921202068	0.9929701986
Streptomyces sp. RLB3-5 chromosome:664	0.991261825	0.9913096818	0.9927054983	0.9927340341	0.9830539133	0.9997562219	0.999564647	0.9903159162	0.9998533803	0.9929999798	1.0	0.9927754659	0.9924689938000001	0.9997842840000001
Streptomyces sp. RLB1-9 chromosome, complete genome:665	0.9917151249	0.9916259446000001	0.9998699014	0.9998605469	0.9826472426	0.9927376027	0.9929215452000001	0.9903634288000001	0.9928825277000001	0.9958868611	0.9927754659	1.0	0.9920964354	0.9927170987
Streptomyces sp. S1A1-7 chromosome:666	0.9920506854000001	0.9920569357000001	0.9921169107000001	0.9921045102	0.9826525053	0.9924880048	0.9923904321	0.9905303746	0.9925408793	0.9921202068	0.9924689938000001	0.9920964354	1.0	0.9924509646
Streptomyces sp. S1D4-20 chromosome:667	0.9912341942	0.9912186401	0.9926599407000001	0.9926559914	0.9829073867	0.9998135035000001	0.9996263273	0.9906284791000001	0.9998629888	0.9929701986	0.9997842840000001	0.9927170987	0.9924509646	1.0
