	GCF_000718705.1:1	GCF_000719625.1:2	GCF_000720235.1:3	GCF_000720455.1:4	GCF_000966965.1:5	GCF_001279445.1:6	GCF_001279485.1:7	GCF_001279495.1:8	GCF_001279685.1:9	GCF_001279765.1:10	GCF_001279815.1:11	GCF_001279845.1:12	GCF_001279855.1:13	GCF_001279885.1:14	GCF_001279905.1:15	GCF_001279925.1:16	GCF_001279935.1:17	GCF_001279965.1:18	GCF_008086975.1:19	GCF_014217585.1:20	GCF_014648795.1:21	GCF_016755835.1:22	GCF_017876235.1:23
GCF_000718705.1:1	1.0	1.010732944	0.8597778239	0.8614982790000001	0.8578414292000001	0.8736720578	0.9119738191000001	0.8520168036	0.8519236766	0.8519431878	0.8553925966	0.950840447	0.8541493874	0.9498264642	0.8547115009	0.9622409607	0.8526810215	0.8551461333	0.7922853037	0.9545306933000001	0.9628766899000001	0.9635539553	0.9648383415
GCF_000719625.1:2	1.0110042657	1.0	0.8600693276	0.8615708943	0.8580145961000001	0.8738280422	0.9106423499	0.8519527731000001	0.8521381192	0.852273896	0.8554806947	0.9511290965	0.8543602369000001	0.9500578488	0.8550037997000001	0.9623971332000001	0.8529202127000001	0.855313548	0.7913049694000001	0.9546648008	0.9628980945000001	0.9649312741	0.9662564747000001
GCF_000720235.1:3	0.8755393847	0.8756011854	1.0	0.9687117860000001	1.0274445037	0.7985408455	0.8450789586	0.9339819927	0.9306359791000001	0.9348166068	0.9593978004	0.8760543905	0.9587422499	0.8829839908	0.9348402544000001	0.8762780675	0.9335289096	0.9593586722	0.7455928917	0.8747253709	0.8755825355	0.8751153125000001	0.8759713801000001
GCF_000720455.1:4	0.8651900130000001	0.8650307302	0.9553493655	1.0	0.9523780501	0.7894590372	0.8357677755	0.9235321159000001	0.9265283154	0.9261727241000001	0.9451541845	0.8701383584	0.9434998073	0.8676624426	0.9294437316	0.8659640672000001	0.9256098848000001	0.9439912398	0.7389540085	0.8661316448	0.8682056871	0.8673453196	0.8683842041000001
GCF_000966965.1:5	0.8770631109	0.8770047344	1.0315558686	0.9695631981	1.0	0.7998237690000001	0.8468097605	0.9349836221000001	0.9318245596	0.9362646010000001	0.9591133135000001	0.8772097253000001	0.9585132715	0.8845338354000001	0.9353785509	0.8777961828	0.9347176847	0.9590420868	0.7471030504	0.8758537258	0.8772517025000001	0.8771058224	0.8777451492
GCF_001279445.1:6	0.9592944863	0.9592082673000001	0.8610159365000001	0.8631296176000001	0.8589620567	1.0	0.9038315826000001	0.8530757662	0.8542020026	0.8556302685	0.8562753342	0.9500503843	0.8552801350000001	0.9526044923	0.8546840933000001	1.0031567214	0.8552209909	0.8562297275	0.8743566265	0.9558260094000001	0.9659709429000001	0.9642189612000001	0.9665880137
GCF_001279485.1:7	0.9461953407	0.9445603503000001	0.8610061928	0.8634296796	0.8593309642	0.8540483244	1.0	0.851667684	0.8521830817	0.8537647936	0.8547856536	0.9423909608000001	0.8541748763	0.9480152533	0.8542318805	0.9431203416	0.8547549781	0.8549980222	0.792478299	0.940557387	0.9475240731000001	0.9467956858000001	0.9474558916
GCF_001279495.1:8	0.8828635023	0.8825602387	0.950373808	0.9528846315	0.9476011483000001	0.8050623303000001	0.8505838598000001	1.0	0.9793226370000001	0.9782442840000001	0.963354107	0.8845619020000001	0.9630282692000001	0.8846028333	0.9775856626	0.8835518919	0.9848966082	0.9643308760000001	0.7526611219	0.8806879431	0.8827507552	0.8827479024	0.8833710501
GCF_001279685.1:9	0.8606592674	0.860644877	0.9232534778	0.9320348983000001	0.9207482147	0.7859368362	0.8297839587	0.9547967922	1.0	0.9620716931000001	0.9370171274	0.8645391178	0.9364227668	0.8611451557	0.9653836661	0.8616419274	0.9626259056	0.9381649749000001	0.7356041092000001	0.8609158764	0.863722129	0.8624554094	0.8639377434000001
GCF_001279765.1:10	0.8309464884000001	0.8310459597000001	0.8953635152	0.8994920424	0.8931763134	0.7600550688000001	0.8026056819	0.9207979375	0.928836552	1.0	0.9061056017	0.8325937196000001	0.9058320555	0.8330009450000001	0.9277765752	0.8367499167	0.9456790798	0.9071681469	0.7111860415	0.8309015395	0.8346342829000001	0.8337811878	0.8349834833
GCF_001279815.1:11	0.8769242097000001	0.8767791623000001	0.9658414590000001	0.9648107880000001	0.9617067490000001	0.7994779766000001	0.8446083352	0.9530970443000001	0.95085335	0.9523859194000001	1.0	0.8748303485000001	1.0034619944	0.8779451863000001	0.9513296012	0.8771194469	0.9545548812	1.0126664916	0.7469354748	0.8733915323	0.8766974350000001	0.8758847033	0.8763068378000001
GCF_001279845.1:12	0.9595690702	0.9596027732	0.8681808781	0.8743792123	0.8658610479000001	0.8731959829	0.9166452047	0.8614923404	0.8636199789000001	0.8614683013000001	0.8611838189000001	1.0	0.8612576273	0.9618484326000001	0.8640751507000001	0.9601323574	0.8614635901000001	0.8619316875	0.802516419	0.9659788031000001	0.9634203942	0.9631917211000001	0.9638720629
GCF_001279855.1:13	0.8763857407000001	0.8763668269	0.9659927961	0.9639315636	0.9619129485000001	0.7992200158	0.8447142645	0.9535755377	0.9510489528	0.9528986949	1.0043054618	0.8756407347	1.0	0.8778785775	0.9528807637000001	0.8770624606	0.9537095307000001	1.0199229546	0.7479971055	0.8729839641	0.876157056	0.8748818503	0.875809362
GCF_001279885.1:14	0.9525329250000001	0.9525092768000001	0.8695591161	0.8664219499	0.8676136025000001	0.8700512866000001	0.9163315106000001	0.8561279057000001	0.8548334976	0.8564831087	0.8588287209000001	0.9558148613	0.8580423286000001	1.0	0.8586104853000001	0.9563295996000001	0.8563966788	0.8589498428000001	0.8004783176	0.9576979533000001	0.9538264929	0.953532271	0.9543795244000001
GCF_001279905.1:15	0.8369929705	0.8370545105	0.8989803936	0.9062922831	0.8959130057	0.7622621963	0.8062683353000001	0.9238717403000001	0.9357754514000001	0.9315008246	0.9087338386	0.8384654761	0.9094511019	0.8384221051	1.0	0.8520265473	0.9322221906	0.9109227870000001	0.7158883498	0.8360517016000001	0.8388142028000001	0.8379062241	0.8392418178000001
