	Streptomyces sp. M56 chromosome:3	Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5	Streptomyces malaysiensis strain DSM 14702 A843_AS5_SC1, whole genome shotgun sequence:335	Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:751
Streptomyces sp. M56 chromosome:3	1.0	0.9858004764	0.9795231282	0.9862553875000001
Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5	0.9858004764	1.0	0.9793519005	0.9854007108
Streptomyces malaysiensis strain DSM 14702 A843_AS5_SC1, whole genome shotgun sequence:335	0.9795231282	0.9793519005	1.0	0.9791461720000001
Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:751	0.9862553875000001	0.9854007108	0.9791461720000001	1.0
