	GCF_002217715.1:48	GCF_002551375.1:49	GCF_002803175.1:50	GCF_002832675.1:51	GCF_003024215.1:52	GCF_003116775.1:53	GCF_009864905.1:54	GCF_009872565.1:55	GCF_013363455.1:56	GCF_013363655.1:57	GCF_013363665.1:58	GCF_014648875.1:59	GCF_016612575.1:60	GCF_016612605.1:61	GCF_016612645.1:62	GCF_016654065.1:63	GCF_900187925.1:64
GCF_002217715.1:48	1.0	0.9010184315	0.7639418189	0.7793040368	0.8195381287	0.8437227194	0.8479521558	0.8879760911000001	0.843467717	0.8434682431	0.8427776718000001	0.8301157966	0.9368045135	0.9225527858	0.936852384	0.9340313131	0.8479521558
GCF_002551375.1:49	0.8697362473	1.0	0.7466590567	0.7568390146	0.7934422288	0.8239794367000001	0.8373997012000001	0.9029280312	0.8156324577	0.8213483458	0.8155517198000001	0.8069271090000001	0.8622985853	0.8489779737	0.8624653928	0.8598613415	0.8373997012000001
GCF_002803175.1:50	0.7870460722	0.7969082331	1.0	0.7813278642	0.8492805632	0.8602374810000001	0.8565464701000001	0.7898318762000001	0.8540567111	0.8526867746000001	0.8537258452	0.8547737227000001	0.774138509	0.7589604091000001	0.7734389756000001	0.7699109589	0.8565464701000001
GCF_002832675.1:51	0.7781953628	0.7829451338000001	0.75731255	1.0	0.8312009837000001	0.8129445441	0.8133041126	0.7721760709000001	0.8258687853000001	0.8328550250000001	0.8257214384	0.8049128243	0.7634560756000001	0.7497319324	0.7625620134000001	0.7603385459	0.8133041126
GCF_003024215.1:52	0.8014625982	0.8038509179000001	0.8061677295	0.8140262916000001	1.0	0.8580050701	0.8589080530000001	0.8000275486	0.9091412197000001	0.9090992922000001	0.9090356294	0.8547434768000001	0.7862610785	0.7724147404	0.7859758177	0.7819626175000001	0.8589080530000001
GCF_003116775.1:53	0.8144397965	0.8239895832	0.8060049936	0.7858478168	0.8469055929	1.0	0.9613779896	0.8103425513	0.8534269092000001	0.8546423089	0.8533534063	0.8685393013	0.8027934643	0.7893661793000001	0.8018049206000001	0.7988053944	0.9613779896
GCF_009864905.1:54	0.7751802185000001	0.7930676583	0.7600503987	0.7445649508000001	0.8029045359	0.9104713093000001	1.0	0.7727398746	0.810974214	0.8140325187	0.8107073126000001	0.8257992613	0.7711188697	0.7600743236	0.771384689	0.7674825192	0.9999446961
GCF_009872565.1:55	0.9096423719000001	0.9582275435000001	0.7853517125	0.7921438154	0.8380313302	0.8599611087	0.8659072973	1.0	0.8625244485	0.8602698896000001	0.8624495436	0.845729433	0.8983534108000001	0.8839653238	0.8982719045	0.8949945424	0.8653953568
GCF_013363455.1:56	0.7855648463	0.7869627583000001	0.7720766423000001	0.770269878	0.8658264088000001	0.8234185852	0.8262077952	0.7841796725	1.0	0.969762573	1.0026978368	0.8215950406	0.7732328930000001	0.7595119691000001	0.7727078033	0.7697528722	0.8267646083
GCF_013363655.1:57	0.7820927082	0.7889745469	0.7674306786	0.7733519743	0.8619592297	0.8209461050000001	0.8256574848	0.7786724581000001	0.9654756925	1.0	0.9639293366	0.8166923763	0.7719314633000001	0.7584038670000001	0.7713736972	0.7683857342	0.8256667524
GCF_013363665.1:58	0.7849865912	0.7869494389	0.7718408765	0.7701956564	0.8657969004	0.8234152399	0.8260036658000001	0.7841759243	1.0027801293	0.968288813	1.0	0.8214495748	0.7729120887	0.7594124882000001	0.7724135371	0.7693864594000001	0.8268944439
GCF_014648875.1:59	0.7857876723	0.7913105279	0.7853763588	0.7630160389	0.8273480197	0.8517198422000001	0.8550857914000001	0.7814992554	0.8350467041	0.8337493982	0.8348303412	1.0	0.7745379227	0.7591055723	0.7724833467000001	0.7692686524	0.8565232725
GCF_016612575.1:60	0.9238214318	0.8809329151	0.7409994045	0.7539480141	0.7928512957	0.8201317855	0.8318194221	0.8648023684	0.8187207615000001	0.8209719154	0.8183139248	0.8068916334	1.0	0.9593562825	0.9752330265	0.9771489325	0.8323038132
GCF_016612605.1:61	0.9385135077000001	0.8947296528	0.74942565	0.7637893509	0.8034997758	0.8318951170000001	0.8458123688	0.8778395074	0.8296030683000001	0.8320709138	0.8294263350000001	0.8158023455000001	0.9896694591	1.0	0.9912369142	0.9940376232	0.8456318894
GCF_016612645.1:62	0.9391235417	0.8956520902	0.7525541295	0.7654996842	0.805650441	0.8326472181	0.8458458886	0.8790022123000001	0.8316743043	0.8339247938000001	0.8312893574	0.8180392728	0.9913360572000001	0.9767416905	1.0	0.9910727904000001	0.8457234175
GCF_016654065.1:63	0.9395077232000001	0.8960112187	0.7516913426	0.7658861461	0.8042865645	0.8323781369000001	0.844454157	0.8787996921000001	0.8313361405	0.8335443474	0.8308722226	0.8174297148	0.9966911951	0.9828617584	0.9944728023	1.0	0.8446193790000001
GCF_900187925.1:64	0.7751802185000001	0.7930676583	0.7600503987	0.7445649508000001	0.8029045359	0.9104713093000001	0.9999446961	0.7722830164000001	0.8115207606	0.8140416558	0.8115815949	0.827187509	0.7715679132000001	0.7599121390000001	0.7712729992	0.7676326812	1.0
