	GCF_002154555.1:544	GCF_003933485.1:545	GCF_004104485.1:546	GCF_004794665.1:547	GCF_008064995.1:548	GCF_009862685.1:549	GCF_009862765.1:550	GCF_009862845.1:551	GCF_014138855.1:552	GCF_014138905.1:553	GCF_014673495.1:554	GCF_016457305.1:555	GCF_016467295.1:556	GCF_900091975.1:557
GCF_002154555.1:544	1.0	0.9705590386	0.9708142369	0.9849707502	0.9712931958000001	0.9716784536	0.9920553279000001	0.9920427063	0.9706047359000001	0.9712796887	0.9712337536000001	0.9716842471	0.9709877115000001	0.9714688222000001
GCF_003933485.1:545	0.9705590386	1.0	0.9668148546	0.9693281015	0.9858279335000001	0.9851377313	0.9710066349	0.9707560681	0.9667547254000001	0.9856949589	0.9858768034000001	0.983816953	0.9670782818	0.9839205094000001
GCF_004104485.1:546	0.9708142369	0.9668148546	1.0	0.9695233296	0.9674413812	0.9685007514	0.9712157171	0.9709104261	0.9901465155	0.9673906742	0.9674579064000001	0.9676468542000001	0.9897829363	0.9675812095
GCF_004794665.1:547	0.9849707502	0.9693281015	0.9695233296	1.0	0.9700906520000001	0.9711536271000001	0.9856459223	0.9855412114000001	0.9692050115	0.9700362876	0.9698408468	0.9706193668	0.9697502776	0.9705121454000001
GCF_008064995.1:548	0.9712931958000001	0.9858279335000001	0.9674413812	0.9700906520000001	1.0	0.9848257955	0.9715340782	0.9713632748000001	0.9672581889	0.9948186904	0.9962332158	0.9838282117	0.9675939094	0.9840135748000001
GCF_009862685.1:549	0.9716784536	0.9851377313	0.9685007514	0.9711536271000001	0.9848257955	1.0	0.9718198274000001	0.9717439720000001	0.968611235	0.9850281805000001	0.98458861	0.9867113376000001	0.9686587501	0.9870850975000001
GCF_009862765.1:550	0.9920553279000001	0.9710066349	0.9712157171	0.9856459223	0.9715340782	0.9718198274000001	1.0	0.9998352572	0.9705803255000001	0.9717102913000001	0.9716978979	0.9721462509000001	0.9712359483	0.9719640078
GCF_009862845.1:551	0.9920427063	0.9707560681	0.9709104261	0.9855412114000001	0.9713632748000001	0.9717439720000001	0.9998352572	1.0	0.9705125632	0.9715262151	0.9714951875000001	0.9720481374000001	0.9711365738000001	0.9719242477000001
GCF_014138855.1:552	0.9706047359000001	0.9667547254000001	0.9901465155	0.9692050115	0.9672581889	0.968611235	0.9705803255000001	0.9705125632	1.0	0.9673275792	0.967334558	0.9675319865	0.9897242387	0.9677386442
GCF_014138905.1:553	0.9712796887	0.9856949589	0.9673906742	0.9700362876	0.9948186904	0.9850281805000001	0.9717102913000001	0.9715262151	0.9673275792	1.0	0.9948180142	0.9840801957	0.9677465404000001	0.9838300877
GCF_014673495.1:554	0.9712337536000001	0.9858768034000001	0.9674579064000001	0.9698408468	0.9962332158	0.98458861	0.9716978979	0.9714951875000001	0.967334558	0.9948180142	1.0	0.9835369979	0.9675559409000001	0.9837715971000001
GCF_016457305.1:555	0.9716842471	0.983816953	0.9676468542000001	0.9706193668	0.9838282117	0.9867113376000001	0.9721462509000001	0.9720481374000001	0.9675319865	0.9840801957	0.9835369979	1.0	0.9677964654000001	0.9954042325
GCF_016467295.1:556	0.9709877115000001	0.9670782818	0.9897829363	0.9697502776	0.9675939094	0.9686587501	0.9712359483	0.9711365738000001	0.9897242387	0.9677465404000001	0.9675559409000001	0.9677964654000001	1.0	0.9677758614
GCF_900091975.1:557	0.9714688222000001	0.9839205094000001	0.9675812095	0.9705121454000001	0.9840135748000001	0.9870850975000001	0.9719640078	0.9719242477000001	0.9677386442	0.9838300877	0.9837715971000001	0.9954042325	0.9677758614	1.0
