	GCF_000239075.1:289	GCF_000364805.1:290	GCF_000373405.1:291	GCF_000385945.1:292	GCF_000720395.1:293	GCF_000721595.1:294	GCF_000935135.2:295	GCF_001189025.1:296	GCF_001418625.1:297	GCF_001426325.1:298	GCF_001427565.1:299	GCF_001434355.1:300	GCF_001905485.1:301	GCF_001905575.1:302	GCF_001905595.1:303	GCF_001905645.1:304	GCF_001983595.1:305	GCF_002158965.1:306	GCF_002188345.1:307	GCF_002242735.1:308	GCF_002910875.1:309	GCF_003116675.1:310	GCF_003268965.1:311	GCF_003367645.1:312	GCF_003610995.1:313	GCF_004524875.1:314	GCF_005234185.1:315	GCF_008932075.1:316	GCF_009862355.1:317	GCF_009862365.1:318	GCF_009865135.1:319	GCF_009865505.1:320	GCF_009872615.1:321	GCF_013167895.1:322	GCF_013364315.1:323	GCF_013409565.1:324	GCF_014495705.1:325	GCF_016653995.1:326	GCF_017358145.1:327	GCF_018070745.1:328	GCF_018530825.1:329	GCF_018614445.1:330	GCF_018614515.1:331	GCF_019049185.1:332	GCF_900207595.1:333	GCF_904440635.1:334	GCF_904440645.1:335
GCF_000239075.1:289	1.0	0.31732356980000004	0.5343080557000001	0.5360894823	0.31881352020000003	0.31810591800000004	0.7502224713000001	0.8002330263	0.5185811564	0.8007909158000001	0.8024005482000001	0.8021872407	0.7573758897	0.8705356137	0.4783989751	0.7924614357	0.5232162880000001	0.5238150284	0.7554110762	0.5397956444	0.6098527958000001	0.5321829304	0.3181540557	0.5230883256000001	0.4955452744	0.3167803644	0.6455781538	0.5346103517	0.2753085119	0.3183832619	0.5153793362	0.4970215343	0.5343080557000001	0.29409370160000003	0.5378599784	0.294215702	0.725014099	0.5223196680000001	0.5352211265	0.7556261502	0.7943277657000001	0.4745867113	0.4725958415	0.7673173207	0.3162123173	0.5293603602	0.5289601327
GCF_000364805.1:290	0.3766733571	1.0	0.37703048850000004	0.3832254403	0.9287520912	0.9078097754000001	0.37826046210000003	0.3847691653	0.3691572158	0.3868987169	0.3883395618	0.3862695103	0.377147916	0.3809563127	0.3532828893	0.3851546051	0.3768020555	0.37070618310000003	0.3756895093	0.3811998173	0.3738782962	0.37700978150000003	0.9312867411	0.3762859515	0.3677406165	0.9114243383	0.3788223052	0.3759332761	0.8492049731	0.9177609631	0.37843830700000003	0.3536625626	0.37703048850000004	0.3689044061	0.3858847259	0.3690430648	0.3769341614	0.3727437323	0.38258719080000003	0.3865683212	0.386131638	0.3526278645	0.3539483988	0.3816404323	0.8953277385	0.3808024513	0.38057795
GCF_000373405.1:291	0.5992651921000001	0.35623880890000004	1.0	0.7194615124	0.3551692882	0.3567013143	0.5900826938	0.6048862125000001	0.6997346321	0.6067737550000001	0.6083884996000001	0.605719713	0.5894013805	0.6031154419	0.6575964822	0.6085587661	0.8186242970000001	0.7738100545000001	0.5897476095	0.7253455479	0.5752927963000001	0.9286315039	0.35598421410000003	0.8182061227	0.6750344867	0.3534152346	0.6138058195	0.7687866382	0.3071729832	0.3556371183	0.7174027129	0.781716112	0.9999040317000001	0.33343611230000003	0.7229272696	0.3334440375	0.574426357	0.7042725105000001	0.7198401849	0.5930330701000001	0.6040148200000001	0.6536731727	0.6550609368	0.5939261329000001	0.3505029979	0.8364466701000001	0.8363129336
GCF_000385945.1:292	0.6141788049	0.36987016300000003	0.7349161206	1.0	0.3668106208	0.3685668092	0.6034506748	0.6241994759	0.8383330226	0.6221952405	0.6242338812	0.6277585274	0.6051441241000001	0.6156357177	0.6503768519	0.6218519464000001	0.7284553866	0.7356560876	0.6019559415	0.8643164893	0.6090877054	0.7306100187	0.3684622019	0.7277548845	0.6894629206	0.3690923755	0.6372698228	0.7325315296	0.3184422038	0.36614806580000003	0.7318635354	0.6955974367000001	0.7351962962	0.3535858295	0.8707547082	0.3537582355	0.5961776214	0.8359305964	0.8668894241	0.6195615904	0.6226766617	0.6492670279	0.6503816585000001	0.6082590689	0.3659760392	0.7400755247	0.740142438
GCF_000720395.1:293	0.3764487372	0.9238603893	0.37391870250000003	0.3780536867	1.0	0.9034031814000001	0.3764547341	0.3843027041	0.3671051956	0.3862116698	0.3874411621	0.3821413477	0.3758221928	0.3810486105	0.35153623310000004	0.3839161656	0.3746318107	0.3696880289	0.3760670223	0.3771863543	0.3738567782	0.37282049	0.9194623243000001	0.3747834276	0.3613992876	0.8836367889000001	0.3784999334	0.3772362849	0.8496303962	0.9102002621	0.3735296871	0.3538714992	0.3741259863	0.3621246503	0.3802932634	0.36249489290000003	0.37202746680000004	0.3688062257	0.37502943040000003	0.3853024895	0.3820277979	0.3524456741	0.3510961137	0.3794762527	0.8889261739000001	0.37574240810000004	0.37572324420000003
GCF_000721595.1:294	0.38116977420000003	0.9163871480000001	0.3810869572	0.3854831425	0.916767498	1.0	0.37789625	0.3909824092	0.3752316828	0.39130626900000004	0.3923365877	0.3892425887	0.3805493075	0.3851770103	0.3575409726	0.38656677640000003	0.3836622248	0.37687810250000003	0.37932821840000003	0.3847795941	0.3764355735	0.37816613320000003	0.9127820908000001	0.3837078668	0.37006924090000004	0.8924852881	0.38449581990000004	0.3841051507	0.8465532875	0.9231986555	0.3804916266	0.35866429520000004	0.3812278521	0.3686403153	0.3873670329	0.36869164600000004	0.3768552153	0.37736243700000005	0.3816457741	0.3910653586	0.3884072738	0.3588399839	0.358523268	0.3846761389	0.8828110344000001	0.3822055171	0.3816521243
GCF_000935135.2:295	0.7662108509000001	0.3254517469	0.5373333258	0.5379506898	0.32561310730000004	0.322095091	1.0	0.7950864591	0.5215778583	0.8035650375000001	0.8055125249	0.8002444649	0.790627005	0.7676713256000001	0.4851064741	0.7988502935	0.5291899846	0.5313693077	0.8635913107000001	0.5421003907	0.617567304	0.5386392057	0.3230287483	0.528539018	0.5072472331	0.3243515423	0.6422937751000001	0.5423237694	0.282990297	0.32516454580000004	0.5248280684000001	0.4985800064	0.5379078408	0.3039183163	0.5442031494	0.3039700734	0.7610849820000001	0.5215100892	0.5427196716	0.7690786899000001	0.7953407342000001	0.4816267964	0.48325302900000006	0.7570773594	0.3211833092	0.5356925471	0.5359473859
GCF_001189025.1:296	0.8403531761	0.3403949156	0.5663589	0.5721517573	0.3417824048	0.3426540638	0.8175258657000001	1.0	0.5546057638	0.9529038606	0.9546413815	0.937869771	0.8171380366000001	0.8371112955000001	0.5005814539	0.8897212175	0.5598483559	0.5583307787	0.8157069528	0.5770562597000001	0.6486685344	0.5634363262000001	0.3398999552	0.5595408752000001	0.5263042074000001	0.3375569802	0.6849757192	0.5697762023	0.2944955392	0.3423666413	0.5454287640000001	0.52649389	0.5662341454	0.3122949839	0.5771578257000001	0.3121211854	0.7830043182	0.5589436531	0.5743369339000001	0.8324233745	0.9400128604	0.5014800117	0.5009409929	0.7946059169	0.3372731518	0.5612077869000001	0.5610575249
GCF_001418625.1:297	0.5929184359	0.3555715564	0.7133197699	0.8366373673	0.355467287	0.3580395621	0.583900893	0.6038335319	1.0	0.6071423838000001	0.6090428402	0.6039071264	0.5854967462	0.5942762114	0.6289219558	0.6024252627000001	0.6968164104	0.7063794114	0.5800387564	0.9070836470000001	0.5830441412	0.7092196818000001	0.3551972719	0.6969690275	0.6757139588000001	0.3553676881	0.6147755158	0.7061109112	0.3069923291	0.3524177202	0.7044326270000001	0.6820299627	0.7133717784	0.3411077635	0.9280757698000001	0.3411763087	0.5727985916	0.907051331	0.9084390240000001	0.5955360291	0.6035380175	0.6258598919	0.6247720052	0.5824414990000001	0.3526390088	0.7104220629	0.7097691794000001
GCF_001426325.1:298	0.7886624208	0.32100125300000004	0.5328088953	0.5348612759	0.3221278604	0.321619305	0.7748806439	0.8936670002	0.5229791064	1.0	0.9981640028000001	0.8911619541	0.7756179786	0.7959444306	0.4708262379	0.8472240451	0.5232736706000001	0.5241971603	0.7703046233	0.5443528977000001	0.6114091488	0.5317557929	0.31864463060000003	0.5228647167	0.4952029747	0.3193798994	0.6409544054	0.537957299	0.2782390998	0.3216943324	0.5122251754	0.4952053669	0.5327646399	0.29427898480000003	0.5418474166	0.29411457690000004	0.7431428467000001	0.5255554829	0.5403778577	0.7828818295000001	0.8985220358	0.4774809531	0.4736836955	0.7532718754000001	0.3163549893	0.5271787937	0.5268413878
GCF_001427565.1:299	0.7887758121	0.3215965881	0.53323179	0.5356143037000001	0.32255146030000004	0.3218655325	0.7753118746000001	0.8936289899000001	0.5236390032	0.9963048897000001	1.0	0.889260216	0.7761584311	0.7957435142	0.471277751	0.8467510358	0.5234554741	0.5242088008	0.7703188197	0.5440388426	0.6115383689	0.5319591335	0.3192539059	0.5230385993000001	0.4957009042	0.31965200450000003	0.6409830127	0.5383946989	0.2789789835	0.3223707531	0.5124808467	0.4958347253	0.5333125384	0.294516333	0.542164914	0.2945499782	0.7440293351	0.5257408508	0.5412774406	0.7831677013	0.8985917642000001	0.4776214977	0.4743234006	0.7521389117	0.31699479410000003	0.5273462691	0.5275225265
GCF_001434355.1:300	0.8212501758	0.33314061500000003	0.5528968336	0.5609637635	0.3313253325	0.33256257300000003	0.8021658603	0.9143171983	0.5407439358	0.9263697244	0.9261177777	1.0	0.8001103864	0.8152193915	0.490704307	0.8756511167000001	0.5442630518	0.5430131519	0.7954792685000001	0.5622497205	0.6356589068	0.5531042460000001	0.33188653290000003	0.5437084073	0.5158148855	0.3322582928	0.6696454932	0.5514977324	0.2858179193	0.3322061853	0.5346997007000001	0.5129796087	0.5530988205	0.30731228780000003	0.5644381192	0.3073703859	0.7696249441	0.5449488127000001	0.5621884575	0.8102108621	0.9282795011	0.4864513918	0.4889744762	0.7776649726	0.3296201425	0.5496476363	0.5501933513
GCF_001905485.1:301	0.7913742292	0.3319858463	0.5491035429000001	0.5519143807	0.3325705097	0.3318445257	0.8088795249	0.8130560389	0.5350775025	0.8228985281000001	0.8250085311	0.8166211249	1.0	0.7974155981000001	0.4930161092	0.8085447393	0.5442447677	0.5416051297	0.8335764817	0.5560928558	0.6378445713	0.5484318951	0.33027903950000004	0.544261034	0.5173219828	0.3301281437	0.6674604077	0.5525424210000001	0.2886717179	0.3313306955	0.5339798164	0.5141468262000001	0.5493964515	0.3085747339	0.5532692126000001	0.3085720805	0.9539151804	0.5367966532	0.5535711196	0.7738029453	0.818755239	0.49627559660000004	0.4922379807	0.7986916366	0.3285573509	0.5456713559	0.5461880701
GCF_001905575.1:302	0.8868851246	0.3269591012	0.5478402606	0.5474533254	0.32876993530000004	0.32748731270000003	0.7657692395	0.8121171001	0.5295304654	0.8233634160000001	0.8246915935	0.8112516701	0.7774905634	1.0	0.4845324912	0.8148233967	0.5371175444	0.5377594743	0.771932307	0.5504693951	0.6225193125	0.5449171003000001	0.3266609136	0.5370505056	0.5090651939	0.3266021985	0.6582148701	0.5509106587	0.2866275202	0.32861403640000003	0.5254639342	0.5079778385	0.5479313703	0.3016465667	0.5494758491	0.3016718749	0.7440127968	0.5308962116	0.5488938716	0.762769817	0.8077263981	0.4862213958	0.4834010432	0.7785755566	0.32482409630000003	0.5416640327	0.5417275846
GCF_001905595.1:303	0.5843684469	0.3635436386	0.716190685	0.6934322802	0.3636616445	0.3644816165	0.5801968391	0.5822719888	0.6719161061000001	0.5839627765000001	0.5856135097	0.5854861982	0.5763511973000001	0.5809497839000001	1.0	0.5835150286	0.7110579028	0.7154599928	0.5732624111	0.6960408163	0.5814098044	0.7182876826	0.36315091520000004	0.7108699027000001	0.6538846782000001	0.3644621961	0.5797418086	0.7433726232000001	0.315719309	0.3640708213	0.690003907	0.6799252639000001	0.7162734914000001	0.3715367476	0.6948155784000001	0.3714891407	0.5657000572	0.6713453624	0.6942294603	0.5858982072000001	0.5801732380000001	0.9125400023	0.9196769958000001	0.5797756594	0.36140213600000004	0.7246575706	0.7243686923
GCF_001905645.1:304	0.8259283496000001	0.33817131	0.5655088793	0.5657097921	0.338868751	0.3362343319	0.8152135802	0.8830246132	0.5491477262000001	0.8965829994000001	0.89775453	0.8914471826	0.8064879157	0.8335792577000001	0.49787436420000003	1.0	0.555526072	0.5550516372000001	0.8096919327000001	0.5706854311	0.6412445726	0.5642856822	0.335096632	0.5552312619	0.5293786515000001	0.3370619174	0.6773646742	0.5597428225000001	0.2914833837	0.3365355859	0.5459290953	0.5276346463	0.5653091173	0.3128099346	0.5715080686	0.3127777149	0.7721780998000001	0.5519667180000001	0.5698090558000001	0.8198094873	0.8910882784	0.4956010357	0.498815524	0.7899858015	0.3326515035	0.5596608925000001	0.5599346447
GCF_001983595.1:305	0.578219746	0.3508022377	0.8066199572	0.702679177	0.3506284894	0.3538457615	0.5726180711000001	0.5891646696	0.6735220382	0.5871763251000001	0.5884763871	0.587517477	0.5756195	0.5826398348	0.6433097199000001	0.5890496101	1.0	0.7520765303	0.5715659421	0.7023978121000001	0.5690878323	0.8015248855	0.3591093349	1.0013936469	0.6630566306	0.3484194211	0.5959267002	0.7540429122000001	0.3031810461	0.3496055218	0.7004441197	0.7584045561	0.806661442	0.3304775895	0.6995842852	0.3305467715	0.5725415681	0.6773119232	0.6970289404000001	0.5835761722	0.5866081047	0.6436785690000001	0.6434484501000001	0.5787620994	0.35414164610000004	0.9028223486	0.9028626133000001
GCF_002158965.1:306	0.6046386289	0.3604833362	0.7963884873	0.7411996923	0.3613967221	0.3630547589	0.6005596798	0.6137113148000001	0.7131448422000001	0.6143849798000001	0.6155450959000001	0.612249668	0.5983155314	0.6092915824	0.6760935174	0.6147337921	0.7855400071	1.0	0.5958844237	0.7362263464000001	0.5985179113	0.7881627894000001	0.36079149400000005	0.7854616294000001	0.6899435414	0.3602850345	0.6269661787	0.8670562862000001	0.31111462	0.3581020589	0.7425471499	0.7537378153000001	0.7963522934	0.34278873130000004	0.7346341977	0.34268104180000003	0.5850282969	0.7161670317000001	0.7352642772	0.6081532592000001	0.6162857961	0.6714921784	0.6736459695	0.6008381434	0.3588971774	0.8018647243	0.8013334134000001
GCF_002188345.1:307	0.8192933287	0.343259501	0.5702889132	0.5698535227	0.3454237603	0.3433400889	0.9170776392000001	0.8424514062	0.5502180844	0.8482943316	0.8498929186	0.8427237049	0.8652290560000001	0.8217779042000001	0.5089944169	0.8425809696000001	0.5609326887	0.5598867218	1.0	0.5711733449	0.6512129803000001	0.5671872951	0.34322106300000005	0.5610847640000001	0.5309271505000001	0.3410582407	0.6848344385	0.5684338338	0.2989427173	0.3442221258	0.5530215390000001	0.5279282731	0.5707842955	0.3183474083	0.5729481956	0.3183453726	0.8320659791	0.5527874388	0.5709884596	0.8008941310000001	0.8435162927000001	0.5086214133	0.5066953255000001	0.8158139173000001	0.34125150800000004	0.5634014579000001	0.5632059154
GCF_002242735.1:308	0.5761333996	0.3427549924	0.6902577573	0.8052095872	0.3409420245	0.34273543100000003	0.566519897	0.5864978963	0.8467647920000001	0.5899323422	0.5906921743	0.5861694763	0.5680290735	0.5766947892000001	0.6081796258000001	0.584421556	0.6783677043	0.6807491323	0.5620895855	1.0	0.5685337821	0.6851958235000001	0.3430208394	0.6783058383	0.6513118829	0.34228834620000004	0.5938334344	0.6835779986	0.2963884995	0.3390279499	0.6807283924	0.6544028253	0.6901559435	0.3298634176	0.8837110399	0.3300055326	0.5561627064	0.8481745116	0.8880298748000001	0.5791235888	0.5867626827	0.6069025941	0.6058974191000001	0.5642229603000001	0.3405173293	0.6902028438000001	0.6891436982
GCF_002910875.1:309	0.6547069953	0.3381346255	0.5506600468	0.5707478144	0.33990543360000003	0.3372608372	0.6491544332	0.6631311349	0.5474509016	0.6664719647	0.6678567272	0.6665709356	0.6553395791000001	0.6559850825	0.5109845812	0.6605130887	0.5528274496	0.5566486733	0.6445979803	0.5718532064	1.0	0.5491622086	0.3358153884	0.5517155385	0.5359194323	0.3349818996	0.7691053484	0.569475535	0.29535159310000003	0.33535822590000003	0.5526333007	0.5255359065	0.5504117307	0.3174514918	0.5704645325000001	0.3177719915	0.639525101	0.5490581411000001	0.5670723801	0.6645142379	0.6602066938000001	0.5149577578	0.5084727361	0.6548544441	0.3336662389	0.5563554351000001	0.55645891
GCF_003116675.1:310	0.5808217574	0.3466346575	0.9036453504	0.6960012522	0.3445978749	0.3444433961	0.575601169	0.5855734869	0.6769934906	0.5892806168	0.5906059775	0.5896430756000001	0.5728411557	0.5837562522	0.6417765400000001	0.5909037287000001	0.7915662765	0.7452121511	0.5707584632	0.7006529682	0.5582909872	1.0	0.3448140488	0.7925167670000001	0.6513823022	0.3459893892	0.5923851347	0.7470109496	0.2979835937	0.344626433	0.6944427273	0.7548164672000001	0.9048209317	0.323387525	0.7028743541	0.32349958840000004	0.5584446225	0.6816223118	0.6989238177	0.5732497654	0.5865014442	0.63371412	0.6365400459	0.5779130492	0.33953682630000004	0.807946091	0.8074855465
