	Streptomyces cacaoi subsp. cacaoi strain NRRL B-1220 NRRL_B-1220_contig_1, whole genome shotgun sequence:557	Streptomyces cacaoi subsp. cacaoi strain NBRC 12748 sequence001, whole genome shotgun sequence:558	Streptomyces sp. NHF165 chromosome, complete genome:559
Streptomyces cacaoi subsp. cacaoi strain NRRL B-1220 NRRL_B-1220_contig_1, whole genome shotgun sequence:557	1.0	0.9993510221	0.9896960739
Streptomyces cacaoi subsp. cacaoi strain NBRC 12748 sequence001, whole genome shotgun sequence:558	0.9993510221	1.0	0.9897981156000001
Streptomyces sp. NHF165 chromosome, complete genome:559	0.9896960739	0.9897981156000001	1.0
