	GCF_000299175.2:418	GCF_000359525.1:419	GCF_001431765.1:420	GCF_001577385.1:421	GCF_001704195.1:422	GCF_002802945.1:423	GCF_002910725.2:424	GCF_002910795.1:425	GCF_003687515.1:426	GCF_004124335.1:427	GCF_004195745.1:428	GCF_004195755.1:429	GCF_004195845.1:430	GCF_004195855.1:431	GCF_004195895.1:432	GCF_004195935.1:433	GCF_004195945.1:434	GCF_004195955.1:435	GCF_004195965.1:436	GCF_004195995.1:437	GCF_004196035.1:438	GCF_004196145.1:439	GCF_004196155.1:440	GCF_009834105.1:441	GCF_009846825.1:442	GCF_009862345.1:443	GCF_009863175.1:444	GCF_009865275.1:445	GCF_011170105.1:446	GCF_011170125.1:447	GCF_011170145.1:448	GCF_012184365.2:449	GCF_013363715.1:450	GCF_013371965.1:451	GCF_013376795.1:452	GCF_013693715.1:453	GCF_014216335.1:454	GCF_014281095.1:455	GCF_014648935.1:456	GCF_015680775.2:457	GCF_019067045.1:458	GCF_900091785.1:459	GCF_900091885.1:460	GCF_900171555.1:461	GCF_900460115.1:462
GCF_000299175.2:418	1.0	0.8941579192	0.9188317882	0.9228409070000001	0.9319236339	0.7284924126	0.9215196024000001	0.8444412628	0.8899738580000001	0.9088168285	0.9235317194	0.9196988025	0.9291535267000001	0.9204087885000001	0.9121677442	0.9066062570000001	0.9107364359000001	0.9062948596	0.9050015458	0.9099317011	0.9075540246	0.9086964682	0.9088117902	0.9089809944	0.9205374061	0.8941579192	0.9289680879000001	0.9196997821	0.7255950874	0.7293781807	0.7255301488	0.9125464594	0.9090632873000001	0.9032311292	0.9156334222	0.8939205574	0.7295331097000001	0.9082056499000001	0.7276340755	0.7287910742	0.9116619509	0.9163082798000001	0.9278147279000001	0.9107836004000001	0.7321659220000001
GCF_000359525.1:419	0.9338314491	1.0	0.9438065297	0.9520188773	0.9406147553	0.7510215739	0.9474679277	0.8661900077	0.909385442	0.9349903802	0.9510183875	0.9470212517000001	0.9559088752	0.9405159487	0.939859528	0.9405749988000001	0.9366307742000001	0.9412951468	0.9300104405	0.9401283229	0.9359299198000001	0.9340052376	0.93362492	0.9373208126	0.9394474928000001	1.0	0.9345974925	0.9342442151	0.7482333572000001	0.7551078695	0.7523211144	0.9475228852	0.9346711590000001	0.9282222751	0.9455572772	1.0204969591	0.7585871476	0.9530633624	0.7485949659000001	0.7525137580000001	0.9401321231	0.9306649610000001	0.93354453	0.9433272593	0.7587013014
GCF_001431765.1:420	0.9045493192	0.8896618105	1.0	0.9389062957000001	0.9250189204	0.7314209598	0.9410761679	0.8360267406	0.8918721896	0.9233607572	0.9232900769	0.9279053782000001	0.9312966561	0.9348204768	0.9136938103000001	0.911481089	0.9166774019	0.9121556521	0.9144075025	0.9186685755	0.9147677931	0.9158380558	0.9142033149000001	0.9251547699	1.0008859152	0.8896600194000001	0.9084255771	0.9279482273	0.7284826973	0.7389003987	0.73315683	0.9308640319	0.917434081	0.9165466502	0.9268698356	0.8896771039	0.7409140303	0.9162766045	0.7332739417	0.7352481685000001	0.9254757936	0.9243420151	0.9074733905000001	0.9086027602000001	0.7399151368
GCF_001577385.1:421	0.9195857083000001	0.9083572089	0.9503670872000001	1.0	0.9332420706000001	0.7394693595	0.9439261173000001	0.8567768737	0.9014525339	0.9270289787	0.9379252839000001	0.9473410795	0.9430207416	0.9376170768000001	0.9266896720000001	0.920596237	0.9255785925000001	0.921511096	0.9185079598	0.9255672962	0.9241972391000001	0.9217161025	0.9214565671	0.9307031974000001	0.9456442671	0.9083566511000001	0.9223555276000001	0.9340704642000001	0.7413038191	0.7463020730000001	0.7414537388	0.9420606975	0.9337367359000001	0.9301058893	0.9358526263	0.9083602770000001	0.745762641	0.9302258251000001	0.7412379939	0.7449737145	0.9306575939	0.9303007153	0.9212037257000001	0.9273264473	0.7511286515000001
GCF_001704195.1:422	0.9417937895	0.9101920024000001	0.9495763139000001	0.9464647185	1.0	0.7444360431	0.9464563737	0.8505321111	0.9048007391	0.9339576608000001	0.9366805896	0.9382236581000001	0.9413636821	0.94076371	0.9334060598	0.9291498216	0.9331933398000001	0.9297676147	0.9274037923	0.9318010423	0.9318422002000001	0.9291219587	0.9284748883	0.9369498841	0.9460199018000001	0.9101583406	0.9463398303	0.9337307972000001	0.7449507293000001	0.7535327923	0.7468744024	0.9456076154	0.9384161527	0.9304807358	0.9397679994	0.9101695141	0.7492451552	0.9361045202	0.7463385008000001	0.7454205802	0.9408448943000001	0.9302302524	0.9452470946	0.9250007920000001	0.7517559299000001
GCF_002802945.1:423	0.7503111743	0.7406525557	0.7652221694	0.7643128991	0.7586968433	1.0	0.7663796584	0.6939064331	0.7352491145000001	0.760317472	0.7659145006	0.763052346	0.7676745181	0.7652329803	0.7581191078	0.7608603242	0.7622775636	0.7607347734000001	0.7581168014	0.7622743924000001	0.7584837961	0.7594982927	0.7595716628	0.7575998954000001	0.7646869569	0.7405542484000001	0.7605261948	0.7595585455	0.9225253556	0.9276926862	0.9216070041000001	0.7668260773000001	0.7592543984	0.7612980944000001	0.7607677828	0.7405947533	0.960465769	0.7649203286	0.9269839224	0.9468357956000001	0.7620054167	0.7571730804	0.7597163849	0.7599958832	0.9375833792
GCF_002910725.2:424	0.9170655805000001	0.9028301732	0.9513150158	0.9426890071	0.9320107455000001	0.7404971703000001	1.0	0.8508562916	0.9002384987000001	0.9273262883000001	0.9415317509000001	0.943010738	0.9445260765000001	0.9868300651	0.9165803379	0.9123014565	0.9273495476	0.9128450564	0.9180881554	0.9234645429	0.9139961844000001	0.9220512948	0.9215973896	0.9268924391000001	0.9451171699	0.9014162287	0.9135513322000001	0.9682955813	0.7364205198	0.7445715924	0.7476809611	0.9439567103000001	0.9187366311	0.9198644998000001	0.9689543635000001	0.9014346133000001	0.7539143227	0.9196922136000001	0.7401381131	0.7425622368	0.9207061533	0.9644959536000001	0.9123951902	0.9194046057	0.7476026872
GCF_002910795.1:425	0.9354513831000001	0.9187781868	0.9407532	0.9524762045	0.9323242770000001	0.7463392936000001	0.9471356282000001	1.0	0.9352079743	0.9332369827	0.9459764129	0.9420499335	0.9409341288	0.9422175291	0.9313647500000001	0.9261968855	0.9364155612	0.9260852585	0.9214201806000001	0.9279396619	0.9277616789	0.9316962202	0.9316780808	0.9290647689	0.9382000427	0.9189295034	0.9306720425	0.9442274350000001	0.7440762115	0.7471093648	0.7401426004	0.9510605572	0.9327205528	0.9290343816000001	0.9442229389000001	0.9189419064000001	0.7494732214000001	0.9323808657	0.7445228745	0.7452067448	0.9354909177	0.9421530335	0.9299562345	0.9428992289	0.7527262179
GCF_003687515.1:426	0.8848640891	0.8657510946	0.9007529703	0.8994495491000001	0.890177823	0.7097696895000001	0.8994169879	0.8393744524000001	1.0	0.8981852291	0.8944884221	0.8909648573000001	0.9055910884	0.8998843939000001	0.8948595361	0.9033246077	0.9019395052	0.9037865868	0.9065142117	0.9035597717	0.8953919253	0.9067641257	0.9068433022	0.910549154	0.9009244035	0.8656066565	0.8936393268	0.9005571858	0.7015895978000001	0.7127050659	0.707470091	0.8939749574	0.8894673214000001	0.8913162119	0.888744992	0.8656200149000001	0.7148322571	0.8940523250000001	0.7140482841	0.7105480965000001	0.9051885264	0.8982808254	0.8925780272	0.8909637441	0.7117901524
GCF_004124335.1:427	0.9010121125	0.8875792551	0.9298854297	0.9223212264	0.9162330667	0.7318681679	0.9238277955	0.8352075952	0.8956139664	1.0	0.9113366478	0.9183723448000001	0.9190175416	0.9202177463000001	0.9123763165000001	0.9309110844	0.9441262399	0.9343175844	0.9320766011	0.9393763431000001	0.917385957	0.9249373951000001	0.9233164944000001	0.923517546	0.9253350583000001	0.8875802264	0.9076914944000001	0.9131544376	0.7269188845	0.7367852608000001	0.7364061903	0.9222288176000001	0.9086555432000001	0.9047079104	0.9208493453000001	0.887607283	0.7382954374	0.9160870996	0.7308479245	0.7318119733	0.9127204214	0.9099118037	0.9066113102000001	0.9034781516	0.7379230271
