	GCF_000148465.1:157	GCF_000163875.1:158	GCF_001693675.1:159	GCF_003454755.1:160	GCF_005519465.1:161	GCF_015708605.1:162	GCF_015767735.1:163	GCF_015767755.1:164	GCF_015767775.1:165	GCF_015767795.1:166	GCF_015767815.1:167	GCF_015767855.1:168	GCF_015767875.1:169	GCF_015767895.1:170	GCF_015767915.1:171	GCF_015767935.1:172	GCF_015912395.1:173	GCF_015912435.1:174	GCF_015912455.1:175	GCF_015912465.1:176	GCF_015912875.1:177	GCF_015912895.1:178	GCF_015912925.1:179	GCF_015912945.1:180	GCF_015912975.1:181	GCF_015912985.1:182	GCF_015912995.1:183
GCF_000148465.1:157	1.0	0.9367742287	0.8243298755	0.8446235832000001	0.9374993438	0.9568997272	0.82737864	0.8249610428	0.8221574832	0.8298257668	0.8271608867	0.8243848880000001	0.8287075802	0.8277708365	0.8243095329	0.8261914418	0.9672292816	0.9639964495000001	0.7144538297	0.7089408770000001	0.9645518242000001	0.9635188359	0.9157478594	0.9639023923000001	0.7225161691	0.6941034690000001	0.7124775356
GCF_000163875.1:158	1.0009801456	1.0	0.8670649343	0.8929972471000001	0.9963785917	0.9987765418000001	0.8659322801	0.8633689662	0.8631694779	0.8707009508	0.8694050363	0.8641229783000001	0.8695502993	0.8691652296	0.8648276734	0.8646177841	0.9676499364000001	0.9624848602	0.7440104421	0.7379110312	0.9634590456000001	0.9622617651	0.9575981560000001	0.9633325979	0.7527372088000001	0.7225688953	0.7417196571
GCF_001693675.1:159	0.9929387816	0.9774229398000001	1.0	1.0028182956	0.9919401989000001	1.0028013013	1.0007951775	1.0063788096	0.9997744626	1.0035822509	1.0031647696	0.999820703	1.0050278246	1.0038990836	1.0023541786	1.0019900516	0.9549595706	0.9492767389000001	0.8457119829	0.8390075141000001	0.9501182886	0.9496377042	0.9443030591	0.9523038411	0.8555302382000001	0.8224402622	0.8431771899
GCF_003454755.1:160	0.9582567586	0.9481526841000001	0.9445381478	1.0	0.9375324244000001	0.9584806043	0.9492508182	0.9526696757	0.9491788501	0.9503076327000001	0.9496806415000001	0.9465224823	0.9539592698	0.9504267523000001	0.9509402075000001	0.9485970251	0.9129640004	0.9077182697	0.8097319498000001	0.803276038	0.9082624975	0.9079881501	0.9030444372	0.9105237852	0.8189805965	0.7878196454	0.8073351636
GCF_005519465.1:161	1.0032564045	0.9978719783000001	0.881261963	0.884318229	1.0	1.00925611	0.8845799305000001	0.8893965955	0.8841320183	0.8894887060000001	0.8856940344	0.8850865967	0.8883212318	0.8877943176	0.8859260078000001	0.8855826123	0.9723212056	0.9670096954	0.747147208	0.7410908551000001	0.9678797709	0.9667815844000001	0.9624733412	0.9678389239	0.755865051	0.7264599163000001	0.7448672684000001
GCF_015708605.1:162	1.0051112018	0.9818055597	0.8744623944000001	0.8873854914	0.9906223025	1.0	0.8776447758	0.877853741	0.8721605615	0.8779473674	0.8774160515	0.8745001897	0.8767407920000001	0.8780567324	0.8767256280000001	0.8764116634	0.9722533608	0.9669244631	0.7510574049000001	0.7450510649000001	0.9675735301	0.9667333042	0.9623967323	0.9679135723000001	0.7595151504000001	0.7302912806	0.7488290946
GCF_015767735.1:163	0.9968531733	0.9763831852	1.0010382248	1.0080665023	0.9959166758	1.00669516	1.0	1.0049221793	0.9988278957000001	1.0013337875	1.0022349703	0.9990517749000001	1.0034288169	1.0018011797	1.0000343923	1.0011396886	0.9534839961	0.9478642204000001	0.8458452888	0.8390574937	0.9485946278	0.9483312173	0.9429632563	0.9508660988000001	0.8556833223	0.8226591021	0.8433106709
GCF_015767755.1:164	0.9840728213000001	0.9638283624	0.9966297504	1.0016533571	0.9913985772	0.9969382953	0.9949456041	1.0	0.9955144226	0.9927732654	0.9916535019	0.9935929642	0.9935182089000001	0.9929099906000001	0.9956750225000001	0.9927814846	0.9396537070000001	0.9355232497	0.8362385912	0.8286324703	0.9348462775	0.9348632376	0.9294939042	0.9376411854000001	0.8461271615	0.8131534319	0.8344980849
GCF_015767775.1:165	0.9906712922	0.9733748265000001	1.0001270413	1.0081007295	0.9955216615	1.0005143592	0.9989375444	1.0056070823	1.0	1.0018847978	1.0033976965	1.0027143882	1.0034025726	1.0026262236	0.9992622642000001	1.0016777626	0.9525661425	0.9469453546000001	0.8454443429	0.8386547483000001	0.9476750515000001	0.9474637992	0.9420438525	0.9499478261000001	0.8552833246	0.8222549519	0.8429085242000001
GCF_015767795.1:166	0.9754527505	0.9578506793	0.9793791636	0.9846113814	0.9770545049	0.9825171058000001	0.9769476699	0.9783079848	0.977377967	1.0	0.9730919658	0.975062179	0.9756873762	0.9758304658	0.9785033991000001	0.9744309394	0.9313409303	0.9258031206	0.8253561875000001	0.8187335714	0.9264933702	0.9262509022000001	0.9210413114	0.9287315067	0.8349539864000001	0.8027344117	0.8228831682000001
