	Streptomyces sp. Root369 contig_1, whole genome shotgun sequence:495	Streptomyces canus strain DSM 40275 PRJNA299222_s001, whole genome shotgun sequence:496	Streptomyces canus strain DSM 40017 PRJNA299229_s001, whole genome shotgun sequence:497
Streptomyces sp. Root369 contig_1, whole genome shotgun sequence:495	1.0	0.7765825415000001	0.8320393034
Streptomyces canus strain DSM 40275 PRJNA299222_s001, whole genome shotgun sequence:496	0.8473552034	1.0	0.8370988291
Streptomyces canus strain DSM 40017 PRJNA299229_s001, whole genome shotgun sequence:497	0.7723907856000001	0.7121838138000001	1.0
