	GCF_000148465.1:157	GCF_000163875.1:158	GCF_001693675.1:159	GCF_003454755.1:160	GCF_005519465.1:161	GCF_015708605.1:162	GCF_015767735.1:163	GCF_015767755.1:164	GCF_015767775.1:165	GCF_015767795.1:166	GCF_015767815.1:167	GCF_015767855.1:168	GCF_015767875.1:169	GCF_015767895.1:170	GCF_015767915.1:171	GCF_015767935.1:172	GCF_015912395.1:173	GCF_015912435.1:174	GCF_015912455.1:175	GCF_015912465.1:176	GCF_015912875.1:177	GCF_015912895.1:178	GCF_015912925.1:179	GCF_015912945.1:180	GCF_015912975.1:181	GCF_015912985.1:182	GCF_015912995.1:183
GCF_000148465.1:157	9143376	8565279	7537158	7722711	8571909	8749294	7565034	7542929	7517295	7587409	7563043	7537661	7577185	7568620	7536972	7554179	8843741	8814182	6532520	6482113	8819260	8809815	8373027	8813322	6606237	6346449	6514450
GCF_000163875.1:158	8565279	8556892	7419381	7641281	8525904	8546423	7409689	7387755	7386048	7450494	7439405	7394207	7440648	7437353	7400237	7398441	8280076	8235879	6366417	6314225	8244215	8233970	8194064	8243133	6441091	6182944	6346815
GCF_001693675.1:159	7537158	7419381	7590758	7612151	7529578	7612022	7596794	7639178	7589046	7617950	7614781	7589397	7628923	7620355	7608628	7605864	7248867	7205730	6419595	6368703	7212118	7208470	7167976	7228708	6494123	6242945	6400354
GCF_003454755.1:160	7722711	7641281	7612151	8059125	7555691	7724515	7650131	7677684	7649551	7658648	7653595	7628143	7688077	7659608	7663746	7644862	7357691	7315415	6525731	6473702	7319801	7317590	7277748	7338025	6600267	6349137	6506415
GCF_005519465.1:161	8571909	8525904	7529578	7555691	8544086	8623171	7557927	7599081	7554100	7599868	7567446	7562256	7589893	7585391	7569428	7566494	8307596	8262214	6383690	6331944	8269648	8260265	8223455	8269299	6458176	6206936	6364210
GCF_015708605.1:162	8749294	8546423	7612022	7724515	8623171	8704802	7639724	7641543	7591985	7642358	7637733	7612351	7631855	7643310	7631723	7628990	8463273	8416886	6537806	6485522	8422536	8415222	8377473	8425496	6611429	6357041	6518409
GCF_015767735.1:163	7565034	7409689	7596794	7650131	7557927	7639724	7588915	7626269	7580020	7599037	7605876	7581719	7614936	7602584	7589176	7597564	7235909	7193261	6419048	6367536	7198804	7196805	7156068	7216042	6493708	6243090	6399813
GCF_015767755.1:164	7542929	7387755	7639178	7677684	7599081	7641543	7626269	7665011	7630629	7609618	7601035	7615901	7615328	7610666	7631860	7609681	7202456	7170796	6409778	6351477	7165607	7165737	7124581	7187030	6485574	6232830	6396437
GCF_015767775.1:165	7517295	7386048	7589046	7649551	7554100	7591985	7580020	7630629	7588082	7602384	7613864	7608679	7613901	7608010	7582484	7600813	7228150	7185499	6415301	6363781	7191036	7189433	7148306	7208282	6489960	6239338	6396059
GCF_015767795.1:166	7587409	7450494	7617950	7658648	7599868	7642358	7599037	7609618	7602384	7778346	7569046	7584371	7589234	7590347	7611138	7579461	7244292	7201217	6419906	6368393	7206586	7204700	7164178	7223995	6494561	6243946	6400670
GCF_015767815.1:167	7563043	7439405	7614781	7653595	7567446	7637733	7605876	7601035	7613864	7569046	7790985	7586816	7580563	7574660	7608217	7571339	7216108	7174344	6427730	6376147	7199567	7177562	7136694	7196592	6502412	6223582	6408483
GCF_015767855.1:168	7537661	7394207	7589397	7628143	7562256	7612351	7581719	7615901	7608679	7584371	7586816	7566514	7586812	7586846	7603031	7566676	7211792	7169159	6407350	6355850	7174713	7172703	7131979	7191943	6482030	6231381	6388141
GCF_015767875.1:169	7577185	7440648	7628923	7688077	7589893	7631855	7614936	7615328	7613901	7589234	7580563	7586812	7606101	7592449	7622323	7583036	7242238	7199556	6419384	6367872	7205134	7203099	7162391	7222388	6494045	6243425	6400150
GCF_015767895.1:170	7568620	7437353	7620355	7659608	7585391	7643310	7602584	7610666	7608010	7590347	7574660	7586846	7592449	7597161	7613815	7579003	7238944	7196952	6435353	6384502	7222241	7200054	7158374	7219150	6510022	6231217	6416082
GCF_015767915.1:171	7536972	7400237	7608628	7663746	7569428	7631723	7589176	7631860	7582484	7611138	7608217	7603031	7622323	7613815	7880370	7599566	7247747	7204882	6419687	6368887	7210485	7208307	7166689	7227606	6494347	6243726	6400451
