	Streptomyces sp. MNU77 contig1_MNU77, whole genome shotgun sequence:367	Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	Streptomyces sp. PAMC 26508, complete sequence:820	Streptomyces flavovirens strain NRRL B-2182 contig1.1, whole genome shotgun sequence:821	Streptomyces sp. NRRL S-325 contig1.1, whole genome shotgun sequence:822	Streptomyces europaeiscabiei strain NCPPB 4064 scf_63908_1.1, whole genome shotgun sequence:823	Streptomyces sp. Root1295 contig_1, whole genome shotgun sequence:824	Streptomyces sp. Root63 contig_1, whole genome shotgun sequence:825	Streptomyces sp. CB00316 scaffold1, whole genome shotgun sequence:826	Streptomyces sp. CS057 scaffold00001, whole genome shotgun sequence:827	Streptomyces avidinii strain CG 885 Ga0105838_101, whole genome shotgun sequence:828	Streptomyces sp. S501 chromosome, complete genome:829	Streptomyces sp. SID7834 SID7834.c1, whole genome shotgun sequence:830	Streptomyces sp. SID7815 SID7815.c1, whole genome shotgun sequence:831	Streptomyces sp. Tu10 contig00001, whole genome shotgun sequence:832	Streptomyces sp. ISL-112 Streptomyces_sp_ALS6-contig1, whole genome shotgun sequence:833	Streptomyces sp. ISL-111 Streptomyces_sp_ALS2-contig1, whole genome shotgun sequence:834	Streptomyces microflavus strain CG 893, whole genome shotgun sequence:835
Streptomyces sp. MNU77 contig1_MNU77, whole genome shotgun sequence:367	1.0	0.9609982354000001	0.8933915241	0.8668012485000001	0.8661570028000001	0.8662213621	0.9603954139	0.9597583546	0.9602681117	0.8927206468000001	0.9880606473	0.8661486220000001	0.8667880457	0.8663971147	0.8666578108	0.9609708785000001	0.8926106935	0.8923551566000001	0.8660258655
Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	0.9609982354000001	1.0	0.8945419009000001	0.8665359366000001	0.8662870434000001	0.8661574192	0.9915629069	0.9910813866	0.9918622929	0.8940835760000001	0.9613546598	0.8661016024	0.8668390795	0.8665647714	0.8663853064	0.9928249005	0.8941823446	0.8940113365000001	0.8660141880000001
Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	0.8933915241	0.8945419009000001	1.0	0.8665298993	0.8657328073	0.8659170269	0.8940383648	0.8939437998	0.894155742	0.9317814202	0.8931654790000001	0.8656513978	0.8664060161	0.8661084202	0.866602329	0.8940815134000001	0.9313234299	0.9317565011000001	0.8656923806
Streptomyces sp. PAMC 26508, complete sequence:820	0.8668012485000001	0.8665359366000001	0.8665298993	1.0	0.9933068951	0.9914731271	0.8664212102000001	0.8660397351	0.8661548103000001	0.8654432385	0.8659780578	0.9932784757	0.9939899435	0.9932990003000001	0.9921282767	0.8662260289	0.8654643741	0.8659359242	0.9932227761
Streptomyces flavovirens strain NRRL B-2182 contig1.1, whole genome shotgun sequence:821	0.8661570028000001	0.8662870434000001	0.8657328073	0.9933068951	1.0	0.9917696563	0.8669861463	0.8666456623000001	0.8666272611	0.8656513452	0.8658348919000001	0.9932732767	0.9930699677	0.9932622847	0.9919337641	0.8663827014000001	0.8659809467	0.8657504249	0.9932322899
Streptomyces sp. NRRL S-325 contig1.1, whole genome shotgun sequence:822	0.8662213621	0.8661574192	0.8659170269	0.9914731271	0.9917696563	1.0	0.8664270681	0.8662099697000001	0.8662129784	0.8657374781	0.8659553449	0.9916660259000001	0.9917843571	0.9919197963	0.9932958949	0.86616306	0.8657857752	0.8659030360000001	0.9916874104000001
Streptomyces europaeiscabiei strain NCPPB 4064 scf_63908_1.1, whole genome shotgun sequence:823	0.9603954139	0.9915629069	0.8940383648	0.8664212102000001	0.8669861463	0.8664270681	1.0	0.9907748477	0.9913254238	0.8940964730000001	0.9608837640000001	0.8662399115	0.8663949901	0.8666426691	0.8667568777	0.9917409831	0.8942924240000001	0.8941709151	0.8660466410000001
Streptomyces sp. Root1295 contig_1, whole genome shotgun sequence:824	0.9597583546	0.9910813866	0.8939437998	0.8660397351	0.8666456623000001	0.8662099697000001	0.9907748477	1.0	0.9988424866000001	0.893594215	0.9598794848000001	0.8662178016000001	0.8659977433	0.8661906371	0.8665422238	0.9917152450000001	0.8942752943000001	0.8937832748000001	0.8660370186
Streptomyces sp. Root63 contig_1, whole genome shotgun sequence:825	0.9602681117	0.9918622929	0.894155742	0.8661548103000001	0.8666272611	0.8662129784	0.9913254238	0.9988424866000001	1.0	0.8937193703	0.9603908374000001	0.8661909039000001	0.8660221998000001	0.8661917273	0.8665837114	0.9924708589000001	0.8944166689	0.8938839091	0.8660148461
Streptomyces sp. CB00316 scaffold1, whole genome shotgun sequence:826	0.8927206468000001	0.8940835760000001	0.9317814202	0.8654432385	0.8656513452	0.8657374781	0.8940964730000001	0.893594215	0.8937193703	1.0	0.8928342854	0.8653748876	0.8658619303	0.8656518561000001	0.8655547219	0.8939591165	0.9947416618	0.9958047789000001	0.8654768291
Streptomyces sp. CS057 scaffold00001, whole genome shotgun sequence:827	0.9880606473	0.9613546598	0.8931654790000001	0.8659780578	0.8658348919000001	0.8659553449	0.9608837640000001	0.9598794848000001	0.9603908374000001	0.8928342854	1.0	0.8659014897	0.8661018181000001	0.866200924	0.865985922	0.961210242	0.8926727489	0.8927454605	0.865801989
Streptomyces avidinii strain CG 885 Ga0105838_101, whole genome shotgun sequence:828	0.8661486220000001	0.8661016024	0.8656513978	0.9932784757	0.9932732767	0.9916660259000001	0.8662399115	0.8662178016000001	0.8661909039000001	0.8653748876	0.8659014897	1.0	0.9927433370000001	0.9935786925000001	0.992076253	0.8661148854	0.8650938518	0.8656243236000001	0.9999580684
Streptomyces sp. S501 chromosome, complete genome:829	0.8667880457	0.8668390795	0.8664060161	0.9939899435	0.9930699677	0.9917843571	0.8663949901	0.8659977433	0.8660221998000001	0.8658619303	0.8661018181000001	0.9927433370000001	1.0	0.9930017800000001	0.9923899745	0.8662950825	0.8658320803	0.8656829227	0.9927460319
Streptomyces sp. SID7834 SID7834.c1, whole genome shotgun sequence:830	0.8663971147	0.8665647714	0.8661084202	0.9932990003000001	0.9932622847	0.9919197963	0.8666426691	0.8661906371	0.8661917273	0.8656518561000001	0.866200924	0.9935786925000001	0.9930017800000001	1.0	0.9920409928	0.8667651745	0.8657720376	0.8661092604	0.9935416564
Streptomyces sp. SID7815 SID7815.c1, whole genome shotgun sequence:831	0.8666578108	0.8663853064	0.866602329	0.9921282767	0.9919337641	0.9932958949	0.8667568777	0.8665422238	0.8665837114	0.8655547219	0.865985922	0.992076253	0.9923899745	0.9920409928	1.0	0.8659552150000001	0.8657344578	0.8661032625	0.9920806814
Streptomyces sp. Tu10 contig00001, whole genome shotgun sequence:832	0.9609708785000001	0.9928249005	0.8940815134000001	0.8662260289	0.8663827014000001	0.86616306	0.9917409831	0.9917152450000001	0.9924708589000001	0.8939591165	0.961210242	0.8661148854	0.8662950825	0.8667651745	0.8659552150000001	1.0	0.8940277381	0.8940221654	0.8659322656
Streptomyces sp. ISL-112 Streptomyces_sp_ALS6-contig1, whole genome shotgun sequence:833	0.8926106935	0.8941823446	0.9313234299	0.8654643741	0.8659809467	0.8657857752	0.8942924240000001	0.8942752943000001	0.8944166689	0.9947416618	0.8926727489	0.8650938518	0.8658320803	0.8657720376	0.8657344578	0.8940277381	1.0	0.9950849489	0.8652878806000001
Streptomyces sp. ISL-111 Streptomyces_sp_ALS2-contig1, whole genome shotgun sequence:834	0.8923551566000001	0.8940113365000001	0.9317565011000001	0.8659359242	0.8657504249	0.8659030360000001	0.8941709151	0.8937832748000001	0.8938839091	0.9958047789000001	0.8927454605	0.8656243236000001	0.8656829227	0.8661092604	0.8661032625	0.8940221654	0.9950849489	1.0	0.8658255905000001
