	Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6	Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7	Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8	Streptomyces sp. S063 chromosome, complete genome:9	Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10	Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11	Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12	Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13	Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14	Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15	Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16	Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17	Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18	Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19	Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20	Streptomyces sp. MBT59 scaffold100_size18955_cov77.6463, whole genome shotgun sequence:21	Streptomyces sp. PgraA7, whole genome shotgun sequence:22
Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6	1.0	0.9010184315	0.7639418189	0.7793040368	0.8195381287	0.8437227194	0.8479521558	0.8879760911000001	0.843467717	0.8434682431	0.8427776718000001	0.8301157966	0.9368045135	0.9225527858	0.936852384	0.9340313131	0.8479521558
Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7	0.8697362473	1.0	0.7466590567	0.7568390146	0.7934422288	0.8239794367000001	0.8373997012000001	0.9029280312	0.8156324577	0.8213483458	0.8155517198000001	0.8069271090000001	0.8622985853	0.8489779737	0.8624653928	0.8598613415	0.8373997012000001
Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8	0.7870460722	0.7969082331	1.0	0.7813278642	0.8492805632	0.8602374810000001	0.8565464701000001	0.7898318762000001	0.8540567111	0.8526867746000001	0.8537258452	0.8547737227000001	0.774138509	0.7589604091000001	0.7734389756000001	0.7699109589	0.8565464701000001
Streptomyces sp. S063 chromosome, complete genome:9	0.7781953628	0.7829451338000001	0.75731255	1.0	0.8312009837000001	0.8129445441	0.8133041126	0.7721760709000001	0.8258687853000001	0.8328550250000001	0.8257214384	0.8049128243	0.7634560756000001	0.7497319324	0.7625620134000001	0.7603385459	0.8133041126
Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10	0.8014625982	0.8038509179000001	0.8061677295	0.8140262916000001	1.0	0.8580050701	0.8589080530000001	0.8000275486	0.9091412197000001	0.9090992922000001	0.9090356294	0.8547434768000001	0.7862610785	0.7724147404	0.7859758177	0.7819626175000001	0.8589080530000001
Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11	0.8144397965	0.8239895832	0.8060049936	0.7858478168	0.8469055929	1.0	0.9613779896	0.8103425513	0.8534269092000001	0.8546423089	0.8533534063	0.8685393013	0.8027934643	0.7893661793000001	0.8018049206000001	0.7988053944	0.9613779896
Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12	0.7751802185000001	0.7930676583	0.7600503987	0.7445649508000001	0.8029045359	0.9104713093000001	1.0	0.7727398746	0.810974214	0.8140325187	0.8107073126000001	0.8257992613	0.7711188697	0.7600743236	0.771384689	0.7674825192	0.9999446961
Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13	0.9096423719000001	0.9582275435000001	0.7853517125	0.7921438154	0.8380313302	0.8599611087	0.8659072973	1.0	0.8625244485	0.8602698896000001	0.8624495436	0.845729433	0.8983534108000001	0.8839653238	0.8982719045	0.8949945424	0.8653953568
Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14	0.7855648463	0.7869627583000001	0.7720766423000001	0.770269878	0.8658264088000001	0.8234185852	0.8262077952	0.7841796725	1.0	0.969762573	1.0026978368	0.8215950406	0.7732328930000001	0.7595119691000001	0.7727078033	0.7697528722	0.8267646083
Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15	0.7820927082	0.7889745469	0.7674306786	0.7733519743	0.8619592297	0.8209461050000001	0.8256574848	0.7786724581000001	0.9654756925	1.0	0.9639293366	0.8166923763	0.7719314633000001	0.7584038670000001	0.7713736972	0.7683857342	0.8256667524
