	Streptomyces sp. MNU77 contig1_MNU77, whole genome shotgun sequence:367	Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	Streptomyces sp. PAMC 26508, complete sequence:820	Streptomyces flavovirens strain NRRL B-2182 contig1.1, whole genome shotgun sequence:821	Streptomyces sp. NRRL S-325 contig1.1, whole genome shotgun sequence:822	Streptomyces europaeiscabiei strain NCPPB 4064 scf_63908_1.1, whole genome shotgun sequence:823	Streptomyces sp. Root1295 contig_1, whole genome shotgun sequence:824	Streptomyces sp. Root63 contig_1, whole genome shotgun sequence:825	Streptomyces sp. CB00316 scaffold1, whole genome shotgun sequence:826	Streptomyces sp. CS057 scaffold00001, whole genome shotgun sequence:827	Streptomyces avidinii strain CG 885 Ga0105838_101, whole genome shotgun sequence:828	Streptomyces sp. S501 chromosome, complete genome:829	Streptomyces sp. SID7834 SID7834.c1, whole genome shotgun sequence:830	Streptomyces sp. SID7815 SID7815.c1, whole genome shotgun sequence:831	Streptomyces sp. Tu10 contig00001, whole genome shotgun sequence:832	Streptomyces sp. ISL-112 Streptomyces_sp_ALS6-contig1, whole genome shotgun sequence:833	Streptomyces sp. ISL-111 Streptomyces_sp_ALS2-contig1, whole genome shotgun sequence:834	Streptomyces microflavus strain CG 893, whole genome shotgun sequence:835
Streptomyces sp. MNU77 contig1_MNU77, whole genome shotgun sequence:367	1.0	0.832722096	0.5874558402	0.3752489471	0.3760720991	0.3721338242	0.827874069	0.8372576635000001	0.8388412726000001	0.543402324	0.8740266228	0.3729484064	0.3741993719	0.3266288543	0.3751936944	0.8276429099	0.5395709461	0.541547864	0.3708703423
Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	0.8347214706	1.0	0.5977357799	0.38435056970000003	0.3827424736	0.3843859485	0.9190439407000001	0.9313730543000001	0.9337987057	0.5488349413	0.8274566107	0.3831958421	0.38329870050000003	0.32982868530000004	0.3834393115	0.934988134	0.544018113	0.54694438	0.3806174854
Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	0.6693450246	0.6794266395	1.0	0.427739197	0.4255577528	0.42651517800000005	0.6761979635	0.676893677	0.678090073	0.7054982311	0.6642103632	0.42635278060000004	0.4270299932	0.3696780163	0.4269476381	0.6765365055	0.7065105168	0.7049902253	0.4183087133
Streptomyces sp. PAMC 26508, complete sequence:820	0.436137896	0.4456463718	0.43632347320000003	1.0	0.9350102126000001	0.9156171263	0.4440901963	0.4467447638	0.4483489062	0.40821035240000003	0.4338325965	0.9375887668	0.9169351705000001	0.8549338848	0.9250426428	0.4457631439	0.4074435356	0.40874663920000004	0.9014369788000001
Streptomyces flavovirens strain NRRL B-2182 contig1.1, whole genome shotgun sequence:821	0.4347924542	0.44144443640000003	0.4318118709	0.9300855495	1.0	0.9109002032	0.44326279690000003	0.4456396502	0.4470678219	0.4060944802	0.4343403411	0.9256891792	0.8898031535	0.8553937960000001	0.9176018552	0.4409457821	0.4069901023	0.4055396377	0.8949831605
Streptomyces sp. NRRL S-325 contig1.1, whole genome shotgun sequence:822	0.4366039118	0.4498984366	0.4391856619	0.924268266	0.9243754255000001	1.0	0.4512583039	0.4517452843	0.45293316710000003	0.4129900596	0.4380459346	0.9204531233000001	0.8998783674	0.8534493319	0.9294296495000001	0.4484228106	0.4144674054	0.4140455145	0.8902109931000001
Streptomyces europaeiscabiei strain NCPPB 4064 scf_63908_1.1, whole genome shotgun sequence:823	0.8512388272	0.9427182730000001	0.6102196516	0.39287463370000003	0.3942189921	0.3954794078	1.0	0.9617763943000001	0.9629949546000001	0.5598740952	0.8489132436	0.3923854704	0.3896109558	0.3398119545	0.3949973171	0.9478410960000001	0.5607561892	0.5602295763	0.38943993990000003
Streptomyces sp. Root1295 contig_1, whole genome shotgun sequence:824	0.8073705638	0.8959751266	0.5728744105	0.3706541859	0.37169500110000003	0.3712948548	0.9019879767000001	1.0	0.99932073	0.5268904274	0.8025013926	0.3678574027	0.36879992110000004	0.3212215509	0.3712390736	0.9060282579000001	0.5339306096	0.5299760119	0.3652903773
Streptomyces sp. Root63 contig_1, whole genome shotgun sequence:825	0.8073910455000001	0.8966354591000001	0.5728180713000001	0.37129227270000004	0.3721916847	0.3715778227	0.9014486751	0.9974594624	1.0	0.5273218493	0.8020888889000001	0.3685722218	0.36910370730000003	0.3220753266	0.3720018607	0.9054087142	0.5340033502	0.5306319935	0.3660385218
Streptomyces sp. CB00316 scaffold1, whole genome shotgun sequence:826	0.6499198167	0.6548450435000001	0.7405585547	0.420066415	0.4201017494	0.4210070902	0.651240673	0.6534988328	0.6552543552	1.0	0.6420703377	0.41964577480000004	0.4209241489	0.36471857220000004	0.4206213797	0.6489930325000001	0.9173638115	0.9235514985000001	0.41757575
Streptomyces sp. CS057 scaffold00001, whole genome shotgun sequence:827	0.92815926	0.8766002185	0.6190541993	0.39638360100000003	0.3989487644	0.3964870601	0.8767464264	0.8837508719	0.8849448428000001	0.5700883414	1.0	0.396374261	0.39378538820000003	0.3451193701	0.3974915954	0.8775564969	0.5697736533000001	0.5675697586	0.3941449805
Streptomyces avidinii strain CG 885 Ga0105838_101, whole genome shotgun sequence:828	0.4321323114	0.44294242310000004	0.4335730412	0.9347081696	0.9277314679	0.9090362123	0.44217456520000004	0.44201163870000004	0.4436969542	0.4065486767	0.43248952150000003	1.0	0.8995376129	0.8515448616	0.9117267853000001	0.4413712999	0.4062818798	0.408038402	0.9659304708
Streptomyces sp. S501 chromosome, complete genome:829	0.44473408140000004	0.4544574308	0.44543149730000003	0.9376303299000001	0.9147036545	0.9115756023	0.4503408814	0.4545423966	0.4557656886	0.4182759676	0.4407163013	0.9226748873	1.0	0.8399154524	0.9105968883000001	0.4530604549	0.4154340382	0.4170360576	0.8851259315000001
Streptomyces sp. SID7834 SID7834.c1, whole genome shotgun sequence:830	0.3948181817	0.3977310752	0.3921853871	0.8891413036	0.8943300188000001	0.8792894508	0.3994791385	0.402655366	0.4044789402	0.3686058197	0.3928385426	0.8883459859	0.8542417828000001	1.0	0.8729333156	0.3872398333	0.3609493708	0.3562930482	0.8483023205
Streptomyces sp. SID7815 SID7815.c1, whole genome shotgun sequence:831	0.4534719401	0.46232782110000004	0.4528920421	0.9619495585000001	0.9592643104	0.9574650593	0.4643034266	0.46530185970000004	0.4671279593	0.4250577547	0.4524025018	0.9510243071000001	0.9260270907	0.8728374267000001	1.0	0.4604611082	0.4267981302	0.4249822521	0.919271381
Streptomyces sp. Tu10 contig00001, whole genome shotgun sequence:832	0.8452516238000001	0.9525935096	0.6064003409000001	0.3916903128	0.3895088443	0.39033926020000004	0.9414373071000001	0.9595574416	0.9606906122000001	0.5541722327	0.8439568842	0.3890264406	0.3893156064	0.3271752499	0.38908194760000003	1.0	0.5533107237	0.5542204846000001	0.3864573449
Streptomyces sp. ISL-112 Streptomyces_sp_ALS6-contig1, whole genome shotgun sequence:833	0.6237779237000001	0.6274127036	0.7168450011	0.4052700724	0.4069625139	0.4083977586	0.6304757321000001	0.6401068625	0.6413886755	0.8867164392	0.6202774128	0.4053600196	0.4040974996	0.3452114059	0.4082338982	0.6263362050000001	1.0	0.8945959454	0.4031869471
Streptomyces sp. ISL-111 Streptomyces_sp_ALS2-contig1, whole genome shotgun sequence:834	0.6525357889	0.6574597301	0.7455482762000001	0.4237574454	0.42265879780000004	0.4252331331	0.6565176051	0.6622316323	0.6642885734	0.9304441683	0.6440044902000001	0.424326878	0.42280852690000004	0.3551667007	0.4236852982	0.6538935412	0.9324229839	1.0	0.4217361023
Streptomyces microflavus strain CG 893, whole genome shotgun sequence:835	0.4461335413	0.4567620469	0.4416364068	0.9329831463	0.9312081115	0.9127403439	0.4556130082	0.4556876123	0.45747295600000004	0.4199907762	0.4464788904	1.0028146088	0.8958813117000001	0.8442106548	0.9149379091000001	0.4551990234	0.41953460610000004	0.42103292750000004	1.0
