	Streptomyces rimosus subsp. rimosus ATCC 10970 chromosome, complete genome:50	Streptomyces rimosus R6-500 chromosome:51	Streptomyces rimosus subsp. rimosus strain NRRL ISP-5260 contig1.1, whole genome shotgun sequence:52	Streptomyces capuensis strain NRRL B-3501 contig1.1, whole genome shotgun sequence:53	Streptomyces rimosus subsp. rimosus strain NRRL WC-3874 contig1.1, whole genome shotgun sequence:54	Streptomyces sp. NRRL WC-3703 contig1.1, whole genome shotgun sequence:55	Streptomyces rimosus subsp. rimosus strain NRRL B-2626 contig1.1, whole genome shotgun sequence:56	Streptomyces rimosus strain WT5260 chromosome, complete genome:57	Streptomyces rimosus strain ATCC 10970 chromosome, complete genome:58	Streptomyces sp. SID5471 SID5471.c1, whole genome shotgun sequence:59
Streptomyces rimosus subsp. rimosus ATCC 10970 chromosome, complete genome:50	1.0	0.9999407486	0.99992143	0.9998987675000001	0.9998112913	0.999898276	0.9999488309000001	0.9999471182	0.9999839211	0.9999377918000001
Streptomyces rimosus R6-500 chromosome:51	0.9999407486	1.0	0.999892839	0.9998610889	0.9997824083000001	0.9998635199	0.9998995178000001	0.9999187118	0.9998575070000001	0.9999047617000001
Streptomyces rimosus subsp. rimosus strain NRRL ISP-5260 contig1.1, whole genome shotgun sequence:52	0.99992143	0.999892839	1.0	0.9998148063000001	0.9998017006000001	0.9998015325	0.9998442889	0.9999002378	0.9999108199000001	0.9998905396000001
Streptomyces capuensis strain NRRL B-3501 contig1.1, whole genome shotgun sequence:53	0.9998987675000001	0.9998610889	0.9998148063000001	1.0	0.9997855720000001	0.9998027972	0.9998443853000001	0.9999262270000001	0.9998522373000001	0.9998621689
Streptomyces rimosus subsp. rimosus strain NRRL WC-3874 contig1.1, whole genome shotgun sequence:54	0.9998112913	0.9997824083000001	0.9998017006000001	0.9997855720000001	1.0	0.9997897805	0.9997834749000001	0.9998100390000001	0.9997929968	0.9997911596000001
Streptomyces sp. NRRL WC-3703 contig1.1, whole genome shotgun sequence:55	0.999898276	0.9998635199	0.9998015325	0.9998027972	0.9997897805	1.0	0.999803345	0.9998759933	0.9998982582	0.9998603782000001
Streptomyces rimosus subsp. rimosus strain NRRL B-2626 contig1.1, whole genome shotgun sequence:56	0.9999488309000001	0.9998995178000001	0.9998442889	0.9998443853000001	0.9997834749000001	0.999803345	1.0	0.9999523864000001	0.9999341759	0.9999057734000001
Streptomyces rimosus strain WT5260 chromosome, complete genome:57	0.9999471182	0.9999187118	0.9999002378	0.9999262270000001	0.9998100390000001	0.9998759933	0.9999523864000001	1.0	0.9999532018	0.9999158224
Streptomyces rimosus strain ATCC 10970 chromosome, complete genome:58	0.9999839211	0.9998575070000001	0.9999108199000001	0.9998522373000001	0.9997929968	0.9998982582	0.9999341759	0.9999532018	1.0	0.9999298117000001
Streptomyces sp. SID5471 SID5471.c1, whole genome shotgun sequence:59	0.9999377918000001	0.9999047617000001	0.9998905396000001	0.9998621689	0.9997911596000001	0.9998603782000001	0.9999057734000001	0.9999158224	0.9999298117000001	1.0
