	Streptomyces rutgersensis strain NBH77 chromosome, complete genome:125	Streptomyces griseus strain NCTC7807, whole genome shotgun sequence:126	Streptomyces diastaticus subsp. diastaticus strain NBRC 13412 sequence1, whole genome shotgun sequence:391
Streptomyces rutgersensis strain NBH77 chromosome, complete genome:125	1.0	0.9962193093	0.9965541278000001
Streptomyces griseus strain NCTC7807, whole genome shotgun sequence:126	0.9962193093	1.0	0.9962842986
Streptomyces diastaticus subsp. diastaticus strain NBRC 13412 sequence1, whole genome shotgun sequence:391	0.9965541278000001	0.9962842986	1.0
