	Streptomyces uncialis strain DCA2648 scaffold1, whole genome shotgun sequence:155	Streptomyces sp. AmelKG-E11A YW7DRAFT_scaffold00060.60_C, whole genome shotgun sequence:156	Streptomyces sp. SID4919 SID4919.c1, whole genome shotgun sequence:157
Streptomyces uncialis strain DCA2648 scaffold1, whole genome shotgun sequence:155	1.0	0.9699668337	0.9699668337
Streptomyces sp. AmelKG-E11A YW7DRAFT_scaffold00060.60_C, whole genome shotgun sequence:156	0.9699668337	1.0	1.0
Streptomyces sp. SID4919 SID4919.c1, whole genome shotgun sequence:157	0.9699668337	1.0	1.0
