	GCF_000698495.1:758	GCF_000721185.1:759	GCF_002705695.1:760	GCF_002910775.2:761	GCF_009862465.1:762	GCF_009863235.1:763	GCF_009865365.1:764	GCF_900090065.1:765	GCF_900091745.1:766	GCF_900091765.1:767
GCF_000698495.1:758	1.0	0.8975842531	0.9032383546	0.8869950695000001	0.8802348358000001	0.9032383546	0.9012458392	0.9032383546	0.8999637468	0.8788075425
GCF_000721185.1:759	0.8865479834000001	1.0	0.9209711552000001	0.8879704636	0.8845056722	0.9209711552000001	0.9224387429	0.9209711552000001	0.9204566636	0.8827723478
GCF_002705695.1:760	0.9077422791	0.9370854607	1.0	0.9047791	0.9004711443000001	0.9999865009000001	0.9481918141000001	0.9999865009000001	0.9458042350000001	0.8989570895000001
GCF_002910775.2:761	0.8572520701	0.8688780691	0.8701010727	1.0	0.8523094271	0.8703138424	0.8718537287	0.8703138424	0.8705393341000001	0.8508212078
GCF_009862465.1:762	0.919953601	0.9359248373	0.9364335810000001	0.9216739799	1.0	0.9354080920000001	0.9322399557000001	0.9354080920000001	0.9325163675	0.9964522714
GCF_009863235.1:763	0.9077422791	0.9370854607	0.9999865009000001	0.9050003496000001	0.8994850378	1.0	0.9481918141000001	0.9999865009000001	0.9458042350000001	0.8989570895000001
GCF_009865365.1:764	0.9196950565	0.9530399221	0.9628011233	0.9205701146	0.9102504881000001	0.9628011233	1.0	0.9668904845	1.0007843174	0.9096839757
GCF_900090065.1:765	0.9077422791	0.9370854607	0.9999865009000001	0.9050003496000001	0.8994850378	0.9999865009000001	0.9522191243	1.0	0.9458042350000001	0.8989570895000001
GCF_900091745.1:766	0.9212157052000001	0.9539215126	0.9633350896	0.922013713	0.9133251351	0.9633350896	1.0038671204	0.9633350896	1.0	0.9140950944
GCF_900091765.1:767	0.9217319589	0.9374164484	0.9381874934000001	0.9233404042000001	1.0	0.9381874934000001	0.9349768017000001	0.9381874934000001	0.9366253982	1.0
