	GCF_000299175.2:418	GCF_000359525.1:419	GCF_001431765.1:420	GCF_001577385.1:421	GCF_001704195.1:422	GCF_002802945.1:423	GCF_002910725.2:424	GCF_002910795.1:425	GCF_003687515.1:426	GCF_004124335.1:427	GCF_004195745.1:428	GCF_004195755.1:429	GCF_004195845.1:430	GCF_004195855.1:431	GCF_004195895.1:432	GCF_004195935.1:433	GCF_004195945.1:434	GCF_004195955.1:435	GCF_004195965.1:436	GCF_004195995.1:437	GCF_004196035.1:438	GCF_004196145.1:439	GCF_004196155.1:440	GCF_009834105.1:441	GCF_009846825.1:442	GCF_009862345.1:443	GCF_009863175.1:444	GCF_009865275.1:445	GCF_011170105.1:446	GCF_011170125.1:447	GCF_011170145.1:448	GCF_012184365.2:449	GCF_013363715.1:450	GCF_013371965.1:451	GCF_013376795.1:452	GCF_013693715.1:453	GCF_014216335.1:454	GCF_014281095.1:455	GCF_014648935.1:456	GCF_015680775.2:457	GCF_019067045.1:458	GCF_900091785.1:459	GCF_900091885.1:460	GCF_900171555.1:461	GCF_900460115.1:462
GCF_000299175.2:418	1.0	0.8855632115000001	0.9081957132	0.9138688836000001	0.9210251454	0.6674737807000001	0.9126322512	0.8359266087	0.8799971058	0.8957561925	0.9147052480000001	0.9107284585000001	0.9198222418	0.9116979191000001	0.9015466443	0.89388235	0.8978819520000001	0.8935773905000001	0.8923719677	0.8972370445000001	0.8967477657	0.8983769689000001	0.8984872525	0.8982371549	0.9098249163000001	0.8855632115000001	0.9181551112	0.9107102645	0.6650289264	0.6681797081	0.6652556517	0.9032386867000001	0.8980595535	0.8917760441	0.9070952558	0.8853453033	0.6684680131	0.8975788119	0.6666313983000001	0.6676075766	0.9008716468	0.9073684458	0.9170363199	0.9015616194	0.6711449109000001
GCF_000359525.1:419	0.9248553967	1.0	0.9335480379000001	0.943404726	0.9299788691	0.6880376354000001	0.9396366285000001	0.8579520814	0.8995021522000001	0.9224742456	0.9422697657	0.9387282218	0.9469421772000001	0.9327906182000001	0.9294928752	0.9282541387000001	0.9241248711000001	0.9289592319000001	0.9176939653	0.9279075849	0.9254010254	0.9238961250000001	0.9235212154	0.9269833925000001	0.9292177953	1.0	0.9242513026	0.9264393716	0.6856583844	0.6918286805	0.6897439492	0.9388124120000001	0.9239309120000001	0.9170387139	0.9377218855	1.0204289931	0.6952370693000001	0.9425860637000001	0.6857207963	0.6891163227	0.9296827417	0.9229112748	0.9232106178	0.9353598818000001	0.6954475449
GCF_001431765.1:420	0.8940785731	0.8799918325	1.0	0.9285948214	0.9154726674	0.6697275060000001	0.9303574206	0.8263084024	0.8826696938	0.9105831871000001	0.9131110077000001	0.9176371663	0.9207896742	0.9244034642000001	0.9042762424	0.8989360889	0.9039342764	0.8995835096	0.9020850145	0.9062860161	0.9050659883000001	0.9063835633	0.9047626002	0.9156271171	1.0005958916	0.8799921081000001	0.8982015921000001	0.9177035755	0.6671363074000001	0.6769323526000001	0.6721263660000001	0.9204625883	0.9072493628	0.9059189744	0.9167286555	0.8800049214000001	0.6789995799	0.9064907549000001	0.6716397326	0.6731962153000001	0.9157442287	0.9141393857000001	0.8972543655	0.8986141007	0.6779994464
GCF_001577385.1:421	0.9106453326	0.9001381214	0.9399297455000001	1.0	0.9226755888	0.6772221311000001	0.935511925	0.8486300266	0.8916858564000001	0.9145057307000001	0.9296109451000001	0.9387589771	0.9343747664000001	0.9293455523	0.9165836878	0.9084302861	0.9131603580000001	0.9093006572000001	0.9062283488	0.913304281	0.9138048037000001	0.911707601	0.9114473683000001	0.9204051765000001	0.9352493214	0.9001375636000001	0.9119421731	0.9260293279	0.6792696859	0.6838667129	0.6797353436	0.9331299446	0.9227898067	0.9188439195	0.9275756627	0.9001371452	0.6834189061	0.9199364508000001	0.6791147456000001	0.6820022693000001	0.9202449368000001	0.9223115976	0.9108119876	0.9187026463	0.6884545354
GCF_001704195.1:422	0.9307798733	0.8999001178	0.9397766271	0.9357485254000001	1.0	0.6815297678000001	0.9357680436	0.8407168663	0.8947067236	0.9205606869	0.9260457223	0.9275868107	0.9308432367	0.9301359145	0.9228127747	0.9159781555000001	0.9197608654	0.9165716216	0.9143932219	0.9186709584	0.9211004072000001	0.9185800150000001	0.9179603832000001	0.9264011514	0.9362530281	0.8999005421	0.9352236558	0.9235019931	0.6824788044	0.6900454972000001	0.6844249659	0.9352895651	0.9276187753	0.918639701	0.9293103517	0.8999218990000001	0.6861369091	0.925529339	0.6832889507000001	0.6821574614	0.9302736733	0.9200585885	0.9341409621000001	0.9144447047	0.6887957673
GCF_002802945.1:423	0.6874649997000001	0.6785382082	0.7006776716	0.6999743853	0.6945855029	1.0	0.7016629066000001	0.6385066749	0.6749543167000001	0.6962336634	0.7013640928	0.6985399927	0.7028208281	0.7005466433	0.6943234462	0.6968286964	0.6979644194	0.6967215962000001	0.6940363083000001	0.6980037711	0.6946959184	0.6953702314	0.6954379799	0.6937916932	0.7000663502000001	0.6784596488	0.6966297755	0.6958865609	0.918814616	0.9241843270000001	0.9182022855	0.7021011092	0.6951270578000001	0.6966539919	0.696557991	0.6784964059	0.9573108547	0.7001685494000001	0.9234723920000001	0.9419065934	0.6977515164	0.6936949715	0.6958750292	0.6960539139	0.9340303349
GCF_002910725.2:424	0.9082211848	0.8953678275	0.9404796492	0.9342858424	0.9214855498000001	0.6779660592	1.0	0.8424417061	0.8902793265000001	0.9145810103	0.9333947454	0.9356153848000001	0.93599603	0.9863022036	0.9062669831	0.9001066029	0.9146159689000001	0.9006425425000001	0.9059264498	0.9109826385	0.9036074805000001	0.9119659372000001	0.911517046	0.9165001141	0.9342145324000001	0.8939437158	0.9031193131	0.9617527452	0.6744472148	0.6821411788	0.6854644777000001	0.9353440724000001	0.9080890105	0.9086558697	0.9678359657000001	0.8939573649	0.6909280529	0.9093200838000001	0.6780195417	0.6797187264	0.9103273382	0.9579745663	0.9019865698	0.9107344461	0.6851526355
GCF_002910795.1:425	0.9260190575	0.9100401191	0.9298174759000001	0.9434193797	0.9215651406	0.6867534267000001	0.9377688834000001	1.0	0.9244643416	0.9204336771	0.9366530787	0.9327396224000001	0.9312549835	0.9330255116	0.920714605	0.9136467561	0.9234446601	0.9135141990000001	0.9089097407000001	0.9153413158	0.9168506057	0.9210311915	0.9210127421000001	0.9182981907000001	0.9272505203	0.9101999627	0.9195515138	0.9349192945	0.6849224340000001	0.6874262894000001	0.681576725	0.9419792364	0.9215403346000001	0.9173991283	0.9351054945	0.9102278694	0.689802859	0.9214428161	0.6849739064	0.6855028943	0.924780153	0.9328966754	0.9188578761	0.9336738783	0.6929344612
GCF_003687515.1:426	0.8749446182	0.8563420271000001	0.8914588410000001	0.8897045727	0.8802469418000001	0.6515643559000001	0.8894669039	0.8297317515	1.0	0.8862967810000001	0.884756665	0.8812457629	0.8955504175000001	0.8899457202000001	0.8857191679	0.8907754737	0.8899291613	0.8912417665000001	0.8942764962	0.8916713236	0.8859177354000001	0.8980382864	0.8981109229	0.9005944781	0.8916419628000001	0.8562028767000001	0.8844129637	0.8906558044	0.6440777895	0.6544623008	0.6500445559	0.8840535384	0.8793460825	0.8806737158	0.87906152	0.856213313	0.6564865208	0.8847812946	0.6558262524	0.6522876594	0.8956963862	0.8884442881	0.8833889564	0.8812337959000001	0.6537399714000001
GCF_004124335.1:427	0.8880636383	0.8756977837000001	0.9170175704	0.9098615755	0.9030903398000001	0.6701822258	0.9111306011	0.8237491786000001	0.8837595517	1.0	0.8991078802	0.9061342808	0.9064414777	0.907717996	0.9004034075	0.9234809155	0.9364771204000001	0.9268431536	0.9242351713	0.9318372539	0.9055015718	0.9127893811000001	0.9112099673	0.9112619993000001	0.9125196473	0.8756972287	0.8961682806	0.9008658679	0.6658571876	0.6746629437	0.6751147201000001	0.9098771157000001	0.8961356739	0.892197615	0.9085428766	0.8757148502000001	0.6764620019	0.9038533369	0.669082755	0.6698771101000001	0.9007766504	0.8976798448000001	0.8951086317	0.8912520202	0.676116787
GCF_004195745.1:428	0.9131593768	0.9007129357	0.9259611192	0.9313250081000001	0.9147919741	0.6798178421000001	0.9363429569	0.8440970885	0.8883619216	0.9053634279	1.0	0.9378595888000001	0.9325236433	0.9364800196	0.9144391878	0.9081234045000001	0.910635802	0.9088711718	0.9050070089000001	0.9105459637000001	0.9195601083	0.9124202720000001	0.9121374841000001	0.9114496556	0.9262854032000001	0.9006481069000001	0.9084219805	0.9326882304	0.6752654315000001	0.6799885767	0.6776231619	0.9307986929000001	0.9129451901000001	0.9113616336	0.9344450364	0.8969739596	0.6806766847	0.9129545512	0.6787348929	0.6787840734	0.9137176874	0.9291178931	0.9073773138000001	0.9252288605000001	0.685139257
GCF_004195755.1:429	0.9240333702	0.9119779834	0.9457438015	0.9558450053	0.9312747246	0.6881349906	0.9538943722000001	0.8542940837	0.8992831775000001	0.9273358288	0.9531717419	1.0	0.9463955745	0.9543497613	0.9295867887	0.9193965519	0.926109672	0.9195354264000001	0.9245221290000001	0.9260230529000001	0.9274555335	0.9322313683000001	0.931887164	0.9356133461	0.947284769	0.9119863613	0.9228377430000001	0.951672096	0.6831546779000001	0.6882637832	0.6872186744000001	0.95092632	0.9308203295	0.9240644679000001	0.9509599736000001	0.9122342907000001	0.689684194	0.9290227707000001	0.6865995610000001	0.6927894167	0.9290524484	0.9480727186000001	0.9217220610000001	0.9356452958	0.6920207789
